entry_time,exit_time,decision_date,component,side,pnl_usd,stressed_pnl_usd,regime
2025-02-24 08:30:00+00:00,2025-02-24 20:30:00+00:00,2025-02-24,M15_REGIME,SHORT,1.84,1.74,
2025-03-03 06:15:00+00:00,2025-03-03 09:00:14+00:00,2025-03-03,M15_REGIME,SHORT,-5.4,-5.5,
2025-03-04 20:00:00+00:00,2025-03-04 20:10:00+00:00,2025-03-04,RESIDUAL_LIVE,SHORT,-0.81,-0.8600000000000001,BROAD_EUR_UP
2025-03-19 08:15:00+00:00,2025-03-19 16:16:31+00:00,2025-03-19,M15_REGIME,SHORT,5.06,4.96,
2025-03-20 06:30:00+00:00,2025-03-20 08:24:29+00:00,2025-03-20,M15_REGIME,SHORT,6.56,6.46,
2025-03-28 07:30:00+00:00,2025-03-28 12:08:15+00:00,2025-03-28,M15_REGIME,SHORT,-1.51,-1.56,
2025-03-31 07:45:00+00:00,2025-03-31 14:25:31+00:00,2025-03-31,M15_REGIME,SHORT,6.04,5.94,
2025-04-01 06:45:00+00:00,2025-04-01 09:03:20+00:00,2025-04-01,M15_REGIME,SHORT,-3.18,-3.23,
2025-04-01 08:15:00+00:00,2025-04-01 09:03:29+00:00,2025-04-01,M15_REGIME,SHORT,-1.8,-1.9000000000000001,
2025-04-02 07:15:00+00:00,2025-04-02 08:16:38+00:00,2025-04-02,M15_REGIME,SHORT,-1.52,-1.57,
2025-04-28 07:00:00+00:00,2025-04-28 07:44:36+00:00,2025-04-28,M15_REGIME,SHORT,-6.04,-6.14,
2025-05-08 06:15:00+00:00,2025-05-08 15:49:19+00:00,2025-05-08,M15_REGIME,SHORT,8.5,8.4,
2025-05-30 06:15:00+00:00,2025-05-30 17:19:28+00:00,2025-05-30,M15_REGIME,SHORT,-4.92,-5.02,
2025-06-10 07:15:00+00:00,2025-06-10 08:10:24+00:00,2025-06-10,M15_REGIME,SHORT,-2.28,-2.3299999999999996,
2025-06-23 09:15:00+00:00,2025-06-23 14:01:04+00:00,2025-06-23,M15_REGIME,SHORT,-3.9,-3.9499999999999997,
2025-07-07 06:30:00+00:00,2025-07-07 08:53:20+00:00,2025-07-07,M15_REGIME,SHORT,3.31,3.2600000000000002,
2025-07-10 08:30:00+00:00,2025-07-10 12:29:59+00:00,2025-07-10,M15_REGIME,SHORT,4.32,4.220000000000001,
2025-07-17 06:15:00+00:00,2025-07-17 06:35:16+00:00,2025-07-17,M15_REGIME,SHORT,6.2,6.1000000000000005,
2025-07-28 08:15:00+00:00,2025-07-28 13:21:16+00:00,2025-07-28,M15_REGIME,SHORT,7.26,7.16,
2025-08-05 08:15:00+00:00,2025-08-05 14:54:39+00:00,2025-08-05,M15_REGIME,SHORT,-4.48,-4.58,
2025-08-12 07:00:00+00:00,2025-08-12 12:30:17+00:00,2025-08-12,M15_REGIME,SHORT,-1.69,-1.74,
2025-08-21 06:30:00+00:00,2025-08-21 07:30:31+00:00,2025-08-21,M15_REGIME,SHORT,-1.49,-1.54,
2025-08-27 07:15:00+00:00,2025-08-27 08:14:41+00:00,2025-08-27,M15_REGIME,SHORT,4.24,4.140000000000001,
2025-08-28 08:15:00+00:00,2025-08-28 09:09:15+00:00,2025-08-28,M15_REGIME,SHORT,-1.48,-1.53,
2025-09-02 07:15:00+00:00,2025-09-02 07:34:14+00:00,2025-09-02,M15_REGIME,SHORT,3.2,3.1,
2025-09-02 08:30:00+00:00,2025-09-02 14:00:26+00:00,2025-09-02,M15_REGIME,SHORT,-2.02,-2.07,
2025-09-03 07:30:00+00:00,2025-09-03 07:48:37+00:00,2025-09-03,M15_REGIME,SHORT,-1.53,-1.58,
2025-09-04 09:30:00+00:00,2025-09-04 10:14:39+00:00,2025-09-04,M15_REGIME,SHORT,-3.06,-3.16,
2025-09-11 09:45:00+00:00,2025-09-11 12:30:38+00:00,2025-09-11,M15_REGIME,SHORT,-1.41,-1.46,
2025-09-12 09:00:00+00:00,2025-09-12 10:42:54+00:00,2025-09-12,M15_REGIME,SHORT,-1.58,-1.6300000000000001,
2025-09-15 06:30:00+00:00,2025-09-15 07:08:28+00:00,2025-09-15,M15_REGIME,SHORT,-1.42,-1.47,
2025-09-19 07:00:00+00:00,2025-09-19 11:45:30+00:00,2025-09-19,M15_REGIME,SHORT,4.16,4.0600000000000005,
2025-09-23 08:15:00+00:00,2025-09-23 08:52:45+00:00,2025-09-23,M15_REGIME,SHORT,-3.68,-3.7800000000000002,
2025-09-24 07:00:00+00:00,2025-09-24 10:40:33+00:00,2025-09-24,M15_REGIME,SHORT,3.21,3.16,
2025-09-25 08:00:00+00:00,2025-09-25 09:07:34+00:00,2025-09-25,M15_REGIME,SHORT,-2.78,-2.88,
2025-10-06 06:15:00+00:00,2025-10-06 07:44:58+00:00,2025-10-06,M15_REGIME,SHORT,3.71,3.66,
2025-10-07 06:15:00+00:00,2025-10-07 09:42:04+00:00,2025-10-07,M15_REGIME,SHORT,4.0,3.95,
2025-10-07 08:15:00+00:00,2025-10-07 11:34:02+00:00,2025-10-07,M15_REGIME,SHORT,2.91,2.81,
2025-10-13 08:00:00+00:00,2025-10-13 11:55:42+00:00,2025-10-13,M15_REGIME,SHORT,5.96,5.86,
2025-10-14 07:45:00+00:00,2025-10-14 09:23:39+00:00,2025-10-14,M15_REGIME,SHORT,-3.58,-3.68,
2025-10-21 08:15:00+00:00,2025-10-21 12:33:39+00:00,2025-10-21,M15_REGIME,SHORT,4.06,3.9599999999999995,
2025-10-27 07:30:00+00:00,2025-10-27 09:20:28+00:00,2025-10-27,M15_REGIME,SHORT,-3.02,-3.12,
2025-10-31 07:00:00+00:00,2025-10-31 09:13:59+00:00,2025-10-31,M15_REGIME,SHORT,-2.8,-2.9,
2025-11-19 09:45:00+00:00,2025-11-19 11:34:14+00:00,2025-11-19,M15_REGIME,SHORT,-3.02,-3.12,
2025-12-17 06:15:00+00:00,2025-12-17 12:59:40+00:00,2025-12-17,M15_REGIME,SHORT,-3.9,-3.9499999999999997,
2025-12-17 08:15:00+00:00,2025-12-17 14:45:39+00:00,2025-12-17,M15_REGIME,SHORT,-1.9,-2.0,
2025-12-18 08:00:00+00:00,2025-12-18 09:25:41+00:00,2025-12-18,M15_REGIME,SHORT,3.14,3.04,
2025-12-19 06:45:00+00:00,2025-12-19 14:03:26+00:00,2025-12-19,M15_REGIME,SHORT,-2.92,-3.02,
2025-12-30 07:45:00+00:00,2025-12-30 09:37:05+00:00,2025-12-30,M15_REGIME,SHORT,-1.15,-1.2,
2026-01-02 08:30:00+00:00,2026-01-02 15:39:59+00:00,2026-01-02,M15_REGIME,SHORT,-2.86,-2.96,
2026-01-07 08:00:00+00:00,2026-01-07 14:54:29+00:00,2026-01-07,M15_REGIME,SHORT,-2.92,-3.02,
2026-01-15 06:45:00+00:00,2026-01-15 13:30:16+00:00,2026-01-15,M15_REGIME,SHORT,3.04,2.94,
2026-02-12 06:30:00+00:00,2026-02-12 08:02:26+00:00,2026-02-12,M15_REGIME,SHORT,-3.98,-4.08,
2026-02-13 06:30:00+00:00,2026-02-13 13:30:31+00:00,2026-02-13,M15_REGIME,SHORT,-3.48,-3.58,
2026-02-23 08:45:00+00:00,2026-02-23 12:20:54+00:00,2026-02-23,M15_REGIME,SHORT,6.08,5.98,
2026-02-26 08:15:00+00:00,2026-02-26 15:25:38+00:00,2026-02-26,M15_REGIME,SHORT,3.56,3.46,
2026-03-02 06:15:00+00:00,2026-03-02 07:38:28+00:00,2026-03-02,M15_REGIME,SHORT,7.6,7.5,
2026-03-11 09:15:00+00:00,2026-03-11 15:30:31+00:00,2026-03-11,M15_REGIME,SHORT,5.62,5.5200000000000005,
2026-03-18 07:45:00+00:00,2026-03-18 10:07:17+00:00,2026-03-18,M15_REGIME,SHORT,-2.84,-2.94,
2026-03-19 07:45:00+00:00,2026-03-19 09:52:15+00:00,2026-03-19,M15_REGIME,SHORT,-5.74,-5.84,
2026-03-20 10:00:00+00:00,2026-03-20 11:10:15+00:00,2026-03-20,M15_REGIME,SHORT,-4.06,-4.159999999999999,
2026-03-23 06:15:00+00:00,2026-03-23 10:05:28+00:00,2026-03-23,M15_REGIME,SHORT,7.92,7.82,
2026-03-27 07:30:00+00:00,2026-03-27 15:23:54+00:00,2026-03-27,M15_REGIME,SHORT,-4.02,-4.119999999999999,
2026-04-21 07:45:00+00:00,2026-04-21 15:27:39+00:00,2026-04-21,M15_REGIME,SHORT,2.39,2.3400000000000003,
2026-04-28 06:45:00+00:00,2026-04-28 12:11:40+00:00,2026-04-28,M15_REGIME,SHORT,2.22,2.1700000000000004,
2026-04-29 06:15:00+00:00,2026-04-29 10:59:59+00:00,2026-04-29,M15_REGIME,SHORT,-2.44,-2.54,
2026-05-01 06:30:00+00:00,2026-05-01 06:48:31+00:00,2026-05-01,M15_REGIME,SHORT,-2.92,-3.02,
2026-05-04 07:45:00+00:00,2026-05-04 10:17:30+00:00,2026-05-04,M15_REGIME,SHORT,5.2,5.1000000000000005,
2026-05-12 07:00:00+00:00,2026-05-12 13:49:30+00:00,2026-05-12,M15_REGIME,SHORT,3.84,3.7399999999999998,
2026-05-12 08:15:00+00:00,2026-05-12 20:15:00+00:00,2026-05-12,M15_REGIME,SHORT,0.42,0.37,
2026-05-13 06:15:00+00:00,2026-05-13 07:39:28+00:00,2026-05-13,M15_REGIME,SHORT,2.86,2.76,
2026-05-29 09:00:00+00:00,2026-05-29 09:58:43+00:00,2026-05-29,M15_REGIME,SHORT,-1.41,-1.46,
2026-06-03 07:30:00+00:00,2026-06-03 19:30:00+00:00,2026-06-03,M15_REGIME,SHORT,1.57,1.52,
2026-06-17 06:30:00+00:00,2026-06-17 11:29:27+00:00,2026-06-17,M15_REGIME,SHORT,2.76,2.71,
2026-06-17 08:15:00+00:00,2026-06-17 11:42:30+00:00,2026-06-17,M15_REGIME,SHORT,1.96,1.8599999999999999,
2026-06-18 08:15:00+00:00,2026-06-18 10:06:36+00:00,2026-06-18,M15_REGIME,SHORT,7.74,7.640000000000001,
