entry_time,exit_time,decision_date,component,side,pnl_usd,stressed_pnl_usd,regime
2024-07-18 10:00:00+00:00,2024-07-18 13:30:04+00:00,2024-07-18,M15_REGIME,SHORT,1.77,1.72,
2024-07-23 06:15:00+00:00,2024-07-23 08:03:41+00:00,2024-07-23,M15_REGIME,SHORT,2.22,2.12,
2024-07-26 07:15:00+00:00,2024-07-26 11:47:36+00:00,2024-07-26,M15_REGIME,SHORT,-2.08,-2.18,
2024-07-29 08:00:00+00:00,2024-07-29 11:49:43+00:00,2024-07-29,M15_REGIME,SHORT,2.98,2.93,
2024-07-29 08:15:00+00:00,2024-07-29 11:57:00+00:00,2024-07-29,M15_REGIME,SHORT,2.67,2.57,
2024-07-31 08:15:00+00:00,2024-07-31 08:47:26+00:00,2024-07-31,M15_REGIME,SHORT,-1.16,-1.21,
2024-08-01 06:15:00+00:00,2024-08-01 07:58:35+00:00,2024-08-01,M15_REGIME,SHORT,4.38,4.28,
2024-08-13 07:45:00+00:00,2024-08-13 12:30:25+00:00,2024-08-13,M15_REGIME,SHORT,-0.99,-1.04,
2024-08-28 10:00:00+00:00,2024-08-28 12:19:37+00:00,2024-08-28,M15_REGIME,SHORT,4.58,4.48,
2024-08-29 08:15:00+00:00,2024-08-29 10:53:22+00:00,2024-08-29,M15_REGIME,SHORT,-2.5,-2.6,
2024-09-23 07:15:00+00:00,2024-09-23 07:15:37+00:00,2024-09-23,M15_REGIME,SHORT,3.04,2.94,
2024-09-27 07:00:00+00:00,2024-09-27 07:24:38+00:00,2024-09-27,M15_REGIME,SHORT,4.04,3.94,
2024-10-23 07:15:00+00:00,2024-10-23 11:59:16+00:00,2024-10-23,M15_REGIME,SHORT,2.26,2.21,
2024-10-25 06:30:00+00:00,2024-10-25 08:16:35+00:00,2024-10-25,M15_REGIME,SHORT,-2.06,-2.16,
2024-11-01 08:15:00+00:00,2024-11-01 11:30:15+00:00,2024-11-01,M15_REGIME,SHORT,-2.26,-2.36,
2024-11-20 06:45:00+00:00,2024-11-20 08:09:14+00:00,2024-11-20,M15_REGIME,SHORT,4.42,4.32,
2024-11-21 06:15:00+00:00,2024-11-21 08:22:25+00:00,2024-11-21,M15_REGIME,SHORT,3.24,3.14,
2024-12-02 06:45:00+00:00,2024-12-02 11:13:01+00:00,2024-12-02,M15_REGIME,SHORT,-4.92,-5.02,
2024-12-10 08:15:00+00:00,2024-12-10 14:03:34+00:00,2024-12-10,M15_REGIME,SHORT,3.92,3.82,
2024-12-11 06:15:00+00:00,2024-12-11 06:37:13+00:00,2024-12-11,M15_REGIME,SHORT,3.4,3.3,
2024-12-16 07:00:00+00:00,2024-12-16 07:30:37+00:00,2024-12-16,M15_REGIME,SHORT,-3.48,-3.58,
2024-12-17 07:30:00+00:00,2024-12-17 13:02:00+00:00,2024-12-17,M15_REGIME,SHORT,-3.62,-3.72,
2024-12-18 07:15:00+00:00,2024-12-18 14:51:37+00:00,2024-12-18,M15_REGIME,SHORT,3.64,3.54,
2024-12-26 06:30:00+00:00,2024-12-26 12:14:34+00:00,2024-12-26,M15_REGIME,SHORT,-1.24,-1.29,
2024-12-30 07:30:00+00:00,2024-12-30 08:51:36+00:00,2024-12-30,M15_REGIME,SHORT,-2.14,-2.24,
2024-12-30 08:30:00+00:00,2024-12-30 08:51:36+00:00,2024-12-30,M15_REGIME,SHORT,-1.2,-1.25,
2025-01-02 09:45:00+00:00,2025-01-02 09:49:37+00:00,2025-01-02,M15_REGIME,SHORT,5.06,4.96,
2025-01-08 08:15:00+00:00,2025-01-08 10:26:40+00:00,2025-01-08,M15_REGIME,SHORT,4.14,4.04,
2025-01-09 06:45:00+00:00,2025-01-09 08:00:05+00:00,2025-01-09,M15_REGIME,SHORT,-3.18,-3.2800000000000002,
2025-01-17 06:15:00+00:00,2025-01-17 08:01:14+00:00,2025-01-17,M15_REGIME,SHORT,-3.1,-3.2,
2025-01-23 20:00:00+00:00,2025-01-24 01:55:00+00:00,2025-01-23,RESIDUAL_LIVE,SHORT,0.6399999999999739,0.5899999999999739,BROAD_EUR_UP
2025-01-29 06:30:00+00:00,2025-01-29 08:55:36+00:00,2025-01-29,M15_REGIME,SHORT,3.44,3.34,
2025-02-20 20:00:00+00:00,2025-02-21 01:00:00+00:00,2025-02-20,RESIDUAL_LIVE,SHORT,1.1900000000000002,1.1400000000000001,BROAD_EUR_UP
