specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass
EURV2R_COMPRESSION_BREAKOUT_SHORT,compression,EURHUNT01_0596,validation,OPENED,37,22,0.5945945945945946,-5.88078946504254,-0.588078946504254,-0.11411720544056503,-0.0030842487956909467,0.9926966749374176,0.5454545454545454,4.489244851995028,0.7641611855241583,False
EURV2R_COMPRESSION_BREAKOUT_SHORT,compression,EURHUNT01_0596,internal,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2R_COMPRESSION_BREAKOUT_SHORT,compression,EURHUNT01_0596,exam,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2R_FRANKFURT_LONDON_SHORT,compression,EURSESSIONV2R_0341,validation,OPENED,49,19,0.3877551020408163,-2.1898223308824747,-0.2189822330882475,-1.3325485069039333,-0.027194867487835374,0.9578727243147893,0.42857142857142855,8.429976470514545,0.6490152966466516,False
EURV2R_FRANKFURT_LONDON_SHORT,compression,EURSESSIONV2R_0341,internal,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2R_FRANKFURT_LONDON_SHORT,compression,EURSESSIONV2R_0341,exam,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
