report_variant,entry_time,exit_time,sleeve,side,volume,entry_price,exit_price,commission,swap,profit,exit_comment,net_pnl_usd,state_time_utc,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed,causal_regime,quarantined
PRIMARY_OFFSET_0,2022-01-07 12:00:00+00:00,2022-01-07 13:45:14+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.12975,1.13316,0.0,0.0,-3.41,sl 1.13316,-3.41,2022-01-07 11:00:00+00:00,2022-01-07 11:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-01-25 00:00:00+00:00,2022-01-25 08:42:05+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.132,1.12911,0.0,0.0,2.89,tp 1.12912,2.89,2022-01-24 23:00:00+00:00,2022-01-24 21:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,NEUTRAL,False
PRIMARY_OFFSET_0,2022-01-31 12:00:00+00:00,2022-01-31 12:39:24+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.1156,1.11823,0.0,0.0,-2.63,sl 1.11823,-2.63,2022-01-31 11:00:00+00:00,2022-01-31 11:00:00+00:00,NEUTRAL,UNRESOLVED,True,True,True,SHOCK,False
PRIMARY_OFFSET_0,2022-03-11 08:00:00+00:00,2022-03-13 21:00:00+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.0978,1.09176,0.0,0.05,6.04,,6.09,2022-03-11 07:00:00+00:00,2022-03-11 07:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-03-15 16:00:00+00:00,2022-03-16 10:44:24+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.09516,1.10201,0.0,0.02,-6.85,sl 1.10200,-6.83,2022-03-15 15:00:00+00:00,2022-03-15 15:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-03-24 00:00:00+00:00,2022-03-27 21:02:30+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.10025,1.09908,0.0,0.07,1.17,,1.24,2022-03-23 23:00:00+00:00,2022-03-23 20:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-04-07 16:00:00+00:00,2022-04-08 13:18:27+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.08988,1.08456,0.0,0.02,5.32,tp 1.08456,5.34,2022-04-07 15:00:00+00:00,2022-04-07 15:00:00+00:00,USD_UP,ESTABLISHED,False,True,False,USD_UP,False
PRIMARY_OFFSET_0,2022-04-11 00:00:00+00:00,2022-04-11 08:14:30+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.0884,1.0916,0.0,0.0,-3.2,sl 1.09160,-3.2,2022-04-10 23:00:00+00:00,2022-04-08 20:00:00+00:00,USD_UP,ESTABLISHED,False,False,True,USD_UP,False
PRIMARY_OFFSET_0,2022-04-11 16:00:00+00:00,2022-04-14 00:00:00+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.0876,1.08955,0.0,0.06,-1.95,,-1.89,2022-04-11 15:00:00+00:00,2022-04-11 15:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-04-14 12:00:00+00:00,2022-04-14 13:42:42+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.08658,1.07882,0.0,0.0,7.76,tp 1.07882,7.76,2022-04-14 11:00:00+00:00,2022-04-14 11:00:00+00:00,NEUTRAL,UNRESOLVED,True,True,True,SHOCK,False
PRIMARY_OFFSET_0,2022-04-14 16:00:00+00:00,2022-04-17 21:02:00+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.07973,1.08085,0.0,0.07,-1.12,,-1.05,2022-04-14 15:00:00+00:00,2022-04-14 15:00:00+00:00,USD_UP,ESTABLISHED,True,False,False,SHOCK,False
PRIMARY_OFFSET_0,2022-04-18 16:00:00+00:00,2022-04-20 03:43:33+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.0784,1.08214,0.0,0.04,-3.74,sl 1.08213,-3.7,2022-04-18 15:00:00+00:00,2022-04-18 15:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-04-22 00:00:00+00:00,2022-04-24 21:05:00+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.08348,1.08109,0.0,0.05,2.39,,2.44,2022-04-21 23:00:00+00:00,2022-04-21 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,NEUTRAL,False
PRIMARY_OFFSET_0,2022-04-25 04:00:00+00:00,2022-04-26 07:18:40+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.07816,1.0696,0.0,0.02,8.56,tp 1.06960,8.58,2022-04-25 03:00:00+00:00,2022-04-25 03:00:00+00:00,USD_UP,ESTABLISHED,False,False,True,USD_UP,False
PRIMARY_OFFSET_0,2022-04-29 12:00:00+00:00,2022-05-01 21:02:30+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.05446,1.05664,0.0,0.05,-2.18,,-2.1300000000000003,2022-04-29 11:00:00+00:00,2022-04-29 11:00:00+00:00,NEUTRAL,UNRESOLVED,True,False,False,SHOCK,False
PRIMARY_OFFSET_0,2022-05-02 00:00:00+00:00,2022-05-04 08:00:00+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.05347,1.05244,0.0,0.04,1.03,,1.07,2022-05-01 23:00:00+00:00,2022-04-29 20:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-05-05 12:00:00+00:00,2022-05-08 21:02:30+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.05482,1.05503,0.0,0.07,-0.21,,-0.13999999999999999,2022-05-05 11:00:00+00:00,2022-05-05 11:00:00+00:00,NEUTRAL,UNRESOLVED,True,False,True,SHOCK,False
PRIMARY_OFFSET_0,2022-05-09 00:00:00+00:00,2022-05-11 08:00:00+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.05323,1.0551,0.0,0.04,-1.87,,-1.83,2022-05-08 23:00:00+00:00,2022-05-06 20:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-05-11 16:00:00+00:00,2022-05-12 07:12:38+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.05372,1.04835,0.0,0.02,5.37,tp 1.04835,5.39,2022-05-11 15:00:00+00:00,2022-05-11 15:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,NEUTRAL,False
PRIMARY_OFFSET_0,2022-05-12 08:00:00+00:00,2022-05-15 21:01:30+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.04606,1.04191,0.0,0.07,4.15,,4.220000000000001,2022-05-12 07:00:00+00:00,2022-05-12 07:00:00+00:00,NEUTRAL,UNRESOLVED,True,True,False,SHOCK,False
PRIMARY_OFFSET_0,2022-06-15 12:00:00+00:00,2022-06-15 15:45:37+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.04585,1.03922,0.0,0.0,6.63,tp 1.03922,6.63,2022-06-15 11:00:00+00:00,2022-06-15 11:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-06-15 16:00:00+00:00,2022-06-16 15:13:30+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.0386,1.05078,0.0,0.02,-12.18,sl 1.05076,-12.16,2022-06-15 15:00:00+00:00,2022-06-15 15:00:00+00:00,USD_UP,ESTABLISHED,False,True,False,USD_UP,False
PRIMARY_OFFSET_0,2022-06-17 16:00:00+00:00,2022-06-20 00:00:00+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,1.04736,1.04899,0.0,0.05,-1.63,,-1.5799999999999998,2022-06-17 15:00:00+00:00,2022-06-17 15:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,NEUTRAL,False
PRIMARY_OFFSET_0,2022-08-25 12:00:00+00:00,2022-08-26 13:00:28+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,0.99767,1.00334,0.0,0.02,-5.67,sl 1.00334,-5.65,2022-08-25 11:00:00+00:00,2022-08-25 11:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-09-06 04:00:00+00:00,2022-09-06 07:38:41+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,0.99441,0.99839,0.0,0.0,-3.98,sl 0.99838,-3.98,2022-09-06 03:00:00+00:00,2022-09-06 03:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
PRIMARY_OFFSET_0,2022-09-06 12:00:00+00:00,2022-09-07 17:05:04+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,0.9924,0.99865,0.0,0.02,-6.25,sl 0.99865,-6.23,2022-09-06 11:00:00+00:00,2022-09-06 11:00:00+00:00,USD_UP,ESTABLISHED,False,True,False,USD_UP,False
PRIMARY_OFFSET_0,2022-09-08 16:00:00+00:00,2022-09-09 00:28:19+00:00,RATES_DOLLAR_H4_SHORT,SHORT,0.01,0.99538,1.003,0.0,0.02,-7.62,sl 1.00300,-7.6000000000000005,2022-09-08 15:00:00+00:00,2022-09-08 15:00:00+00:00,USD_UP,ESTABLISHED,False,True,False,USD_UP,False
