candidate_id,instrument_id,feature_time_utc,first_event_utc,last_event_utc,trade_count,contract_volume,signed_volume,price_open,price_last,current_volume_5s,current_signed_volume_5s,current_imbalance_5s,current_directional_impulse_ticks,current_acceleration,prior_volume_30s,prior_signed_volume_30s,prior_imbalance_30s,prior_directional_impact_efficiency,instrument_age_seconds,family,direction
flow_exhaustion_flip:1656681081000:LONG:5568,5568,2022-07-01 13:11:21+00:00,2022-07-01 13:11:20.879195969+00:00,2022-07-01 13:11:20.879195969+00:00,2,20.0,20.0,1793.3,1793.4,58.0,18.0,0.3103448275862069,4.0000000000009095,1.045045045045045,333.0,-157.0,-0.47147147147147145,0.057324840764337005,3080.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1656684192000:LONG:5568,5568,2022-07-01 14:03:12+00:00,2022-07-01 14:03:11.554101515+00:00,2022-07-01 14:03:11.868937727+00:00,8,10.0,2.0,1796.8,1796.9,53.0,17.0,0.32075471698113206,2.0000000000004547,0.764423076923077,416.0,-131.0,-0.31490384615384615,0.06870229007632546,6191.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1656688188000:SHORT:5568,5568,2022-07-01 15:09:48+00:00,2022-07-01 15:09:47.668234589+00:00,2022-07-01 15:09:47.999506121+00:00,5,9.0,-9.0,1806.4,1806.2,160.0,-53.0,-0.33125,2.9999999999995453,2.3529411764705883,408.0,172.0,0.4215686274509804,0.06976744186046777,10187.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1656696544000:LONG:5568,5568,2022-07-01 17:29:04+00:00,2022-07-01 17:29:03.124331241+00:00,2022-07-01 17:29:03.384768979+00:00,2,2.0,2.0,1801.2,1801.2,73.0,29.0,0.3972602739726027,4.0000000000009095,1.8481012658227849,237.0,-121.0,-0.510548523206751,0.01652892561983847,18543.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657024396000:SHORT:5568,5568,2022-07-05 12:33:16+00:00,2022-07-05 12:33:15.242961595+00:00,2022-07-05 12:33:15.799437155+00:00,10,12.0,2.0,1804.8,1804.7,58.0,-24.0,-0.41379310344827586,2.0000000000004547,0.8508557457212713,409.0,104.0,0.254278728606357,0.08653846153847028,795.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657027836000:LONG:5568,5568,2022-07-05 13:30:36+00:00,2022-07-05 13:30:35.130263667+00:00,2022-07-05 13:30:35.130263667+00:00,1,1.0,1.0,1793.3,1793.3,95.0,47.0,0.49473684210526314,5.9999999999990905,1.1220472440944882,508.0,-156.0,-0.30708661417322836,0.07051282051281468,4235.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657031623000:LONG:5568,5568,2022-07-05 14:33:43+00:00,2022-07-05 14:33:42.830660655+00:00,2022-07-05 14:33:42.830660655+00:00,1,1.0,-1.0,1772.1,1772.1,88.0,18.0,0.20454545454545456,2.9999999999995453,1.6551724137931034,319.0,-97.0,-0.30407523510971785,0.020618556701035615,8022.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657035082000:LONG:5568,5568,2022-07-05 15:31:22+00:00,2022-07-05 15:31:21.050313591+00:00,2022-07-05 15:31:21.784403265+00:00,17,61.0,41.0,1765.6,1766.0,309.0,163.0,0.5275080906148867,14.00000000000091,2.201900237529691,842.0,-557.0,-0.661520190023753,0.023339317773791418,11481.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657042170000:LONG:5568,5568,2022-07-05 17:29:30+00:00,2022-07-05 17:29:29.053071439+00:00,2022-07-05 17:29:29.869872773+00:00,3,24.0,24.0,1763.2,1763.2,270.0,69.0,0.25555555555555554,1.0000000000013642,1.0125,1600.0,-507.0,-0.316875,0.035502958579885245,18569.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657110607000:LONG:5568,5568,2022-07-06 12:30:07+00:00,2022-07-06 12:30:06.183011045+00:00,2022-07-06 12:30:06.439234255+00:00,8,14.0,-4.0,1759.2,1759.2,93.0,41.0,0.44086021505376344,7.000000000000455,0.7717842323651453,723.0,-342.0,-0.4730290456431535,0.02631578947368687,606.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657116850000:LONG:5568,5568,2022-07-06 14:14:10+00:00,2022-07-06 14:14:09.035184121+00:00,2022-07-06 14:14:09.995286367+00:00,35,126.0,90.0,1751.1,1751.7,199.0,55.0,0.27638190954773867,4.0000000000009095,1.0904109589041096,1095.0,-516.0,-0.4712328767123288,0.046511627906978506,6849.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657119575000:SHORT:5568,5568,2022-07-06 14:59:35+00:00,2022-07-06 14:59:34.413878499+00:00,2022-07-06 14:59:34.853890817+00:00,3,4.0,2.0,1742.6,1742.7,62.0,-18.0,-0.2903225806451613,2.0000000000004547,1.1272727272727272,330.0,103.0,0.31212121212121213,0.019417475728159755,9574.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657122876000:LONG:5568,5568,2022-07-06 15:54:36+00:00,2022-07-06 15:54:35.189882143+00:00,2022-07-06 15:54:35.189882143+00:00,1,1.0,1.0,1734.0,1734.0,141.0,65.0,0.46099290780141844,2.0000000000004547,0.9009584664536742,939.0,-371.0,-0.3951011714589989,0.03504043126684513,12875.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657125584000:SHORT:5568,5568,2022-07-06 16:39:44+00:00,2022-07-06 16:39:43.315347331+00:00,2022-07-06 16:39:43.877255779+00:00,15,55.0,-55.0,1734.5,1734.4,75.0,-59.0,-0.7866666666666666,3.9999999999986358,1.9650655021834063,229.0,63.0,0.27510917030567683,0.06349206349204184,15583.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657128552000:LONG:5568,5568,2022-07-06 17:29:12+00:00,2022-07-06 17:29:11.026449155+00:00,2022-07-06 17:29:11.939028875+00:00,10,25.0,5.0,1736.1,1736.2,93.0,41.0,0.44086021505376344,4.0000000000009095,0.8651162790697674,645.0,-223.0,-0.3457364341085271,0.03587443946188137,18551.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657198223000:LONG:5568,5568,2022-07-07 12:50:23+00:00,2022-07-07 12:50:22.245945297+00:00,2022-07-07 12:50:22.249344409+00:00,5,11.0,11.0,1737.6,1737.6,74.0,38.0,0.5135135135135135,7.999999999999545,1.8734177215189873,237.0,-125.0,-0.5274261603375527,0.07200000000000728,1822.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657201878000:LONG:5568,5568,2022-07-07 13:51:18+00:00,2022-07-07 13:51:17.591178279+00:00,2022-07-07 13:51:17.591178279+00:00,1,1.0,1.0,1747.2,1747.2,126.0,54.0,0.42857142857142855,6.000000000001364,3.1369294605809133,241.0,-62.0,-0.2572614107883817,-0.0,5477.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657206066000:LONG:5568,5568,2022-07-07 15:01:06+00:00,2022-07-07 15:01:05.055985279+00:00,2022-07-07 15:01:05.058213263+00:00,10,32.0,-10.0,1740.7,1740.7,76.0,20.0,0.2631578947368421,6.000000000001364,1.7338403041825095,263.0,-67.0,-0.25475285171102663,0.01492537313434872,9665.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657214940000:SHORT:5568,5568,2022-07-07 17:29:00+00:00,2022-07-07 17:28:59.281455783+00:00,2022-07-07 17:28:59.282657645+00:00,4,9.0,-5.0,1740.3,1740.3,69.0,-27.0,-0.391304347826087,4.0000000000009095,1.056122448979592,392.0,219.0,0.5586734693877551,0.03196347031963678,18539.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657291021000:SHORT:5568,5568,2022-07-08 14:37:01+00:00,2022-07-08 14:37:00.173708705+00:00,2022-07-08 14:37:00.197345669+00:00,4,9.0,7.0,1746.2,1746.2,50.0,-16.0,-0.32,2.0000000000004547,0.8,375.0,131.0,0.34933333333333333,0.06870229007634282,8220.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657547526000:LONG:5568,5568,2022-07-11 13:52:06+00:00,2022-07-11 13:52:05.295896851+00:00,2022-07-11 13:52:05.871749643+00:00,6,13.0,-1.0,1739.1,1739.1,54.0,20.0,0.37037037037037035,3.9999999999986358,1.35,240.0,-87.0,-0.3625,0.03448275862068443,5525.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657557058000:LONG:5568,5568,2022-07-11 16:30:58+00:00,2022-07-11 16:30:57.432120377+00:00,2022-07-11 16:30:57.755384229+00:00,4,6.0,-2.0,1733.2,1733.2,94.0,47.0,0.5,1.0000000000013642,1.236842105263158,456.0,-171.0,-0.375,0.040935672514622545,15057.0,flow_exhaustion_flip,LONG
