family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,predicted_probability,risk_distance,risk_pips,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-02 11:55:00+00:00,2026-07-02 12:00:00+00:00,2026-07-02 12:00:00+00:00,2026-07-02 12:05:00+00:00,1.1404500000000002,1.1398500000000003,1.14135,1.1398400000000002,STOP,0.38388680191006436,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-02 12:10:00+00:00,2026-07-02 12:15:00+00:00,2026-07-02 12:15:00+00:00,2026-07-02 12:30:00+00:00,1.13995,1.13935,1.14085,1.1408399999999999,TARGET,0.3820520952102336,0.0006000000000000001,6.0,1.4833333333330587,1.3999999999997255,0.8899999999998354
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-02 17:25:00+00:00,2026-07-02 17:30:00+00:00,2026-07-02 17:30:00+00:00,2026-07-02 23:35:00+00:00,1.1431900000000002,1.1425900000000002,1.14409,1.1425800000000002,STOP,0.3755307682824703,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-02 23:40:00+00:00,2026-07-02 23:45:00+00:00,2026-07-02 23:45:00+00:00,2026-07-03 00:05:00+00:00,1.14267,1.1420700000000001,1.14357,1.14206,STOP,0.38470280876507196,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-03 00:10:00+00:00,2026-07-03 00:15:00+00:00,2026-07-03 00:15:00+00:00,2026-07-03 01:00:00+00:00,1.1422700000000001,1.1416700000000002,1.14317,1.14316,TARGET,0.37859240514896486,0.0006000000000000001,6.0,1.4833333333330587,1.3999999999997255,0.8899999999998354
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-07 05:40:00+00:00,2026-07-07 05:45:00+00:00,2026-07-07 05:45:00+00:00,2026-07-07 10:00:00+00:00,1.14296,1.14236,1.1438599999999999,1.14235,STOP,0.3806501097105656,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-07 21:10:00+00:00,2026-07-07 21:15:00+00:00,2026-07-07 21:15:00+00:00,2026-07-07 21:30:00+00:00,1.1409500000000001,1.1403500000000002,1.14185,1.1403400000000001,STOP,0.3759196174898276,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-07 22:10:00+00:00,2026-07-07 22:15:00+00:00,2026-07-07 22:15:00+00:00,2026-07-07 23:55:00+00:00,1.14064,1.1400400000000002,1.14154,1.14003,STOP,0.3916340256485888,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-07 23:55:00+00:00,2026-07-08 00:00:00+00:00,2026-07-08 00:00:00+00:00,2026-07-08 00:35:00+00:00,1.14023,1.1396300000000001,1.14113,1.14112,TARGET,0.40310802076291113,0.0006000000000000001,6.0,1.4833333333330587,1.3999999999997255,0.8899999999998354
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-08 01:25:00+00:00,2026-07-08 01:30:00+00:00,2026-07-08 01:30:00+00:00,2026-07-08 01:40:00+00:00,1.14049,1.13989,1.14139,1.13988,STOP,0.3848351905731411,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-08 01:40:00+00:00,2026-07-08 01:45:00+00:00,2026-07-08 01:45:00+00:00,2026-07-08 02:20:00+00:00,1.14006,1.1394600000000001,1.14096,1.14095,TARGET,0.39953790410698525,0.0006000000000000001,6.0,1.4833333333330587,1.3999999999997255,0.8899999999998354
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-10 04:40:00+00:00,2026-07-10 04:45:00+00:00,2026-07-10 04:45:00+00:00,2026-07-10 05:40:00+00:00,1.14423,1.1436300000000001,1.14513,1.1436199999999999,STOP,0.3802139490484884,0.0006000000000000001,6.0,-1.0166666666670356,-1.100000000000369,-0.6100000000002215
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-10 05:40:00+00:00,2026-07-10 05:45:00+00:00,2026-07-10 05:45:00+00:00,2026-07-10 06:20:00+00:00,1.1438300000000001,1.1432300000000002,1.14473,1.14472,TARGET,0.38135167703891326,0.0006000000000000001,6.0,1.4833333333330587,1.3999999999997255,0.8899999999998354
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-10 12:25:00+00:00,2026-07-10 12:30:00+00:00,2026-07-10 12:30:00+00:00,2026-07-10 12:45:00+00:00,1.14298,1.1423800000000002,1.14388,1.14237,STOP,0.3755760190453378,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-13 01:10:00+00:00,2026-07-13 01:15:00+00:00,2026-07-13 01:15:00+00:00,2026-07-13 01:20:00+00:00,1.13911,1.1385100000000001,1.14001,1.1385,STOP,0.3770654727217773,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-13 01:25:00+00:00,2026-07-13 01:30:00+00:00,2026-07-13 01:30:00+00:00,2026-07-13 02:40:00+00:00,1.13904,1.1384400000000001,1.13994,1.1399299999999999,TARGET,0.38751973691155156,0.0006000000000000001,6.0,1.4833333333330587,1.3999999999997255,0.8899999999998354
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2026-07-15 00:25:00+00:00,2026-07-15 00:30:00+00:00,2026-07-15 00:30:00+00:00,2026-07-15 01:05:00+00:00,1.14293,1.14353,1.14203,1.14354,STOP,0.3831871823347915,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-20 12:55:00+00:00,2026-07-20 13:00:00+00:00,2026-07-20 13:00:00+00:00,2026-07-20 13:05:00+00:00,1.14246,1.14186,1.14336,1.14185,STOP,0.3757903457418621,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2026-07-20 13:25:00+00:00,2026-07-20 13:30:00+00:00,2026-07-20 13:30:00+00:00,2026-07-20 14:05:00+00:00,1.14202,1.14142,1.14292,1.14141,STOP,0.3766583622563064,0.0006000000000000001,6.0,-1.0166666666666657,-1.099999999999999,-0.6099999999999994
