month,training_start_utc,training_cutoff_utc,training_signals,score_signals,admitted_experts,selected_signals,status
2023-05,2020-05-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,2379,50,5,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2023-06,2020-06-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,2374,79,5,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2023-07,2020-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2389,36,6,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2023-08,2020-08-01T00:00:00+00:00,2023-08-01T00:00:00+00:00,2368,103,7,4,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2023-09,2020-09-01T00:00:00+00:00,2023-09-01T00:00:00+00:00,2398,60,7,1,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2023-10,2020-10-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,2406,97,6,9,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2023-11,2020-11-01T00:00:00+00:00,2023-11-01T00:00:00+00:00,2425,58,7,8,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2023-12,2020-12-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,2408,12,10,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-01,2021-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2373,73,7,4,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-02,2021-02-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,2378,91,7,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-03,2021-03-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,2418,72,8,8,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-04,2021-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,2437,57,6,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-05,2021-05-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,2456,93,5,5,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-06,2021-06-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,2479,61,4,1,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-07,2021-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,2465,50,5,5,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-08,2021-08-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,2415,28,4,2,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-09,2021-09-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,2377,44,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-10,2021-10-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,2352,22,4,2,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-11,2021-11-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,2309,21,4,3,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2024-12,2021-12-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,2296,101,4,1,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-01,2022-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2287,77,5,6,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-02,2022-02-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,2305,88,5,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-03,2022-03-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,2346,30,3,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
