entry_time,exit_time,candidate,status,symbol,direction,volume,entry_price,exit_price,sl,tp,state,profit_aed,time_bucket,outcome,position_ticket,magic,duplicate_key,duplicate_role,is_duplicate,entry_comment,exit_comment
2026-06-10 00:45:00,,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,0.01,4261.95,,4258.45,4267.00,OPEN,-1.58,Night 20:00-05:59,OPEN,3910118,920301,2026-06-10 00:45|XAUUSD|BUY|0.01,kept,false,P2DEMO_sn_round_XAUUSD,
2026-06-10 00:45:00,,breakout_retest,ACCEPTED,GBPUSD,SELL,0.05,1.33793,,1.33893,1.33643,OPEN,-4.59,Night 20:00-05:59,OPEN,3910119,920104,2026-06-10 00:45|GBPUSD|SELL|0.05,kept,false,P2DEMO_br_GBPUSD,
2026-06-10 00:25:01,2026-06-10 00:37:22,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,0.01,4258.09,4260.96,4260.98,4253.48,CLOSED,-10.55,Night 20:00-05:59,LOSS,3909950,920301,2026-06-10 00:25|XAUUSD|SELL|0.01,kept,false,P2DEMO_sn_round_XAUUSD,[sl 4260.98]
2026-06-09 23:55:00,2026-06-09 23:56:48,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,0.01,4259.39,4256.34,4256.33,4264.18,CLOSED,-11.21,Night 20:00-05:59,LOSS,3908428,920301,2026-06-09 23:55|XAUUSD|BUY|0.01,kept,false,P2DEMO_sn_round_XAUUSD,[sl 4256.33]
2026-06-09 23:40:01,2026-06-09 23:51:09,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,0.01,4253.32,4257.98,4257.63,4246.91,CLOSED,-17.12,Night 20:00-05:59,LOSS,3908013,920301,2026-06-09 23:40|XAUUSD|SELL|0.01,kept,false,P2DEMO_sn_round_XAUUSD,[sl 4257.63]
2026-06-09 23:20:01,,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,0.01,4255.23,,4262.93,4243.70,OPEN,-25.87,Night 20:00-05:59,OPEN,3907422,920301,2026-06-09 23:20|XAUUSD|SELL|0.01,kept,false,P2DEMO_sn_round_XAUUSD,
2026-06-09 23:15:01,,breakout_retest,ACCEPTED,XAUUSD,SELL,0.01,4258.43,,4265.92,4247.44,OPEN,-14.11,Night 20:00-05:59,OPEN,3907221,920101,2026-06-09 23:15|XAUUSD|SELL|0.01,kept,false,P2DEMO_br_XAUUSD,
2026-06-09 23:10:01,2026-06-09 23:15:34,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,0.01,4264.54,4257.26,4269.39,4257.26,CLOSED,26.73,Night 20:00-05:59,WIN,3907032,920301,2026-06-09 23:10|XAUUSD|SELL|0.01,kept,false,P2DEMO_sn_round_XAUUSD,[tp 4257.26]
2026-06-09 23:10:01,,symbol_normalized_round_retest_v0,ACCEPTED,EURUSD,SELL,0.05,1.15473,,1.15573,1.15323,OPEN,4.41,Night 20:00-05:59,OPEN,3907034,920302,2026-06-09 23:10|EURUSD|SELL|0.05,unique,false,P2DEMO_sn_round_EURUSD,
2026-06-09 23:05:03,,symbol_normalized_round_retest_v0,ACCEPTED,EURUSD,SELL,0.05,1.15478,,1.15578,1.15328,OPEN,5.32,Night 20:00-05:59,OPEN,3906726,920302,2026-06-09 23:05|EURUSD|SELL|0.05,unique,false,P2DEMO_sn_round_EURUSD,
