month,trades,pnl_usd,stressed_pnl_usd
2024-07,20,4.999999999998707,3.8499999999987065
2024-08,17,0.7099999999992757,-0.29000000000072435
2024-09,18,5.169999999999446,4.169999999999445
2024-10,19,-1.9100000000013737,-2.910000000001374
2024-11,17,0.6999999999997748,-0.30000000000022564
2024-12,16,-3.460000000000444,-4.610000000000444
2025-01,18,2.5499999999994807,1.399999999999481
2025-02,16,-3.3500000000000805,-4.200000000000081
2025-03,18,7.10999999999946,6.00999999999946
2025-04,17,-11.07,-12.02
2025-05,18,0.6200000000000001,-0.3799999999999999
2025-06,17,-2.329999999999999,-3.179999999999999
2025-07,19,18.94,17.840000000000003
2025-08,16,-4.940000000000051,-5.840000000000051
2025-09,21,-3.970000000000047,-5.2700000000000475
2025-10,20,6.669999999999587,5.369999999999587
2025-11,16,-0.9200000000005106,-1.7700000000005114
2025-12,18,-11.190000000000161,-12.240000000000162
2026-01,17,-1.080000000000682,-2.080000000000682
2026-02,17,7.739999999999575,6.689999999999574
2026-03,20,0.5300000000000482,-0.8199999999999501
2026-04,18,-1.7000000000005155,-2.650000000000516
2026-05,19,3.929999999999993,2.7799999999999927
2026-06,18,13.169999999999709,12.169999999999709
