policy_id,horizon_ms,minimum_leg_move_bps,minimum_consensus_sum_bps,maximum_signed_xau_response_ratio,minimum_source_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H01000__LM010__CS020__RR075__QC05,1000,0.1,0.2,0.75,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H01000__LM010__CS030__RR000__QC02,1000,0.1,0.3,0.0,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM010__CS030__RR000__QC05,1000,0.1,0.3,0.0,5,44,39,0.8863636363636364,39,0.8863636363636364,23,16,0.41025641025641024,True
H01000__LM010__CS030__RR025__QC02,1000,0.1,0.3,0.25,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM010__CS030__RR025__QC05,1000,0.1,0.3,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,22,21,0.4883720930232558,True
H01000__LM010__CS030__RR050__QC02,1000,0.1,0.3,0.5,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H01000__LM010__CS030__RR050__QC05,1000,0.1,0.3,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM010__CS030__RR075__QC02,1000,0.1,0.3,0.75,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H01000__LM010__CS030__RR075__QC05,1000,0.1,0.3,0.75,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H01000__LM010__CS040__RR000__QC02,1000,0.1,0.4,0.0,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM010__CS040__RR000__QC05,1000,0.1,0.4,0.0,5,44,39,0.8863636363636364,39,0.8863636363636364,22,17,0.4358974358974359,True
H01000__LM010__CS040__RR025__QC02,1000,0.1,0.4,0.25,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM010__CS040__RR025__QC05,1000,0.1,0.4,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,22,21,0.4883720930232558,True
H01000__LM010__CS040__RR050__QC02,1000,0.1,0.4,0.5,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM010__CS040__RR050__QC05,1000,0.1,0.4,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM010__CS040__RR075__QC02,1000,0.1,0.4,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM010__CS040__RR075__QC05,1000,0.1,0.4,0.75,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM010__CS050__RR000__QC02,1000,0.1,0.5,0.0,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM010__CS050__RR000__QC05,1000,0.1,0.5,0.0,5,44,39,0.8863636363636364,39,0.8863636363636364,21,18,0.46153846153846156,True
H01000__LM010__CS050__RR025__QC02,1000,0.1,0.5,0.25,2,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM010__CS050__RR025__QC05,1000,0.1,0.5,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,22,21,0.4883720930232558,True
H01000__LM010__CS050__RR050__QC02,1000,0.1,0.5,0.5,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM010__CS050__RR050__QC05,1000,0.1,0.5,0.5,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM010__CS050__RR075__QC02,1000,0.1,0.5,0.75,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM010__CS050__RR075__QC05,1000,0.1,0.5,0.75,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H01000__LM015__CS010__RR000__QC02,1000,0.15,0.1,0.0,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM015__CS010__RR000__QC05,1000,0.15,0.1,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,21,17,0.4473684210526316,True
H01000__LM015__CS010__RR025__QC02,1000,0.15,0.1,0.25,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS010__RR025__QC05,1000,0.15,0.1,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
