timestamp_utc,bar_start_utc,bar_end_utc,broker,symbol,timeframe,open,high,low,close,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_open_points,spread_close_points,spread_median_points,spread_p95_points,tick_count,volume_sum
2016-01-01T01:00:00Z,2016-01-01T00:00:00Z,2016-01-01T01:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T02:00:00Z,2016-01-01T01:00:00Z,2016-01-01T02:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T03:00:00Z,2016-01-01T02:00:00Z,2016-01-01T03:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T04:00:00Z,2016-01-01T03:00:00Z,2016-01-01T04:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T05:00:00Z,2016-01-01T04:00:00Z,2016-01-01T05:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T06:00:00Z,2016-01-01T05:00:00Z,2016-01-01T06:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T07:00:00Z,2016-01-01T06:00:00Z,2016-01-01T07:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T08:00:00Z,2016-01-01T07:00:00Z,2016-01-01T08:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T09:00:00Z,2016-01-01T08:00:00Z,2016-01-01T09:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T10:00:00Z,2016-01-01T09:00:00Z,2016-01-01T10:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T11:00:00Z,2016-01-01T10:00:00Z,2016-01-01T11:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T12:00:00Z,2016-01-01T11:00:00Z,2016-01-01T12:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T13:00:00Z,2016-01-01T12:00:00Z,2016-01-01T13:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T14:00:00Z,2016-01-01T13:00:00Z,2016-01-01T14:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T15:00:00Z,2016-01-01T14:00:00Z,2016-01-01T15:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T16:00:00Z,2016-01-01T15:00:00Z,2016-01-01T16:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T17:00:00Z,2016-01-01T16:00:00Z,2016-01-01T17:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T18:00:00Z,2016-01-01T17:00:00Z,2016-01-01T18:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T19:00:00Z,2016-01-01T18:00:00Z,2016-01-01T19:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T20:00:00Z,2016-01-01T19:00:00Z,2016-01-01T20:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T21:00:00Z,2016-01-01T20:00:00Z,2016-01-01T21:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T22:00:00Z,2016-01-01T21:00:00Z,2016-01-01T22:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-01T23:00:00Z,2016-01-01T22:00:00Z,2016-01-01T23:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T00:00:00Z,2016-01-01T23:00:00Z,2016-01-02T00:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T01:00:00Z,2016-01-02T00:00:00Z,2016-01-02T01:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T02:00:00Z,2016-01-02T01:00:00Z,2016-01-02T02:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T03:00:00Z,2016-01-02T02:00:00Z,2016-01-02T03:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T04:00:00Z,2016-01-02T03:00:00Z,2016-01-02T04:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T05:00:00Z,2016-01-02T04:00:00Z,2016-01-02T05:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T06:00:00Z,2016-01-02T05:00:00Z,2016-01-02T06:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
2016-01-02T07:00:00Z,2016-01-02T06:00:00Z,2016-01-02T07:00:00Z,dukascopy,XAUUSD,H1,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,1060.881,,,,,,,,,,,,,1.0,0.0
