family,regime,eligible_date,decision_id,clock_minute,macro_family,macro_signal_time_utc,macro_age_hours,official_initial_value,forecast_value,surprise_value,side,window,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,portfolio_r,extra_half_pip_stress_r,extra_half_pip_stress_portfolio_r,fixed_0p01_lot_usd,parent_decision_id,variant,official_pdf_sha256,tradingview_event_id,tradingview_ticker,retrieval_semantics,prior_15m_return,price_side
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-02-14,MACRO_SURPRISE_CARRY::2019-02-14T0000,0,CPI,2019-02-13 13:30:00+00:00,10.5,0.0,0.1,-0.1,LONG,development_2019_2022,2019-02-14 00:00:00+00:00,2019-02-14 00:05:00+00:00,1.12654,1.1261400000000001,1.12714,1.12613,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146,2019-02-14T0000,MACRO_SURPRISE_CARRY,8ca59cb06ead4da794cf7d8d099c098529aeb8fde5f8519c045dccd060ea5136,180256,ECONOMICS:USIRMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,0.00031000000000003247,LONG
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-02-14,MACRO_SURPRISE_CARRY::2019-02-14T0015,15,CPI,2019-02-13 13:30:00+00:00,10.75,0.0,0.1,-0.1,LONG,development_2019_2022,2019-02-14 00:15:00+00:00,2019-02-14 00:45:00+00:00,1.12622,1.12582,1.12682,1.1268099999999999,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684,2019-02-14T0015,MACRO_SURPRISE_CARRY,8ca59cb06ead4da794cf7d8d099c098529aeb8fde5f8519c045dccd060ea5136,180256,ECONOMICS:USIRMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,-0.00031000000000003247,SHORT
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-02-14,MACRO_SURPRISE_CARRY::2019-02-14T0030,30,CPI,2019-02-13 13:30:00+00:00,11.0,0.0,0.1,-0.1,LONG,development_2019_2022,2019-02-14 00:30:00+00:00,2019-02-14 01:35:00+00:00,1.12627,1.1258700000000001,1.12687,1.12686,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684,2019-02-14T0030,MACRO_SURPRISE_CARRY,8ca59cb06ead4da794cf7d8d099c098529aeb8fde5f8519c045dccd060ea5136,180256,ECONOMICS:USIRMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,4.0000000000040004e-05,LONG
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-02-14,MACRO_SURPRISE_CARRY::2019-02-14T0045,45,CPI,2019-02-13 13:30:00+00:00,11.25,0.0,0.1,-0.1,LONG,development_2019_2022,2019-02-14 00:45:00+00:00,2019-02-14 01:00:00+00:00,1.12674,1.1263400000000001,1.12734,1.12633,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146,2019-02-14T0045,MACRO_SURPRISE_CARRY,8ca59cb06ead4da794cf7d8d099c098529aeb8fde5f8519c045dccd060ea5136,180256,ECONOMICS:USIRMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,0.00045000000000006146,LONG
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-03-11,MACRO_SURPRISE_CARRY::2019-03-11T0000,0,NFP,2019-03-08 13:30:00+00:00,58.5,20000.0,180000.0,-160000.0,LONG,development_2019_2022,2019-03-11 00:00:00+00:00,2019-03-11 00:15:00+00:00,1.1232300000000002,1.1228300000000002,1.12383,1.1228200000000002,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146,2019-03-11T0000,MACRO_SURPRISE_CARRY,8d180f31f4b13f1b236c077a21921c797e45cdb5644573f29299c698498abeb9,225766,ECONOMICS:USNFP,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,-0.00020999999999982144,SHORT
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-03-11,MACRO_SURPRISE_CARRY::2019-03-11T0015,15,NFP,2019-03-08 13:30:00+00:00,58.75,20000.0,180000.0,-160000.0,LONG,development_2019_2022,2019-03-11 00:15:00+00:00,2019-03-11 00:25:00+00:00,1.12298,1.1225800000000001,1.12358,1.12257,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146,2019-03-11T0015,MACRO_SURPRISE_CARRY,8d180f31f4b13f1b236c077a21921c797e45cdb5644573f29299c698498abeb9,225766,ECONOMICS:USNFP,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,-0.00024000000000001798,SHORT
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-03-11,MACRO_SURPRISE_CARRY::2019-03-11T0030,30,NFP,2019-03-08 13:30:00+00:00,59.0,20000.0,180000.0,-160000.0,LONG,development_2019_2022,2019-03-11 00:30:00+00:00,2019-03-11 03:05:00+00:00,1.12266,1.12226,1.12326,1.1232499999999999,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684,2019-03-11T0030,MACRO_SURPRISE_CARRY,8d180f31f4b13f1b236c077a21921c797e45cdb5644573f29299c698498abeb9,225766,ECONOMICS:USNFP,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,-0.0003300000000001635,SHORT
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-03-11,MACRO_SURPRISE_CARRY::2019-03-11T0045,45,NFP,2019-03-08 13:30:00+00:00,59.25,20000.0,180000.0,-160000.0,LONG,development_2019_2022,2019-03-11 00:45:00+00:00,2019-03-11 02:35:00+00:00,1.12261,1.1222100000000002,1.12321,1.1232,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684,2019-03-11T0045,MACRO_SURPRISE_CARRY,8d180f31f4b13f1b236c077a21921c797e45cdb5644573f29299c698498abeb9,225766,ECONOMICS:USNFP,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,-7.00000000000145e-05,SHORT
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-04-12,MACRO_SURPRISE_CARRY::2019-04-12T0000,0,PPI,2019-04-11 12:30:00+00:00,11.5,0.6,0.3,0.3,SHORT,development_2019_2022,2019-04-12 00:00:00+00:00,2019-04-12 00:30:00+00:00,1.12601,1.12641,1.12541,1.12642,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146,2019-04-12T0000,MACRO_SURPRISE_CARRY,860d786a6aaaba6d80ecfdff3dc87ed29794c91805cec645c5983e5f75c2a60c,183467,ECONOMICS:USPPIMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,-0.00012999999999996348,SHORT
N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,NEUTRAL,2019-04-12,MACRO_SURPRISE_CARRY::2019-04-12T0015,15,PPI,2019-04-11 12:30:00+00:00,11.75,0.6,0.3,0.3,SHORT,development_2019_2022,2019-04-12 00:15:00+00:00,2019-04-12 00:25:00+00:00,1.12582,1.12622,1.12522,1.12623,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146,2019-04-12T0015,MACRO_SURPRISE_CARRY,860d786a6aaaba6d80ecfdff3dc87ed29794c91805cec645c5983e5f75c2a60c,183467,ECONOMICS:USPPIMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,-0.00018999999999991246,SHORT
