prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes,variant
89,2020-07-03 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,1568,2020-07-03 00:20:00+00:00,1,5.0,MACRO_SURPRISE_CARRY
92,2020-07-15 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,1602,2020-07-15 00:10:00+00:00,3,10.0,MACRO_SURPRISE_CARRY
93,2020-07-15 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,1603,2020-07-15 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
96,2020-08-14 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,1688,2020-08-14 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
97,2020-08-14 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,1690,2020-08-14 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
98,2020-08-14 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,1691,2020-08-14 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
108,2020-12-07 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2012,2020-12-07 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
109,2020-12-07 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2015,2020-12-07 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
120,2021-05-13 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2460,2021-05-13 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
134,2021-07-05 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2611,2021-07-05 00:45:00+00:00,4,15.0,MACRO_SURPRISE_CARRY
136,2021-07-15 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2640,2021-07-15 00:05:00+00:00,1,5.0,MACRO_SURPRISE_CARRY
137,2021-07-15 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2642,2021-07-15 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
140,2021-07-16 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2644,2021-07-16 00:10:00+00:00,1,10.0,MACRO_SURPRISE_CARRY
141,2021-07-16 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2645,2021-07-16 00:15:00+00:00,2,0.0,MACRO_SURPRISE_CARRY
142,2021-07-16 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2647,2021-07-16 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
148,2021-09-13 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2808,2021-09-13 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
