stage,pass,trades,source_days,trades_per_source_day,net_r,profit_factor,average_r,stress_net_r,stress_profit_factor,average_stress_r,stress_drawdown_r,positive_active_year_share,top_winners_removed_stress_net_r
train,False,66,1554,0.04247104247104247,-31.729448274423405,0.44334301272940846,-0.48074921627914247,-60.282630365996155,0.25026832785888037,-0.9133731873635781,61.1549248444365,0.0,-75.61170780241372
validation,False,59,931,0.06337271750805586,-3.381187093388296,0.9213677420142242,-0.05730825582014061,-19.957043724104633,0.6347499951430036,-0.3382549783746548,22.989253561819027,0.0,-34.03568650652008
exam,False,55,624,0.08814102564102565,-27.278813058749037,0.40452478273594655,-0.4959784192499825,-38.13523196404081,0.3065207353585208,-0.6933678538916511,38.14688073082649,0.0,-45.87959777877543
full,False,180,3109,0.05789642972016726,-62.38944842656073,0.5721186383288032,-0.3466080468142263,-118.3749060541416,0.37709278796771073,-0.6576383669674534,120.4843613735357,0.0,-145.95627799655773
