candidate_index,signal_time_utc,entry_time_utc,side,status,prior_position_exit_utc
0,2019-01-07 23:55:00+00:00,2019-01-08 00:00:00+00:00,SHORT,CLOSED,2019-01-08 01:55:00+00:00
1,2019-01-09 23:55:00+00:00,2019-01-10 00:00:00+00:00,SHORT,CLOSED,2019-01-10 12:00:00+00:00
2,2019-02-06 23:55:00+00:00,2019-02-07 00:00:00+00:00,LONG,CLOSED,2019-02-07 07:35:00+00:00
3,2019-02-11 23:55:00+00:00,2019-02-12 00:00:00+00:00,LONG,CLOSED,2019-02-12 08:25:00+00:00
4,2019-02-12 23:55:00+00:00,2019-02-13 00:00:00+00:00,SHORT,CLOSED,2019-02-13 12:00:00+00:00
5,2019-02-13 23:55:00+00:00,2019-02-14 00:00:00+00:00,LONG,CLOSED,2019-02-14 12:00:00+00:00
6,2019-03-07 23:55:00+00:00,2019-03-08 00:00:00+00:00,LONG,CLOSED,2019-03-08 12:00:00+00:00
7,2019-03-26 23:55:00+00:00,2019-03-27 00:00:00+00:00,LONG,CLOSED,2019-03-27 01:15:00+00:00
8,2019-04-24 23:55:00+00:00,2019-04-25 00:00:00+00:00,LONG,CLOSED,2019-04-25 09:40:00+00:00
9,2019-04-29 23:55:00+00:00,2019-04-30 00:00:00+00:00,SHORT,CLOSED,2019-04-30 07:00:00+00:00
10,2019-05-02 23:55:00+00:00,2019-05-03 00:00:00+00:00,LONG,CLOSED,2019-05-03 06:45:00+00:00
11,2019-05-14 23:55:00+00:00,2019-05-15 00:00:00+00:00,LONG,CLOSED,2019-05-15 11:00:00+00:00
12,2019-05-16 23:55:00+00:00,2019-05-17 00:00:00+00:00,LONG,CLOSED,2019-05-17 09:30:00+00:00
13,2019-07-01 23:55:00+00:00,2019-07-02 00:00:00+00:00,LONG,CLOSED,2019-07-02 09:45:00+00:00
14,2019-07-17 23:55:00+00:00,2019-07-18 00:00:00+00:00,SHORT,CLOSED,2019-07-18 00:50:00+00:00
15,2019-07-23 23:55:00+00:00,2019-07-24 00:00:00+00:00,LONG,CLOSED,2019-07-24 07:30:00+00:00
16,2019-08-13 23:55:00+00:00,2019-08-14 00:00:00+00:00,LONG,CLOSED,2019-08-14 12:00:00+00:00
17,2019-08-19 23:55:00+00:00,2019-08-20 00:00:00+00:00,LONG,CLOSED,2019-08-20 07:55:00+00:00
18,2019-09-04 23:55:00+00:00,2019-09-05 00:00:00+00:00,SHORT,CLOSED,2019-09-05 10:15:00+00:00
19,2019-09-16 23:55:00+00:00,2019-09-17 00:00:00+00:00,LONG,CLOSED,2019-09-17 12:00:00+00:00
20,2019-09-17 23:55:00+00:00,2019-09-18 00:00:00+00:00,SHORT,CLOSED,2019-09-18 09:00:00+00:00
21,2019-09-25 23:55:00+00:00,2019-09-26 00:00:00+00:00,LONG,CLOSED,2019-09-26 09:15:00+00:00
22,2019-10-01 23:55:00+00:00,2019-10-02 00:00:00+00:00,SHORT,CLOSED,2019-10-02 08:45:00+00:00
23,2019-10-02 23:55:00+00:00,2019-10-03 00:00:00+00:00,SHORT,CLOSED,2019-10-03 12:00:00+00:00
24,2019-10-16 23:55:00+00:00,2019-10-17 00:00:00+00:00,SHORT,CLOSED,2019-10-17 08:35:00+00:00
25,2019-10-24 23:55:00+00:00,2019-10-25 00:00:00+00:00,LONG,CLOSED,2019-10-25 12:00:00+00:00
26,2019-11-04 23:55:00+00:00,2019-11-05 00:00:00+00:00,LONG,CLOSED,2019-11-05 03:30:00+00:00
27,2019-12-02 23:55:00+00:00,2019-12-03 00:00:00+00:00,SHORT,CLOSED,2019-12-03 12:00:00+00:00
28,2019-12-05 23:55:00+00:00,2019-12-06 00:00:00+00:00,SHORT,CLOSED,2019-12-06 11:45:00+00:00
29,2019-12-18 23:55:00+00:00,2019-12-19 00:00:00+00:00,LONG,CLOSED,2019-12-19 03:20:00+00:00
30,2020-01-02 23:55:00+00:00,2020-01-03 00:00:00+00:00,LONG,CLOSED,2020-01-03 07:40:00+00:00
31,2020-01-21 23:55:00+00:00,2020-01-22 00:00:00+00:00,LONG,CLOSED,2020-01-22 07:20:00+00:00
32,2020-02-10 23:55:00+00:00,2020-02-11 00:00:00+00:00,LONG,CLOSED,2020-02-11 12:00:00+00:00
33,2020-02-18 23:55:00+00:00,2020-02-19 00:00:00+00:00,LONG,CLOSED,2020-02-19 12:00:00+00:00
34,2020-03-25 23:55:00+00:00,2020-03-26 00:00:00+00:00,SHORT,CLOSED,2020-03-26 00:40:00+00:00
