trade_index,entry_time_utc,side,oracle_match_exact,oracle_match_15m,oracle_entry_time_utc,absolute_minutes
0,2019-01-08 00:00:00+00:00,SHORT,False,True,2019-01-08 00:05:00+00:00,5.0
1,2019-01-10 00:00:00+00:00,SHORT,False,False,,
2,2019-02-07 00:00:00+00:00,LONG,False,False,,
3,2019-02-12 00:00:00+00:00,LONG,False,True,2019-02-12 00:05:00+00:00,5.0
4,2019-02-13 00:00:00+00:00,SHORT,False,True,2019-02-13 00:15:00+00:00,15.0
5,2019-02-14 00:00:00+00:00,LONG,False,True,2019-02-14 00:10:00+00:00,10.0
6,2019-03-08 00:00:00+00:00,LONG,False,False,,
7,2019-03-27 00:00:00+00:00,LONG,False,False,,
8,2019-04-25 00:00:00+00:00,LONG,False,True,2019-04-25 00:05:00+00:00,5.0
9,2019-04-30 00:00:00+00:00,SHORT,False,False,,
10,2019-05-03 00:00:00+00:00,LONG,False,False,,
11,2019-05-15 00:00:00+00:00,LONG,True,True,2019-05-15 00:00:00+00:00,0.0
12,2019-05-17 00:00:00+00:00,LONG,True,True,2019-05-17 00:00:00+00:00,0.0
13,2019-07-02 00:00:00+00:00,LONG,False,False,,
14,2019-07-18 00:00:00+00:00,SHORT,False,False,,
15,2019-07-24 00:00:00+00:00,LONG,False,True,2019-07-24 00:15:00+00:00,15.0
16,2019-08-14 00:00:00+00:00,LONG,False,False,,
17,2019-08-20 00:00:00+00:00,LONG,True,True,2019-08-20 00:00:00+00:00,0.0
18,2019-09-05 00:00:00+00:00,SHORT,True,True,2019-09-05 00:00:00+00:00,0.0
19,2019-09-17 00:00:00+00:00,LONG,True,True,2019-09-17 00:00:00+00:00,0.0
20,2019-09-18 00:00:00+00:00,SHORT,True,True,2019-09-18 00:00:00+00:00,0.0
21,2019-09-26 00:00:00+00:00,LONG,True,True,2019-09-26 00:00:00+00:00,0.0
22,2019-10-02 00:00:00+00:00,SHORT,False,False,,
23,2019-10-03 00:00:00+00:00,SHORT,False,True,2019-10-03 00:05:00+00:00,5.0
24,2019-10-17 00:00:00+00:00,SHORT,False,False,,
25,2019-10-25 00:00:00+00:00,LONG,True,True,2019-10-25 00:00:00+00:00,0.0
26,2019-11-05 00:00:00+00:00,LONG,False,False,,
27,2019-12-03 00:00:00+00:00,SHORT,False,False,,
28,2019-12-06 00:00:00+00:00,SHORT,False,False,,
29,2019-12-19 00:00:00+00:00,LONG,True,True,2019-12-19 00:00:00+00:00,0.0
30,2020-01-03 00:00:00+00:00,LONG,True,True,2020-01-03 00:00:00+00:00,0.0
31,2020-01-22 00:00:00+00:00,LONG,False,False,,
32,2020-02-11 00:00:00+00:00,LONG,False,True,2020-02-11 00:05:00+00:00,5.0
33,2020-02-19 00:00:00+00:00,LONG,True,True,2020-02-19 00:00:00+00:00,0.0
34,2020-03-26 00:00:00+00:00,SHORT,True,True,2020-03-26 00:00:00+00:00,0.0
35,2020-04-03 00:00:00+00:00,LONG,False,False,,
36,2020-04-15 00:00:00+00:00,SHORT,False,False,,
37,2020-04-23 00:00:00+00:00,LONG,True,True,2020-04-23 00:00:00+00:00,0.0
38,2020-05-01 00:00:00+00:00,SHORT,True,True,2020-05-01 00:00:00+00:00,0.0
39,2020-05-14 00:00:00+00:00,LONG,False,False,,
40,2020-05-19 00:00:00+00:00,SHORT,False,False,,
41,2020-05-22 00:00:00+00:00,LONG,False,False,,
42,2020-05-28 00:00:00+00:00,SHORT,True,True,2020-05-28 00:00:00+00:00,0.0
43,2020-05-29 00:00:00+00:00,SHORT,True,True,2020-05-29 00:00:00+00:00,0.0
44,2020-06-16 00:00:00+00:00,SHORT,True,True,2020-06-16 00:00:00+00:00,0.0
