family,regime,signal_time_utc,entry_time_utc,side,window,risk_pips,status,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-01-07 23:55:00+00:00,2019-01-08 00:00:00+00:00,SHORT,DEVELOPMENT_2019_2022,19.47499999999991,CLOSED,2019-01-08 01:55:00+00:00,1.1478899999999999,1.1498374999999998,1.14496875,1.1449787500000002,TARGET,0.0019474999999999,1.4948652118099348,1.4691912708599977,2.911249999999699
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-01-09 23:55:00+00:00,2019-01-10 00:00:00+00:00,SHORT,DEVELOPMENT_2019_2022,29.7499999999995,CLOSED,2019-01-10 12:00:00+00:00,1.1554,1.158375,1.1509375000000002,1.1524800000000002,TIME_12H,0.0029749999999999,0.9815126050419865,0.9647058823529102,2.9199999999998116
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-02-06 23:55:00+00:00,2019-02-07 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,12.087499999999809,CLOSED,2019-02-07 07:35:00+00:00,1.13663,1.13542125,1.1384431249999998,1.13541125,STOP,0.0012087499999999,-1.0082730093072572,-1.049638055842938,-1.2187500000000462
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-02-11 23:55:00+00:00,2019-02-12 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,15.662499999999913,CLOSED,2019-02-12 08:25:00+00:00,1.12793,1.12636375,1.130279375,1.12635375,STOP,0.0015662499999999,-1.0063846767758386,-1.0383080606545319,-1.5762500000000568
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-02-12 23:55:00+00:00,2019-02-13 00:00:00+00:00,SHORT,DEVELOPMENT_2019_2022,20.4749999999998,CLOSED,2019-02-13 12:00:00+00:00,1.1333499999999999,1.1353974999999998,1.13027875,1.1325500000000002,TIME_12H,0.0020474999999999,0.3907203907202583,0.3663003663002327,0.7999999999996898
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-02-13 23:55:00+00:00,2019-02-14 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,23.06249999999954,CLOSED,2019-02-14 12:00:00+00:00,1.12654,1.12423375,1.129999375,1.1267,TIME_12H,0.0023062499999999,0.06937669376691379,0.04769647696474483,0.15999999999993797
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-03-07 23:55:00+00:00,2019-03-08 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,35.9749999999992,CLOSED,2019-03-08 12:00:00+00:00,1.11988,1.1162825,1.1252762499999998,1.12173,TIME_12H,0.0035974999999999,0.5142460041695507,0.5003474635163189,1.8499999999999073
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-03-26 23:55:00+00:00,2019-03-27 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,15.662499999999913,CLOSED,2019-03-27 01:15:00+00:00,1.12745,1.12588375,1.129799375,1.12587375,STOP,0.0015662499999999,-1.0063846767758386,-1.0383080606545319,-1.5762500000000568
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-04-24 23:55:00+00:00,2019-04-25 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,20.899999999999253,CLOSED,2019-04-25 09:40:00+00:00,1.11542,1.1133300000000002,1.118555,1.11332,STOP,0.0020899999999999,-1.004784688995259,-1.0287081339713366,-2.0999999999999908
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-04-29 23:55:00+00:00,2019-04-30 00:00:00+00:00,SHORT,DEVELOPMENT_2019_2022,10.462500000001372,CLOSED,2019-04-30 07:00:00+00:00,1.11846,1.11950625,1.116890625,1.11951625,STOP,0.0010462500000001,-1.0095579450417012,-1.0573476702507767,-1.0562499999999808
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-05-02 23:55:00+00:00,2019-05-03 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,12.087499999999809,CLOSED,2019-05-03 06:45:00+00:00,1.1173600000000001,1.1161512500000002,1.1191731249999999,1.11614125,STOP,0.0012087499999999,-1.0082730093072572,-1.049638055842938,-1.2187500000000462
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-05-14 23:55:00+00:00,2019-05-15 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,10.67499999999999,CLOSED,2019-05-15 11:00:00+00:00,1.12039,1.1193225,1.1219912499999998,1.1193125,STOP,0.0010674999999999,-1.009367681498984,-1.0562060889931337,-1.0775000000000645
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-05-16 23:55:00+00:00,2019-05-17 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,14.425000000000132,CLOSED,2019-05-17 09:30:00+00:00,1.11738,1.1159375,1.11954375,1.1159275,STOP,0.0014425,-1.0069324090121863,-1.0415944540728448,-1.4525000000000787
N49_NEUTRAL_PRIOR24_EXTREME_FADE,NEUTRAL,2019-07-01 23:55:00+00:00,2019-07-02 00:00:00+00:00,LONG,DEVELOPMENT_2019_2022,20.937500000000053,CLOSED,2019-07-02 09:45:00+00:00,1.12876,1.12666625,1.1319006249999999,1.1318906249999998,TARGET,0.00209375,1.4952238805969342,1.4713432835820088,3.1306249999998315
