target_year,training_rows,training_last_original_exit_time,training_target_mean_r,training_target_q25_r,target_rows,target_spearman,target_pinball_loss,target_score_mean_r,target_score_max_r,first_action_trades,first_action_positive_benefit_share,first_action_net_benefit_usd,first_action_worst_benefit_usd
2022,230109,2021-12-29 15:00:00+00:00,0.02318786729143722,-0.5947559593462438,200,0.10808307367036803,0.5374331273881405,-0.6518145772730756,0.5095472546021788,14,0.7857142857142857,2.8574166666675964,-15.59284722222215
2023,272299,2022-12-29 20:00:00+00:00,0.019280013172006158,-0.6244893203248942,123,-0.15861100497080657,0.6238888037485508,-0.6982581433497829,0.48998170118619194,11,0.7272727272727273,-23.92924565972207,-25.756388888888907
2024,314249,2023-12-29 20:55:00+00:00,0.013133914356078283,-0.6336907805378846,153,-0.05658201032497187,0.7184373011576427,-0.7072833822898363,0.45519159944925763,14,0.5714285714285714,-73.77962152777755,-30.157986111111207
2025,356284,2024-12-29 22:25:00+00:00,0.006870887263523825,-0.6502330654885439,164,0.02367890174098482,0.8590457295141037,-0.7236295097160127,0.4750021281597781,13,0.6923076923076923,-115.45271006944668,-75.33555555555547
2026,399359,2025-12-29 13:40:00+00:00,-0.0007875779966162201,-0.6776446107916716,47,0.3380167684170046,1.0246933085889665,-0.7090975846280447,0.3631294700267252,2,0.5,-42.53937326388771,-60.52163194444394
