attempt_no,policy_id,mechanic,raw_discovery_signal_count,parameters_json
10094,b4692107f44d68b5,UTC_HOUR_DIRECTIONAL_CARRY,1146,"{""decision_hour"":18,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":0.75,""target_r"":3.0,""weekday_set"":""ALL""}"
10095,e41650e9072df6bc,UTC_HOUR_DIRECTIONAL_CARRY,459,"{""decision_hour"":21,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""TUTH""}"
10096,c66cadc5f323a611,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":3,""fixed_direction"":1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":1.5,""weekday_set"":""TUTH""}"
10097,920d02217dc617c2,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":17,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":0.75,""target_r"":1.0,""weekday_set"":""MWF""}"
10098,c02b6d12329b2341,UTC_HOUR_DIRECTIONAL_CARRY,763,"{""decision_hour"":23,""fixed_direction"":1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":1.5,""weekday_set"":""ALL""}"
10099,fbee73a3b1f963ec,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":1,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":1.0,""target_r"":1.0,""weekday_set"":""TUTH""}"
10100,89c1d882f4687bcf,UTC_HOUR_DIRECTIONAL_CARRY,221,"{""decision_hour"":22,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":0.75,""target_r"":2.0,""weekday_set"":""MWF""}"
10101,7d63f60db93777b7,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":12,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":0.75,""target_r"":1.0,""weekday_set"":""ALL""}"
10102,64f1f62719924f9c,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":6,""fixed_direction"":1,""hold_hours"":4,""stop_atr"":2.0,""target_r"":1.0,""weekday_set"":""ALL""}"
10103,9f94f2f4bd2fe0f4,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":6,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":1.5,""target_r"":1.5,""weekday_set"":""MWF""}"
10104,56bc41b543b68e8b,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":7,""fixed_direction"":-1,""hold_hours"":2,""stop_atr"":1.5,""target_r"":3.0,""weekday_set"":""ALL""}"
10105,7fb9859dec9e4aa1,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":15,""fixed_direction"":-1,""hold_hours"":8,""stop_atr"":1.0,""target_r"":2.0,""weekday_set"":""MWF""}"
10106,4623b3ecd2d935b2,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":11,""fixed_direction"":-1,""hold_hours"":8,""stop_atr"":1.0,""target_r"":3.0,""weekday_set"":""MWF""}"
10107,e584c1f537e59e69,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":5,""fixed_direction"":1,""hold_hours"":2,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""TUTH""}"
10108,9e4568ac6acb4a7c,UTC_HOUR_DIRECTIONAL_CARRY,680,"{""decision_hour"":18,""fixed_direction"":1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":3.0,""weekday_set"":""MWF""}"
10109,322ce83a7222924e,UTC_HOUR_DIRECTIONAL_CARRY,221,"{""decision_hour"":22,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":0.75,""target_r"":2.0,""weekday_set"":""MWF""}"
10110,43fbef91486da26a,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":7,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":1.5,""target_r"":2.0,""weekday_set"":""ALL""}"
10111,7a17c2d48b917245,UTC_HOUR_DIRECTIONAL_CARRY,459,"{""decision_hour"":19,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""TUTH""}"
10112,5cd6124b2226f5cd,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":10,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""MWF""}"
10113,a41d0e79746e872e,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":17,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":0.75,""target_r"":2.0,""weekday_set"":""TUTH""}"
10114,fd29ca365ad859cd,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":13,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":1.5,""target_r"":1.5,""weekday_set"":""TUTH""}"
10115,56e1b937f3b6cd3d,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":5,""fixed_direction"":1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""ALL""}"
10116,ca9bb08b3ce3438e,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":5,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":1.0,""target_r"":1.0,""weekday_set"":""MWF""}"
10117,e17ed6e32e3868fb,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":8,""fixed_direction"":1,""hold_hours"":4,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""TUTH""}"
10118,55f39708d0915ec4,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":3,""fixed_direction"":-1,""hold_hours"":8,""stop_atr"":0.75,""target_r"":2.0,""weekday_set"":""TUTH""}"
10119,92947b62fc4be577,UTC_HOUR_DIRECTIONAL_CARRY,1158,"{""decision_hour"":0,""fixed_direction"":-1,""hold_hours"":8,""stop_atr"":0.75,""target_r"":1.0,""weekday_set"":""ALL""}"
10120,156b95371fac7478,UTC_HOUR_DIRECTIONAL_CARRY,459,"{""decision_hour"":20,""fixed_direction"":1,""hold_hours"":2,""stop_atr"":1.5,""target_r"":1.5,""weekday_set"":""TUTH""}"
10121,bd420aa05461db57,UTC_HOUR_DIRECTIONAL_CARRY,669,"{""decision_hour"":19,""fixed_direction"":-1,""hold_hours"":2,""stop_atr"":2.0,""target_r"":1.0,""weekday_set"":""MWF""}"
10122,1d187175c67741e1,UTC_HOUR_DIRECTIONAL_CARRY,1128,"{""decision_hour"":19,""fixed_direction"":1,""hold_hours"":4,""stop_atr"":1.5,""target_r"":1.5,""weekday_set"":""ALL""}"
10123,f16928ca48eba853,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":10,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""ALL""}"
10124,f008950257c7351a,UTC_HOUR_DIRECTIONAL_CARRY,221,"{""decision_hour"":22,""fixed_direction"":-1,""hold_hours"":8,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""MWF""}"
10125,45803d1fe3a03b00,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":17,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":3.0,""weekday_set"":""MWF""}"
10126,76a408ba6d6e4d05,UTC_HOUR_DIRECTIONAL_CARRY,1127,"{""decision_hour"":20,""fixed_direction"":1,""hold_hours"":4,""stop_atr"":0.75,""target_r"":1.5,""weekday_set"":""ALL""}"
10127,aad304275141cc9f,UTC_HOUR_DIRECTIONAL_CARRY,1127,"{""decision_hour"":21,""fixed_direction"":-1,""hold_hours"":2,""stop_atr"":0.75,""target_r"":3.0,""weekday_set"":""ALL""}"
10128,0527650cae7dbfcf,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":1,""fixed_direction"":1,""hold_hours"":2,""stop_atr"":2.0,""target_r"":2.0,""weekday_set"":""ALL""}"
10129,551dd74b771c7808,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":7,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":0.75,""target_r"":1.5,""weekday_set"":""MWF""}"
10130,78348fc9c143b3d2,UTC_HOUR_DIRECTIONAL_CARRY,466,"{""decision_hour"":18,""fixed_direction"":1,""hold_hours"":2,""stop_atr"":1.0,""target_r"":1.5,""weekday_set"":""TUTH""}"
10131,4241256b2d2a9440,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":2,""fixed_direction"":1,""hold_hours"":4,""stop_atr"":2.0,""target_r"":1.0,""weekday_set"":""ALL""}"
10132,73f990244bd116c9,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":13,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":1.0,""target_r"":1.5,""weekday_set"":""TUTH""}"
10133,cf9c30ea034ae145,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":5,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":1.5,""target_r"":3.0,""weekday_set"":""ALL""}"
10134,84843791dd2d0ed6,UTC_HOUR_DIRECTIONAL_CARRY,669,"{""decision_hour"":19,""fixed_direction"":-1,""hold_hours"":2,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""MWF""}"
10135,dceb414c8a5daa1e,UTC_HOUR_DIRECTIONAL_CARRY,668,"{""decision_hour"":21,""fixed_direction"":1,""hold_hours"":2,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""MWF""}"
10136,15f18355f9f251ab,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":6,""fixed_direction"":-1,""hold_hours"":2,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""TUTH""}"
10137,5a21d18f156e57b0,UTC_HOUR_DIRECTIONAL_CARRY,668,"{""decision_hour"":20,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":1.0,""target_r"":1.0,""weekday_set"":""MWF""}"
10138,8123ff3e14019ee6,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":12,""fixed_direction"":-1,""hold_hours"":2,""stop_atr"":1.0,""target_r"":1.5,""weekday_set"":""ALL""}"
10139,66623002aeaaeecf,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":12,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":1.5,""target_r"":3.0,""weekday_set"":""TUTH""}"
10140,3f5a4aeec8fff3e3,UTC_HOUR_DIRECTIONAL_CARRY,468,"{""decision_hour"":6,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":1.5,""target_r"":3.0,""weekday_set"":""TUTH""}"
10141,a1414b345080c2fe,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":14,""fixed_direction"":-1,""hold_hours"":2,""stop_atr"":1.5,""target_r"":1.5,""weekday_set"":""MWF""}"
10142,d5d050430008b69b,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":15,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""ALL""}"
10143,65e12d8d6a670208,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":9,""fixed_direction"":1,""hold_hours"":2,""stop_atr"":0.75,""target_r"":3.0,""weekday_set"":""MWF""}"
10144,14df2cabb574c25d,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":5,""fixed_direction"":1,""hold_hours"":12,""stop_atr"":1.0,""target_r"":1.0,""weekday_set"":""MWF""}"
10145,efc6c77d37713943,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":8,""fixed_direction"":-1,""hold_hours"":4,""stop_atr"":2.0,""target_r"":3.0,""weekday_set"":""MWF""}"
10146,69945190c9acaae5,UTC_HOUR_DIRECTIONAL_CARRY,694,"{""decision_hour"":14,""fixed_direction"":-1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""MWF""}"
10147,b5a112652e95c7df,UTC_HOUR_DIRECTIONAL_CARRY,1127,"{""decision_hour"":21,""fixed_direction"":-1,""hold_hours"":8,""stop_atr"":1.0,""target_r"":1.0,""weekday_set"":""ALL""}"
10148,8600834d74f64b0c,UTC_HOUR_DIRECTIONAL_CARRY,668,"{""decision_hour"":21,""fixed_direction"":1,""hold_hours"":8,""stop_atr"":1.0,""target_r"":1.5,""weekday_set"":""MWF""}"
10149,df76fa5c431f89eb,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":16,""fixed_direction"":1,""hold_hours"":2,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""ALL""}"
10150,e1a05f006df95bb2,UTC_HOUR_DIRECTIONAL_CARRY,668,"{""decision_hour"":20,""fixed_direction"":-1,""hold_hours"":8,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""MWF""}"
10151,f8825ba3025e7ccf,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":7,""fixed_direction"":1,""hold_hours"":4,""stop_atr"":0.75,""target_r"":3.0,""weekday_set"":""ALL""}"
10152,b6114bd479c23f1e,UTC_HOUR_DIRECTIONAL_CARRY,693,"{""decision_hour"":4,""fixed_direction"":1,""hold_hours"":12,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""MWF""}"
10153,84a027ebc975ef72,UTC_HOUR_DIRECTIONAL_CARRY,1162,"{""decision_hour"":8,""fixed_direction"":1,""hold_hours"":4,""stop_atr"":1.5,""target_r"":1.0,""weekday_set"":""ALL""}"
