symbol,required_months,complete_months,missing_or_incomplete_months,coverage_percent,period_start_utc,period_end_utc
EURUSD,120,1,119,0.833333,2016-07-01T00:00:00.000Z,2026-06-30T23:59:59.999Z
GBPUSD,120,1,119,0.833333,2016-07-01T00:00:00.000Z,2026-06-30T23:59:59.999Z
USDJPY,120,1,119,0.833333,2016-07-01T00:00:00.000Z,2026-06-30T23:59:59.999Z
XAUUSD,120,1,119,0.833333,2016-07-01T00:00:00.000Z,2026-06-30T23:59:59.999Z
