symbol,hour_utc,source_file_id,url,status,attempts,http_status,bytes,sha256,tick_count,etag,last_modified,path,error
EURUSD,2016-07-01T00:00:00.000Z,EURUSD-2016070100,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/0,RESUMED_VALID,0,200,79732,cbb09bcb9c754338d40793953b23826c6f4be6fd850c1b8022bec9499b9c4d70,2763,,,raw/EURUSD/year=2016/month=07/2016070100.json,
EURUSD,2016-07-01T01:00:00.000Z,EURUSD-2016070101,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/1,RESUMED_VALID,0,200,76745,990da8af5d3d5c1f6bcf3b7f7609cdc2606e3a61ba05f1d1582b479835fecff6,2656,,,raw/EURUSD/year=2016/month=07/2016070101.json,
EURUSD,2016-07-01T02:00:00.000Z,EURUSD-2016070102,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/2,RESUMED_VALID,0,200,56312,f41b9e68b4fb29a7bab19b9f1cfc65e5e07ec637f6c227ceca065651f4c8bd3a,1944,,,raw/EURUSD/year=2016/month=07/2016070102.json,
EURUSD,2016-07-01T03:00:00.000Z,EURUSD-2016070103,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/3,RESUMED_VALID,0,200,64132,fa9e65417bc78efeab07c96207735699b2a3eb6a76b67695f3922bd6087ceee6,2215,,,raw/EURUSD/year=2016/month=07/2016070103.json,
EURUSD,2016-07-01T04:00:00.000Z,EURUSD-2016070104,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/4,RESUMED_VALID,0,200,68862,52ec3b9d3643b4aa6c6e2cdbf827bf427034d07acd75cdbd59aca02ec5308215,2387,,,raw/EURUSD/year=2016/month=07/2016070104.json,
EURUSD,2016-07-01T05:00:00.000Z,EURUSD-2016070105,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/5,RESUMED_VALID,0,200,80658,b0ec61a053896a5e73e5a1ea905ab4569397634b1fcb0f3629605781e9865f16,2792,,,raw/EURUSD/year=2016/month=07/2016070105.json,
EURUSD,2016-07-01T06:00:00.000Z,EURUSD-2016070106,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/6,RESUMED_VALID,0,200,145093,e75a112016ea1af53cd334cc1f0768e66d9e0d523bfef0426c3f59a1db11b790,5050,,,raw/EURUSD/year=2016/month=07/2016070106.json,
EURUSD,2016-07-01T07:00:00.000Z,EURUSD-2016070107,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/7,RESUMED_VALID,0,200,188002,5dfa5fbf3be5f0a9cc9f0bea05239e5f03d7ca6ec2b9eb94af5acb415adab67c,6554,,,raw/EURUSD/year=2016/month=07/2016070107.json,
EURUSD,2016-07-01T08:00:00.000Z,EURUSD-2016070108,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/8,RESUMED_VALID,0,200,173662,76970969229da42828c7a65e5cb82c253a69ff181ea2a329358bc532b6132572,6047,,,raw/EURUSD/year=2016/month=07/2016070108.json,
EURUSD,2016-07-01T09:00:00.000Z,EURUSD-2016070109,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/9,RESUMED_VALID,0,200,135334,f12ed12607a4e13dc685a71da681a2c9f6027ef1a9e3c7fea3729ab3ac6d53b0,4699,,,raw/EURUSD/year=2016/month=07/2016070109.json,
EURUSD,2016-07-01T10:00:00.000Z,EURUSD-2016070110,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/10,RESUMED_VALID,0,200,136267,c3642311d0758944451f3b738e59b22016cab4e59af45dbe9759429889e9eda2,4737,,,raw/EURUSD/year=2016/month=07/2016070110.json,
EURUSD,2016-07-01T11:00:00.000Z,EURUSD-2016070111,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/11,RESUMED_VALID,0,200,151816,cbde696e95aa0e809b79b8a7f1a2fcccc1154a82ab2f6425045a70e22920235d,5285,,,raw/EURUSD/year=2016/month=07/2016070111.json,
EURUSD,2016-07-01T12:00:00.000Z,EURUSD-2016070112,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/12,RESUMED_VALID,0,200,166465,1cbf3b44a68231787751574f96248cf43e8d33e541dabbc2ea811b499be6db1b,5800,,,raw/EURUSD/year=2016/month=07/2016070112.json,
EURUSD,2016-07-01T13:00:00.000Z,EURUSD-2016070113,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2016/7/1/13,RESUMED_VALID,0,200,189840,c7ca8107f3ffc3b53c2de0c75c34d33420c383ea3f6fa46aaa8f560288bfaefc,6628,,,raw/EURUSD/year=2016/month=07/2016070113.json,
