symbol,month,basis,timeframe,bar_count,first_bar_utc,last_bar_utc
EURUSD,2016-07,Bid,M1,30204,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
EURUSD,2016-07,Bid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
EURUSD,2016-07,Bid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
EURUSD,2016-07,Bid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
EURUSD,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
EURUSD,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
EURUSD,2016-07,Ask,M1,30204,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
EURUSD,2016-07,Ask,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
EURUSD,2016-07,Ask,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
EURUSD,2016-07,Ask,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
EURUSD,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
EURUSD,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
EURUSD,2016-07,Mid,M1,30204,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
EURUSD,2016-07,Mid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
EURUSD,2016-07,Mid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
EURUSD,2016-07,Mid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
EURUSD,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
EURUSD,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
GBPUSD,2016-07,Bid,M1,30210,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
GBPUSD,2016-07,Bid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
GBPUSD,2016-07,Bid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
GBPUSD,2016-07,Bid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
GBPUSD,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
GBPUSD,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
GBPUSD,2016-07,Ask,M1,30210,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
GBPUSD,2016-07,Ask,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
GBPUSD,2016-07,Ask,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
GBPUSD,2016-07,Ask,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
GBPUSD,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
GBPUSD,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
GBPUSD,2016-07,Mid,M1,30210,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
GBPUSD,2016-07,Mid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
GBPUSD,2016-07,Mid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
GBPUSD,2016-07,Mid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
GBPUSD,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
GBPUSD,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
USDJPY,2016-07,Bid,M1,30211,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
USDJPY,2016-07,Bid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
USDJPY,2016-07,Bid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
USDJPY,2016-07,Bid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
USDJPY,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
USDJPY,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
USDJPY,2016-07,Ask,M1,30211,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
USDJPY,2016-07,Ask,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
USDJPY,2016-07,Ask,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
USDJPY,2016-07,Ask,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
USDJPY,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
USDJPY,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
USDJPY,2016-07,Mid,M1,30211,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
USDJPY,2016-07,Mid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
USDJPY,2016-07,Mid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
USDJPY,2016-07,Mid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
USDJPY,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
USDJPY,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
XAUUSD,2016-07,Bid,M1,28738,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
XAUUSD,2016-07,Bid,M5,5748,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
XAUUSD,2016-07,Bid,M15,1916,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
XAUUSD,2016-07,Bid,H1,479,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
XAUUSD,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
XAUUSD,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
XAUUSD,2016-07,Ask,M1,28738,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
XAUUSD,2016-07,Ask,M5,5748,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
XAUUSD,2016-07,Ask,M15,1916,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
XAUUSD,2016-07,Ask,H1,479,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
XAUUSD,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
XAUUSD,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
XAUUSD,2016-07,Mid,M1,28738,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z
XAUUSD,2016-07,Mid,M5,5748,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z
XAUUSD,2016-07,Mid,M15,1916,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z
XAUUSD,2016-07,Mid,H1,479,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z
XAUUSD,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z
XAUUSD,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z
