symbol,month,basis,timeframe,bar_count,first_bar_utc,last_bar_utc,path,bytes,sha256
EURUSD,2016-07,Bid,M1,30204,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/EURUSD/bid/M1/year=2016/month=07/bars.parquet,562453,5583e010c519e00cb3efb1ddd12eeedfa5188d8a354cd643eeb93e04859467f4
EURUSD,2016-07,Bid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/EURUSD/bid/M5/year=2016/month=07/bars.parquet,147380,492b7c045efe8ad407e2ef2457c85489f9fe166697ec2f3a40bd9e61771ef329
EURUSD,2016-07,Bid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/EURUSD/bid/M15/year=2016/month=07/bars.parquet,63910,6647b244516771a5569466a8b2e60704363def26aacaa128e2f3c6d00029af31
EURUSD,2016-07,Bid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/EURUSD/bid/H1/year=2016/month=07/bars.parquet,21666,422deb019a3eacd6bd1ebee027e177c98690309ed812b430d6e9e13b6eecdfa6
EURUSD,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/EURUSD/bid/H4/year=2016/month=07/bars.parquet,8045,1c526dcd8f8cab5fba63e3fd07e7620d2538cf98a481b92f18ac201df5b694f8
EURUSD,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/EURUSD/bid/D1/year=2016/month=07/bars.parquet,3660,2ea528fb18bb4214679800d4a7484e3640713effc369abfc3cd6ab3f01a870f3
EURUSD,2016-07,Ask,M1,30204,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/EURUSD/ask/M1/year=2016/month=07/bars.parquet,563204,12ebf51b3d22851af12dc23fc114cd190980429ccdab94e74032a425f27f641b
EURUSD,2016-07,Ask,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/EURUSD/ask/M5/year=2016/month=07/bars.parquet,147600,b86efa85d00adc972c2ae30de8c95da1ee9e4d796dbead9398cd7774d2408807
EURUSD,2016-07,Ask,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/EURUSD/ask/M15/year=2016/month=07/bars.parquet,63721,ce87960733d6c4ae39e3073090c5df73999eb283de8d6b4064d23f5f934e3e75
EURUSD,2016-07,Ask,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/EURUSD/ask/H1/year=2016/month=07/bars.parquet,21584,53e1caa3fc8db435343c396badcd6d1d4fe9a3fbed7b0f2b6fd1202aed72708f
EURUSD,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/EURUSD/ask/H4/year=2016/month=07/bars.parquet,8122,dd6b24e014fca7de18c0c76af0fe5e957e85680fc54df40059dc6dafa02be622
EURUSD,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/EURUSD/ask/D1/year=2016/month=07/bars.parquet,3659,aebfc8a1b6862911e27be1197ae13a568c6bcfcaeb44e7620ddcbd7eaa14ab85
EURUSD,2016-07,Mid,M1,30204,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/EURUSD/mid/M1/year=2016/month=07/bars.parquet,631288,eac8ed5ed708fbffb67a1640f663cba4d453dd3c3c8540ef13df158d2b8a24cf
EURUSD,2016-07,Mid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/EURUSD/mid/M5/year=2016/month=07/bars.parquet,166428,4525071c217dcbaa714df5280f9fbd2460cf7c321cc72630bbc5add7e3efee5a
