symbol,month,observations,min,mean,p50,p95,max
EURUSD,2016-07,4201709,1e-05,2.6535528758170128e-05,2e-05,5e-05,0.00223
GBPUSD,2016-07,3885010,1e-05,0.00013923031086063433,0.00013,0.00022,0.00261
USDJPY,2016-07,3951312,0.001,0.005266096425762511,0.005,0.011,0.261
XAUUSD,2016-07,3984621,0.001,0.30119893736628317,0.302,0.394,2.714
