symbol,month,exact_duplicate_count,conflicting_same_timestamp_count,policy
EURUSD,2016-07,0,0,PRESERVED_AND_REPORTED
GBPUSD,2016-07,0,0,PRESERVED_AND_REPORTED
USDJPY,2016-07,0,0,PRESERVED_AND_REPORTED
XAUUSD,2016-07,0,0,PRESERVED_AND_REPORTED
