symbol,month,status,expected_hour_files,observed_hour_files
EURUSD,2016-07,COMPLETE_FROZEN,744,744
EURUSD,2016-08,MISSING_OR_INCOMPLETE,744,0
EURUSD,2016-09,MISSING_OR_INCOMPLETE,720,0
EURUSD,2016-10,MISSING_OR_INCOMPLETE,744,0
EURUSD,2016-11,MISSING_OR_INCOMPLETE,720,0
EURUSD,2016-12,MISSING_OR_INCOMPLETE,744,0
EURUSD,2017-01,MISSING_OR_INCOMPLETE,744,0
EURUSD,2017-02,MISSING_OR_INCOMPLETE,672,0
EURUSD,2017-03,MISSING_OR_INCOMPLETE,744,0
EURUSD,2017-04,MISSING_OR_INCOMPLETE,720,0
EURUSD,2017-05,MISSING_OR_INCOMPLETE,744,0
EURUSD,2017-06,MISSING_OR_INCOMPLETE,720,0
EURUSD,2017-07,MISSING_OR_INCOMPLETE,744,0
EURUSD,2017-08,MISSING_OR_INCOMPLETE,744,0
EURUSD,2017-09,MISSING_OR_INCOMPLETE,720,0
EURUSD,2017-10,MISSING_OR_INCOMPLETE,744,0
EURUSD,2017-11,MISSING_OR_INCOMPLETE,720,0
EURUSD,2017-12,MISSING_OR_INCOMPLETE,744,0
EURUSD,2018-01,MISSING_OR_INCOMPLETE,744,0
EURUSD,2018-02,MISSING_OR_INCOMPLETE,672,0
EURUSD,2018-03,MISSING_OR_INCOMPLETE,744,0
EURUSD,2018-04,MISSING_OR_INCOMPLETE,720,0
EURUSD,2018-05,MISSING_OR_INCOMPLETE,744,0
EURUSD,2018-06,MISSING_OR_INCOMPLETE,720,0
EURUSD,2018-07,MISSING_OR_INCOMPLETE,744,0
EURUSD,2018-08,MISSING_OR_INCOMPLETE,744,0
EURUSD,2018-09,MISSING_OR_INCOMPLETE,720,0
EURUSD,2018-10,MISSING_OR_INCOMPLETE,744,0
EURUSD,2018-11,MISSING_OR_INCOMPLETE,720,0
EURUSD,2018-12,MISSING_OR_INCOMPLETE,744,0
EURUSD,2019-01,MISSING_OR_INCOMPLETE,744,0
EURUSD,2019-02,MISSING_OR_INCOMPLETE,672,0
EURUSD,2019-03,MISSING_OR_INCOMPLETE,744,0
EURUSD,2019-04,MISSING_OR_INCOMPLETE,720,0
EURUSD,2019-05,MISSING_OR_INCOMPLETE,744,0
EURUSD,2019-06,MISSING_OR_INCOMPLETE,720,0
EURUSD,2019-07,MISSING_OR_INCOMPLETE,744,0
