trade_id,entry_time_utc,source_id,proposal_rule,causal_rank,prior_20_profit_factor,prior_virtual_profit_factor,prior_consecutive_losses,prior_source_closed_count,candidate_endpoint_pnl_usd,baseline_runtime_executed,baseline_runtime_pnl_usd
V9_BREAK_20210618T014000Z_LONG,2021-06-18T01:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0,0.28356907023919387,0.38329598432346945,0,61,-3.982291666666667,True,-3.982291666666667
V7_20210813T105500Z_SHORT,2021-08-13T10:55:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.03888888888888889,0.47977070225939067,0.8860630426114865,1,64,-4.006597222222222,True,-4.006597222222222
V9_BREAK_20220802T132500Z_SHORT,2022-08-02T13:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.08868501529051988,0.8123660373894055,0.6547633580550127,8,106,-6.327940880607618,True,-6.327940880607618
2023-11-27 14:30:00|LONG|r1_h1_pullback_long_v1,2023-11-27T14:30:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.03012912482065997,0.44175049436849795,1.2594074074074075,10,95,-5.819999999999999,True,-5.819999999999999
2023-11-29 11:45:00|LONG|r1_h1_pullback_long_v1,2023-11-29T11:45:00.000Z,R1_PULLBACK,V2_SOURCE_HEALTH,0.09943181818181818,0.269076974341886,5.247393364928909,0,98,-3.8099999999999996,True,-3.8099999999999996
V9_BREAK_20240304T145000Z_LONG,2024-03-04T14:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.42177722152690866,3.0431541158979534,2.4623385836852,0,181,9.214932205022237,True,9.214932205022237
V9_BREAK_20240401T001000Z_LONG,2024-04-01T00:10:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.3011904761904762,4.53743636276253,6.5630395103550665,2,189,10.306925580954122,True,10.306925580954122
V9_BREAK_20240401T034000Z_LONG,2024-04-01T03:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.8549346016646849,4.53743636276253,6.760855126645157,2,189,-4.9003077378946225,True,-4.9003077378946225
V9_BREAK_20240520T010500Z_LONG,2024-05-20T01:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.28719723183391005,1.1971181398651431,1.587999897978814,0,195,-7.0266816473013956,True,-7.0266816473013956
V9_BREAK_20240705T134500Z_LONG,2024-07-05T13:45:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.8270509977827051,0.5824583183833038,0.5413002713429005,0,201,-9.904357360961257,True,-9.904357360961257
