specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass
EURV2_TREND_UP,trend_up,EURHUNT01_0300,train,OPENED,62,27,0.43548387096774194,51.37411548598254,5.137411548598255,6.820824383287747,0.11001329650464109,1.2016026943646092,0.43478260869565216,10.101339570297664,0.6205325712927527,False
EURV2_TREND_UP,trend_up,EURHUNT01_0300,validation,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_TREND_UP,trend_up,EURHUNT01_0300,internal,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_TREND_UP,trend_up,EURHUNT01_0300,exam,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_TREND_DOWN,trend_down,EURHUNT01_0170,train,OPENED,85,25,0.29411764705882354,-175.51915656874635,-17.551915656874638,-17.989409151698176,-0.21164010766703736,0.713211187482084,0.25,21.49888494385323,0.40134863960612965,False
EURV2_TREND_DOWN,trend_down,EURHUNT01_0170,validation,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_TREND_DOWN,trend_down,EURHUNT01_0170,internal,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_TREND_DOWN,trend_down,EURHUNT01_0170,exam,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_COMPRESSION_UP,compression,EURHUNT01_0478,train,OPENED,8,6,0.75,72.0193961422444,7.2019396142244405,5.0562998722463846,0.6320374840307981,3.3995990291031744,0.8333333333333334,1.059808468023925,0.0,False
EURV2_COMPRESSION_UP,compression,EURHUNT01_0478,validation,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_COMPRESSION_UP,compression,EURHUNT01_0478,internal,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_COMPRESSION_UP,compression,EURHUNT01_0478,exam,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_COMPRESSION_DOWN,compression,EURHUNT01_0575,train,OPENED,3,3,1.0,62.75778692676815,6.275778692676815,5.796153204129864,1.9320510680432879,inf,1.0,0.0,0.0,False
EURV2_COMPRESSION_DOWN,compression,EURHUNT01_0575,validation,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_COMPRESSION_DOWN,compression,EURHUNT01_0575,internal,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_COMPRESSION_DOWN,compression,EURHUNT01_0575,exam,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_CHOP_ROTATION,chop,EURHUNT01_0900,train,OPENED,83,32,0.3855421686746988,25.56538750663416,2.556538750663416,-6.283291588743069,-0.07570230829810926,0.8643270181448738,0.40540540540540543,17.172193920086247,0.43949802205769745,False
EURV2_CHOP_ROTATION,chop,EURHUNT01_0900,validation,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_CHOP_ROTATION,chop,EURHUNT01_0900,internal,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
EURV2_CHOP_ROTATION,chop,EURHUNT01_0900,exam,SEALED_PREDECESSOR_FAILED,,,,,,,,,,,,False
