month,regime,h4_bars
2021-08,chop,42
2021-08,transition,57
2021-08,trend_down,29
2021-08,trend_up,9
2021-09,chop,38
2021-09,transition,56
2021-09,trend_down,24
2021-09,trend_up,18
2021-10,chop,47
2021-10,transition,63
2021-10,trend_down,10
2021-10,trend_up,1
2021-10,unsafe,10
2021-11,chop,24
2021-11,transition,34
2021-11,trend_down,21
2021-11,unsafe,57
2021-12,chop,108
2021-12,transition,11
2021-12,trend_up,1
2021-12,unsafe,22
2022-01,chop,61
2022-01,transition,29
2022-01,trend_down,32
2022-01,trend_up,9
2022-02,chop,41
2022-02,transition,30
2022-02,trend_down,2
2022-02,trend_up,16
2022-02,unsafe,35
2022-03,chop,57
2022-03,transition,20
2022-03,trend_down,7
2022-03,trend_up,10
2022-03,unsafe,48
2022-04,chop,30
2022-04,transition,49
2022-04,trend_down,50
2022-04,unsafe,1
2022-05,chop,46
2022-05,transition,60
2022-05,trend_down,9
2022-05,trend_up,22
2022-06,chop,83
2022-06,transition,22
2022-06,trend_down,22
2022-06,unsafe,9
2022-07,chop,15
2022-07,transition,43
2022-07,trend_down,40
2022-07,trend_up,6
2022-07,unsafe,27
2022-08,chop,65
2022-08,compression,2
2022-08,transition,32
2022-08,trend_down,38
2022-08,trend_up,5
2022-09,chop,58
2022-09,transition,22
2022-09,trend_down,17
2022-09,trend_up,2
2022-09,unsafe,37
2022-10,chop,68
2022-10,transition,30
2022-10,trend_down,12
2022-10,trend_up,12
2022-10,unsafe,9
2022-11,chop,50
2022-11,transition,47
2022-11,trend_up,21
2022-11,unsafe,18
2022-12,chop,39
2022-12,compression,27
2022-12,transition,70
2023-01,chop,54
2023-01,compression,11
2023-01,transition,48
2023-01,trend_down,4
2023-01,trend_up,20
2023-02,chop,46
2023-02,compression,12
2023-02,transition,42
2023-02,trend_down,23
2023-02,trend_up,1
2023-03,chop,45
2023-03,compression,1
2023-03,transition,68
2023-03,trend_up,25
2023-03,unsafe,3
2023-04,chop,72
2023-04,compression,5
2023-04,transition,39
2023-04,trend_up,9
2023-05,chop,44
2023-05,transition,64
2023-05,trend_down,34
2023-06,chop,65
2023-06,transition,52
2023-06,trend_up,19
2023-07,chop,25
2023-07,transition,32
2023-07,trend_down,20
2023-07,trend_up,39
2023-07,unsafe,15
2023-08,chop,66
2023-08,transition,70
2023-08,trend_down,2
2023-08,trend_up,3
2023-08,unsafe,1
2023-09,chop,38
2023-09,transition,60
2023-09,trend_down,31
2023-09,unsafe,1
2023-10,chop,101
2023-10,transition,26
2023-10,trend_up,5
2023-10,unsafe,5
2023-11,chop,32
2023-11,compression,2
2023-11,transition,64
2023-11,trend_up,31
2023-11,unsafe,7
2023-12,chop,3
2023-12,transition,75
2023-12,trend_down,9
2023-12,trend_up,18
2023-12,unsafe,22
2024-01,chop,68
2024-01,transition,45
2024-01,trend_down,22
2024-01,unsafe,2
2024-02,chop,50
2024-02,compression,14
2024-02,transition,61
2024-02,trend_down,2
2024-02,trend_up,2
2024-02,unsafe,1
2024-03,chop,19
2024-03,compression,15
2024-03,transition,72
2024-03,trend_down,7
2024-03,trend_up,18
2024-04,chop,52
2024-04,compression,1
2024-04,transition,42
2024-04,trend_down,31
2024-04,trend_up,10
2024-05,chop,62
2024-05,compression,4
2024-05,transition,44
2024-05,trend_up,32
2024-06,chop,47
2024-06,transition,49
2024-06,trend_down,17
2024-06,trend_up,1
2024-06,unsafe,11
2024-07,chop,40
2024-07,compression,3
2024-07,transition,53
2024-07,trend_down,6
2024-07,trend_up,39
2024-07,unsafe,1
2024-08,chop,18
2024-08,transition,42
2024-08,trend_down,6
2024-08,trend_up,50
2024-08,unsafe,20
2024-09,chop,17
2024-09,transition,52
2024-09,trend_down,24
2024-09,trend_up,15
2024-09,unsafe,23
2024-10,chop,13
2024-10,transition,64
2024-10,trend_down,58
2024-10,unsafe,7
2024-11,chop,17
2024-11,transition,41
2024-11,trend_down,11
2024-11,trend_up,3
2024-11,unsafe,58
2024-12,chop,89
2024-12,compression,3
2024-12,transition,40
2024-12,trend_down,2
2025-01,chop,47
2025-01,transition,63
2025-01,trend_down,18
2025-01,trend_up,7
2025-01,unsafe,2
2025-02,chop,60
2025-02,compression,1
2025-02,transition,45
2025-02,trend_up,2
2025-02,unsafe,16
2025-03,chop,22
2025-03,transition,75
2025-03,trend_down,6
2025-03,trend_up,14
2025-03,unsafe,14
2025-04,chop,30
2025-04,transition,40
2025-04,trend_up,17
2025-04,unsafe,49
2025-05,chop,72
2025-05,transition,50
2025-05,trend_down,7
2025-05,trend_up,6
2025-05,unsafe,1
2025-06,chop,53
2025-06,transition,51
2025-06,trend_up,26
2025-06,unsafe,1
2025-07,chop,33
2025-07,transition,59
2025-07,trend_down,28
2025-07,trend_up,22
2025-08,chop,59
2025-08,compression,18
2025-08,transition,46
2025-08,trend_down,4
2025-08,trend_up,4
2025-09,chop,71
2025-09,transition,46
2025-09,trend_down,2
2025-09,trend_up,17
2025-10,chop,61
2025-10,compression,12
2025-10,transition,51
2025-10,trend_down,11
2025-10,trend_up,7
2025-11,chop,40
2025-11,compression,1
2025-11,transition,53
2025-11,trend_down,28
2025-11,trend_up,3
2025-12,chop,41
2025-12,transition,72
2025-12,trend_up,26
2026-01,chop,23
2026-01,transition,55
2026-01,trend_down,8
2026-01,trend_up,14
2026-01,unsafe,31
2026-02,chop,43
2026-02,transition,47
2026-02,trend_down,17
2026-02,trend_up,10
2026-02,unsafe,7
2026-03,chop,57
2026-03,transition,39
2026-03,trend_down,19
2026-03,unsafe,22
2026-04,chop,56
2026-04,compression,2
2026-04,transition,43
2026-04,trend_down,2
2026-04,trend_up,32
2026-04,unsafe,1
2026-05,chop,52
2026-05,compression,12
2026-05,transition,38
2026-05,trend_down,26
2026-05,trend_up,2
2026-05,unsafe,1
2026-06,chop,62
2026-06,transition,38
2026-06,trend_down,36
