stage,decision_eligible,raw_gate_pass,promoted,trades,source_days,trades_per_source_day,stress_net_r,stress_pf,average_stress_r,positive_active_month_share,closed_drawdown_r,top_winners_removed_stress_net_r,preferred_cost_share,current_account_feasible_share,median_holding_minutes
train,True,False,False,160,1244,0.12861736334405144,-33.6660845738445,0.6983259311909629,-0.21041302858652813,0.37142857142857144,36.07224087417269,-47.65495845306597,0.45,0.70625,75.0
validation,False,False,False,290,621,0.4669887278582931,-93.97819485651536,0.5760932635643461,-0.32406274088453574,0.375,95.33398573372452,-100.98062059419755,0.3586206896551724,0.7827586206896552,75.0
internal_test,False,False,False,235,620,0.3790322580645161,-44.20412799127142,0.728549434790216,-0.18810267230328265,0.34782608695652173,57.72258587364409,-51.153732780808056,0.40425531914893614,0.7148936170212766,70.0
exam,False,False,False,1581,624,2.5336538461538463,-287.21395724627376,0.74039971398213,-0.18166600711339265,0.08333333333333333,296.69329947829686,-294.6160267679751,0.6166982922201139,0.5161290322580645,45.0
recent_tail,False,False,False,1127,312,3.6121794871794872,-181.33319043551882,0.7664433290162272,-0.16089901547073543,0.08333333333333333,189.0609847517229,-185.82799998526923,0.6850044365572315,0.44365572315882873,40.0
