period,approach,decision,trades,net_pnl_usd,delta_vs_raw_usd,win_rate_pct,profit_factor,closed_trade_drawdown_usd
3M,RAW,BENCHMARK,64,349.7255047803485,0.0,46.875,1.6550995134596662,137.17251039308542
3M,B123,HISTORICAL_DIAGNOSTIC_POSITIVE_LATEST_WINDOW_FAIL,60,331.401776172413,-18.323728607935493,46.66666666666666,1.6461429038387136,140.8508204465345
3M,V15,V15_HISTORICAL_GATE_FAIL,61,317.88302413761926,-31.842480642729242,45.90163934426229,1.60386834677003,140.8508204465345
3M,V16,V16_HISTORICAL_GATE_FAIL,63,325.58686291801234,-24.138641862336158,46.03174603174603,1.6098834445043138,140.8508204465345
3M,V17,V17_HISTORICAL_GATE_FAIL,64,349.7255047803485,0.0,46.875,1.6550995134596662,137.17251039308542
3M,V18,V18_HISTORICAL_GATE_FAIL,60,331.401776172413,-18.323728607935493,46.666666666666664,1.6461429038387136,140.8508204465345
6M,RAW,BENCHMARK,147,1669.9513830676406,0.0,42.857142857142854,2.3167525435684926,137.17251039308553
6M,B123,HISTORICAL_DIAGNOSTIC_POSITIVE_LATEST_WINDOW_FAIL,141,1677.8255493705733,7.874166302932736,43.26241134751773,2.374052362736184,140.85082044653473
6M,V15,V15_HISTORICAL_GATE_FAIL,141,1678.320976746562,8.369593678921547,43.26241134751773,2.375015976547713,140.85082044653473
6M,V16,V16_HISTORICAL_GATE_FAIL,146,1645.8127412053043,-24.13864186233627,42.465753424657535,2.297719284042018,140.85082044653473
6M,V17,V17_HISTORICAL_GATE_FAIL,147,1669.9513830676406,0.0,42.85714285714285,2.3167525435684926,137.17251039308553
6M,V18,V18_HISTORICAL_GATE_FAIL,141,1677.8255493705733,7.874166302932736,43.262411347517734,2.374052362736184,140.85082044653473
1Y,RAW,BENCHMARK,356,2502.7232508824322,0.0,44.10112359550562,1.9837293720046052,208.4143543521311
1Y,B123,HISTORICAL_DIAGNOSTIC_POSITIVE_LATEST_WINDOW_FAIL,335,2569.445801464434,66.72255058200199,44.776119402985074,2.079047679325535,191.66779906090608
1Y,V15,V15_HISTORICAL_GATE_FAIL,334,2576.039790394947,73.31653951251474,44.91017964071856,2.084820899751824,191.66779906090608
1Y,V16,V16_HISTORICAL_GATE_FAIL,347,2547.1677949882715,44.44454410583921,44.668587896253605,2.0339580497237977,191.66779906090608
1Y,V17,V17_HISTORICAL_GATE_FAIL,348,2547.7710080594534,45.04775717702114,44.54022988505747,2.029301975070125,191.66779906090608
1Y,V18,V18_HISTORICAL_GATE_FAIL,335,2569.445801464434,66.72255058200199,44.776119402985074,2.079047679325535,191.66779906090608
2Y,RAW,BENCHMARK,787,3717.0678404402656,0.0,45.23506988564168,1.8281863716964044,279.03947729639003
2Y,B123,HISTORICAL_DIAGNOSTIC_POSITIVE_LATEST_WINDOW_FAIL,743,3803.8571754897566,86.789335049491,45.76043068640646,1.8982694648672744,270.87368678850305
2Y,V15,V15_HISTORICAL_GATE_FAIL,744,3813.252312055108,96.18447161484255,45.83333333333333,1.900715647256343,263.1529473210637
2Y,V16,V16_HISTORICAL_GATE_FAIL,778,3761.512384546105,44.44454410583921,45.501285347043705,1.8534158273060224,276.86585968330894
2Y,V17,V17_HISTORICAL_GATE_FAIL,759,3793.777048155369,76.70920771510328,45.71805006587616,1.875595293235484,263.15294732106395
2Y,V18,V18_HISTORICAL_GATE_FAIL,743,3803.8571754897566,86.789335049491,45.76043068640646,1.8982694648672742,270.87368678850305
5Y,RAW,BENCHMARK,1512,4800.891382860866,0.0,45.370370370370374,1.7260403480254378,279.03947729639003
5Y,B123,HISTORICAL_DIAGNOSTIC_POSITIVE_LATEST_WINDOW_FAIL,1468,4887.680717910356,86.78933504949055,45.64032697547684,1.768638753898392,270.8736867885033
5Y,V15,V15_HISTORICAL_GATE_FAIL,1469,4897.075854475706,96.18447161484073,45.67733151803948,1.770245821775811,263.15294732106395
5Y,V16,V16_HISTORICAL_GATE_FAIL,1503,4845.335926966704,44.44454410583876,45.50898203592814,1.741804347605175,276.86585968330894
5Y,V17,V17_HISTORICAL_GATE_FAIL,1484,4877.600590575968,76.70920771510282,45.6199460916442,1.7553943086278,263.15294732106395
5Y,V18,V18_HISTORICAL_GATE_FAIL,1460,4874.6071144353855,73.71573157451985,45.54794520547945,1.7679093031652369,270.8736867885033
10Y,RAW,BENCHMARK,2069,5198.999448166458,0.0,45.094248429192845,1.6526979073034245,279.03947729639003
10Y,B123,HISTORICAL_DIAGNOSTIC_POSITIVE_LATEST_WINDOW_FAIL,2025,5285.788783215949,86.78933504949055,45.28395061728395,1.685411468953072,270.8736867885027
10Y,V15,V15_HISTORICAL_GATE_FAIL,1994,5281.622871701686,82.62342353522763,45.33600802407221,1.691997119196564,263.15294732106395
10Y,V16,V16_HISTORICAL_GATE_FAIL,2060,5243.443992272297,44.44454410583876,45.19417475728155,1.665007151534663,276.8658596833086
10Y,V17,V17_HISTORICAL_GATE_FAIL,2041,5275.708655881561,76.70920771510282,45.2719255267026,1.6755073371100289,263.15294732106395
10Y,V18,V18_HISTORICAL_GATE_FAIL,2011,5257.192921100679,58.19347293422106,45.1516658378916,1.683290950986274,270.8736867885027
ALL,RAW,BENCHMARK,2153,5432.465955672466,0.0,44.7282861124013,1.6593777127678904,279.03947729639003
ALL,B123,HISTORICAL_DIAGNOSTIC_POSITIVE_LATEST_WINDOW_FAIL,2109,5519.255290721957,86.78933504949055,44.90279753437648,1.691183412304738,270.8736867885027
ALL,V15,V15_HISTORICAL_GATE_FAIL,2078,5515.089379207693,82.62342353522672,44.94706448508181,1.6975993135324907,263.15294732106395
ALL,V16,V16_HISTORICAL_GATE_FAIL,2144,5476.910499778305,44.44454410583876,44.82276119402985,1.6713404771819511,276.8658596833086
ALL,V17,V17_HISTORICAL_GATE_FAIL,2125,5509.175163387569,76.70920771510282,44.89411764705882,1.6815441538460456,263.15294732106395
ALL,V18,V18_HISTORICAL_GATE_FAIL,2095,5490.6594286066875,58.19347293422106,44.773269689737475,1.689148634745763,270.8736867885027
