fold_id,quantile,threshold,eligible,constraint_coverage,constraint_profit,constraint_mean,constraint_profit_factor,constraint_drawdown,b123_vetoed_rows,v18_additional_veto_rows,selected_rows,selected_weight_coverage,selected_weighted_mean_r,selected_weighted_profit_factor,selected_weighted_max_drawdown_r,selected_normalized_weighted_usd_sum,profit_improvement_usd_vs_b123_v8,selected_policy,specialist_fit_rows,specialist_calibration_rows,selection_reason
F2020,0.05,-0.4746785153283236,False,True,False,True,True,True,0.0,0.0,15.0,1.0,0.30925099123248245,1.6504574592057604,3.2684078385602184,8.05503252890103,0.0,False,32,15,MAXIMUM_ELIGIBLE_V8_VETO_CALIBRATION_NORMALIZED_USD
F2020,0.1,-0.3298181978621667,True,True,True,True,True,True,0.0,1.0,14.0,0.9310344827586207,0.4153431839571766,1.9716336144711684,2.329963233603424,13.405897865562995,5.350865336661965,False,32,15,MAXIMUM_ELIGIBLE_V8_VETO_CALIBRATION_NORMALIZED_USD
F2020,0.15,-0.10198791709447257,True,True,True,True,True,True,0.0,2.0,13.0,0.8620689655172413,0.5427196941675786,2.476718399090947,1.1773855538194322,16.936487446581538,8.881454917680507,True,32,15,MAXIMUM_ELIGIBLE_V8_VETO_CALIBRATION_NORMALIZED_USD
F2021,0.05,-0.5894583542743962,False,True,False,True,True,True,0.0,0.0,20.0,1.0,0.5767968243274791,2.580726138262175,4.790505321373425,44.79461089088929,0.0,False,48,20,V8_PRESERVE_B123_NO_CALIBRATION_EDGE
F2021,0.1,-0.44774780080241944,False,True,False,False,False,True,0.0,1.0,19.0,0.9487179487179487,0.5334049881610711,2.3868451235774915,4.790505321373425,38.866830764764394,-5.927780126124894,False,48,20,V8_PRESERVE_B123_NO_CALIBRATION_EDGE
F2021,0.15,-0.3905951660615818,False,True,False,True,True,True,0.0,2.0,18.0,0.8974358974358975,0.630065827453697,2.8508748003784063,4.790505321373425,42.34130986314404,-2.4533010277452476,False,48,20,V8_PRESERVE_B123_NO_CALIBRATION_EDGE
F2022,,,False,,,,,,,,,,,,,,,False,94,0,V8_PRESERVE_B123_INSUFFICIENT_CALIBRATION_SUPPORT
F2023,0.05,-0.4526471539160322,False,True,False,False,False,False,0.0,1.0,28.0,0.9655172413793104,0.19004166764099348,1.3132021495384123,8.000621765077408,14.95827219148256,-4.5265300521318395,False,112,29,MAXIMUM_ELIGIBLE_V8_VETO_CALIBRATION_NORMALIZED_USD
F2023,0.1,-0.42311333068988616,True,True,True,True,True,True,0.0,2.0,27.0,0.9310344827586207,0.26352041803430465,1.4682286981594264,6.206737172099,20.339925970417788,0.855123726803388,False,112,29,MAXIMUM_ELIGIBLE_V8_VETO_CALIBRATION_NORMALIZED_USD
F2023,0.15,-0.3930685984521252,True,True,True,True,True,True,0.0,4.0,25.0,0.8620689655172413,0.3760606302427512,1.7282796634601696,3.9202727029564457,28.73199134701517,9.247189103400771,True,112,29,MAXIMUM_ELIGIBLE_V8_VETO_CALIBRATION_NORMALIZED_USD
F2024,,,False,,,,,,,,,,,,,,,False,165,14,V8_PRESERVE_B123_INSUFFICIENT_CALIBRATION_SUPPORT
F2025,0.05,-0.4281132146733697,False,True,False,True,True,True,0.0,0.0,17.0,1.0,0.47857696826572066,2.177301024009293,5.314168894519253,41.061532489676935,0.0,False,197,17,V8_PRESERVE_B123_NO_CALIBRATION_EDGE
F2025,0.1,-0.376675742395363,False,True,False,False,False,True,0.0,1.0,16.0,0.9393939393939394,0.41922874333245824,1.9688008983172367,5.314168894519252,32.873018542082605,-8.18851394759433,False,197,17,V8_PRESERVE_B123_NO_CALIBRATION_EDGE
F2025,0.15,-0.36075406293080164,False,True,False,True,True,True,0.0,2.0,15.0,0.8787878787878788,0.5253299818291994,2.3631337989109626,4.19492967964896,39.329441082453236,-1.7320914072236988,False,197,17,V8_PRESERVE_B123_NO_CALIBRATION_EDGE
