window,start_utc,end_exclusive_utc,calendar_weekdays,target_trades,core_trades,accepted_addons,rejected_addons,all_distinct_addon_candidates,current_combined_trades,current_trades_per_weekday,current_trade_shortfall,mechanical_upper_bound_trades,mechanical_upper_bound_trades_per_weekday,upper_bound_trade_shortfall,upper_bound_reaches_two_per_weekday,current_days_with_at_least_two_entries,upper_bound_days_with_at_least_two_entries,current_days_with_at_least_two_share,upper_bound_days_with_at_least_two_share
development_2,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,521,1042,236,359,72,431,595,1.1420345489443378,447,667,1.2802303262955854,375,False,174,178,0.33397312859884837,0.3416506717850288
confirmation,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,261,522,188,253,86,339,441,1.6896551724137931,81,527,2.0191570881226055,0,True,134,141,0.5134099616858238,0.5402298850574713
final,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,261,522,120,244,71,315,364,1.3946360153256705,158,435,1.6666666666666667,87,False,122,133,0.4674329501915709,0.5095785440613027
