strategy_id,baseline_trades,baseline_wins,baseline_losses,baseline_net_R,baseline_expectancy_R,baseline_profit_factor,baseline_maximum_closed_drawdown_R,stress_net_R,stress_expectancy_R,stress_profit_factor
XAU_V2_H1_FAILED_AUCTION_REVERSAL,71,25,46,5.1541613296,0.0725938215437,1.11247262492,16.7473894159,-4.14740736607,-0.0584141882544,0.920331901985
XAU_V2_H4_BREAKOUT_RETEST_CONTINUATION,28,8,20,-10.1302132356,-0.361793329842,0.500448026825,12.1302132356,-13.2993466766,-0.474976667022,0.415720752846
XAU_V2_H4_COMPRESSION_EXPANSION,2,0,2,-2.02410799697,-1.01205399848,0,2.02410799697,-2.34624422135,-1.17312211067,0
XAU_V2_H4_TREND_PULLBACK_CONTINUATION,68,20,48,-15.3795021467,-0.226169149217,0.673167518286,21.3545070404,-23.7640667557,-0.349471569937,0.55004478902
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,146,51,95,2.48850054135,0.0170445242558,1.02588872304,25.0062827012,-18.6140309733,-0.127493362831,0.829564595787
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,225,62,163,-68.9111144367,-0.306271619719,0.588385531713,76.0759123807,-101.077794482,-0.449234642142,0.469175924226
