strategy_id,setup_episode_id,UTC_date,direction,chronological_segment,higher_timeframe_regime_time,higher_timeframe_values,setup_start_time,signal_time,signal_bar_OHLC,ATR_values,frozen_levels,raw_trigger_values,signal_accepted_pre_execution,signal_accepted,rejection_reason,entry_time,entry_bid,entry_ask,entry_price,stop,target,initial_risk_price,signal_ms,rr,target_level,max_hold_hours,stop_min_atr,stop_max_atr,m15_atr
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-02,2021-07-02,LONG,DEVELOPMENT,2021-07-02T07:30:00.000Z,{},2021-07-02T07:30:00.000Z,2021-07-02T07:30:00.000Z,"{""close"":1776.1550000000002,""high"":1776.9285,""low"":1774.3265000000001,""open"":1774.4665}","{""M15_ATR14"":1.5010162897098676}","{""range_high"":1779.875,""range_low"":1775.085}","{""body_ratio"":0.6489239046888138,""close_location"":0.7027286702537178}",true,true,,2021-07-02T07:30:00.258Z,1775.978,1776.362,1776.362,1774.17639837,1780.18680285,2.18560162897,1625211000000,1.75,,6,,,1.50101628971
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-05,2021-07-05,SHORT,DEVELOPMENT,2021-07-05T07:15:00.000Z,{},2021-07-05T07:15:00.000Z,2021-07-05T07:15:00.000Z,"{""close"":1789.6550000000002,""high"":1790.94,""low"":1789.065,""open"":1790.5749999999998}","{""M15_ATR14"":1.636420155966185}","{""range_high"":1789.9814999999999,""range_low"":1784.545}","{""body_ratio"":0.4906666666664629,""close_location"":0.31466666666674425}",true,true,,2021-07-05T07:15:00.269Z,1789.448,1789.852,1789.448,1791.10364202,1786.55062647,1.6556420156,1625469300000,1.75,,6,,,1.63642015597
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-09,2021-07-09,LONG,DEVELOPMENT,2021-07-09T07:15:00.000Z,{},2021-07-09T07:15:00.000Z,2021-07-09T07:15:00.000Z,"{""close"":1802.095,""high"":1802.76,""low"":1796.9850000000001,""open"":1798.525}","{""M15_ATR14"":2.2714444314245017}","{""range_high"":1807.855,""range_low"":1799.43}","{""body_ratio"":0.6181818181818217,""close_location"":0.8848484848484884}",true,true,,2021-07-09T07:15:00.040Z,1801.938,1802.232,1802.232,1796.75785556,1811.81175278,5.47414444314,1625814900000,1.75,,6,,,2.27144443142
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626156900000,2021-07-13,LONG,DEVELOPMENT,2021-07-13T06:35:00.000Z,{},2021-07-13T06:15:00.000Z,2021-07-13T06:35:00.000Z,"{""close"":1811.225,""high"":1811.45,""low"":1810.8649999999998,""open"":1811.005}","{""M15_ATR14"":1.4045010091769454}","{""impulse_high"":1809.63,""impulse_low"":1806.5165}","{""body_ratio"":0.3760683760678645,""close_location"":0.6153846153845556}",true,false,STOP_DISTANCE_OUTSIDE_FROZEN_RANGE,,,,,1808.1995499,,,1626158100000,2,,6,0.6,1.5,1.40450100918
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1626181200000-LONG,2021-07-13,LONG,DEVELOPMENT,2021-07-13T13:15:00.000Z,{},2021-07-13T13:15:00.000Z,2021-07-13T13:15:00.000Z,"{""close"":1809.9650000000001,""high"":1810.18,""low"":1799.005,""open"":1800.4650000000001}","{""M15_ATR14"":4.214399299620459}","{""midpoint"":1808.1060000000002,""range_high"":1812.8065000000001,""range_low"":1803.4055}","{""body_ratio"":0.8501118568232697,""close_location"":0.9807606263982175}",true,false,MIDPOINT_REWARD_BELOW_1_50R,,,,,1798.58356007,,,1626182100000,,1808.106,8,,,4.21439929962
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626264900000,2021-07-14,LONG,DEVELOPMENT,2021-07-14T12:35:00.000Z,{},2021-07-14T12:15:00.000Z,2021-07-14T12:35:00.000Z,"{""close"":1827.7745,""high"":1828.94,""low"":1823.508,""open"":1823.95}","{""M15_ATR14"":2.245921040516072}","{""impulse_high"":1826.94,""impulse_low"":1816.54}","{""body_ratio"":0.7040684830633159,""close_location"":0.7854381443298855}",true,false,STOP_DISTANCE_OUTSIDE_FROZEN_RANGE,,,,,1823.6504079,,,1626266100000,2,,6,0.6,1.5,2.24592104052
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626675300000,2021-07-19,SHORT,DEVELOPMENT,2021-07-19T06:40:00.000Z,{},2021-07-19T06:15:00.000Z,2021-07-19T06:40:00.000Z,"{""close"":1805.2265,""high"":1806.5135,""low"":1805.2265,""open"":1806.4935}","{""M15_ATR14"":1.8515560426465338}","{""impulse_high"":1811.4850000000001,""impulse_low"":1806.288}","{""body_ratio"":0.984459984459999,""close_location"":0.0}",true,true,,2021-07-19T06:40:00.069Z,1804.998,1805.365,1804.998,1807.2851556,1800.42368879,2.28715560426,1626676800000,2,,6,0.6,1.5,1.85155604265
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1626685200000-LONG,2021-07-19,LONG,DEVELOPMENT,2021-07-19T09:30:00.000Z,{},2021-07-19T09:30:00.000Z,2021-07-19T09:30:00.000Z,"{""close"":1804.0385,""high"":1804.315,""low"":1802.14,""open"":1802.5435}","{""M15_ATR14"":2.0496327614312455}","{""midpoint"":1814.78,""range_high"":1826.8049999999998,""range_low"":1802.755}","{""body_ratio"":0.6873563218391492,""close_location"":0.8728735632184149}",true,true,,2021-07-19T09:30:00.055Z,1803.885,1804.232,1804.232,1801.93503672,1814.78,2.29696327614,1626687000000,,1814.78,8,,,2.04963276143
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626695100000,2021-07-19,SHORT,DEVELOPMENT,2021-07-19T12:05:00.000Z,{},2021-07-19T11:45:00.000Z,2021-07-19T12:05:00.000Z,"{""close"":1797.4050000000002,""high"":1800.6750000000002,""low"":1796.825,""open"":1800.67}","{""M15_ATR14"":2.1029998206768035}","{""impulse_high"":1806.67,""impulse_low"":1802.0115}","{""body_ratio"":0.8480519480518849,""close_location"":0.15064935064938548}",true,false,FAMILY_DAILY_TRADE_ALREADY_USED,,,,,1803.66529998,,,1626696300000,2,,6,0.6,1.5,2.10299982068
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1626696000000-LONG,2021-07-19,LONG,DEVELOPMENT,2021-07-19T12:45:00.000Z,{},2021-07-19T12:45:00.000Z,2021-07-19T12:45:00.000Z,"{""close"":1803.1115,""high"":1803.92,""low"":1795.0785,""open"":1796.03}","{""M15_ATR14"":2.9287214670541157}","{""midpoint"":1814.0787500000001,""range_high"":1826.2425,""range_low"":1801.915}","{""body_ratio"":0.8009387547361883,""close_location"":0.9085562404569253}",true,false,FAMILY_DAILY_TRADE_ALREADY_USED,,,,,1794.78562785,,,1626698700000,,1814.07875,8,,,2.92872146705
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626785100000,2021-07-20,LONG,DEVELOPMENT,2021-07-20T13:05:00.000Z,{},2021-07-20T12:45:00.000Z,2021-07-20T13:05:00.000Z,"{""close"":1823.855,""high"":1824.07,""low"":1822.02,""open"":1822.825}","{""M15_ATR14"":2.434846439624586}","{""impulse_high"":1823.15,""impulse_low"":1817.04}","{""body_ratio"":0.5024390243902417,""close_location"":0.8951219512195498}",true,true,,2021-07-20T13:05:00.114Z,1823.558,1823.982,1823.982,1822.14651536,1827.65296929,1.83548464396,1626786300000,2,,6,0.6,1.5,2.43484643962
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-21,2021-07-21,SHORT,DEVELOPMENT,2021-07-21T07:30:00.000Z,{},2021-07-21T07:30:00.000Z,2021-07-21T07:30:00.000Z,"{""close"":1809.0,""high"":1811.4785000000002,""low"":1808.8035,""open"":1810.545}","{""M15_ATR14"":1.7849379795882139}","{""range_high"":1809.96,""range_low"":1805.23}","{""body_ratio"":0.5775700934579319,""close_location"":0.0734579439252341}",true,true,,2021-07-21T07:30:00.153Z,1808.768,1809.202,1808.768,1811.6569938,1803.71226085,2.88899379796,1626852600000,1.75,,6,,,1.78493797959
