strategy_id,setup_episode_id,UTC_date,direction,chronological_segment,higher_timeframe_regime_time,higher_timeframe_values,setup_start_time,signal_time,signal_bar_OHLC,ATR_values,frozen_levels,raw_trigger_values,signal_accepted_pre_execution,signal_accepted,rejection_reason,entry_time,entry_bid,entry_ask,entry_price,stop,target,initial_risk_price,signal_ms,rr,target_level,max_hold_hours,stop_min_atr,stop_max_atr,m15_atr
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626941700000,2021-07-22,SHORT,DEVELOPMENT,2021-07-22T08:35:00.000Z,{},2021-07-22T08:15:00.000Z,2021-07-22T08:35:00.000Z,"{""close"":1793.5414999999998,""high"":1794.3645,""low"":1793.44,""open"":1794.21}","{""M15_ATR14"":1.6895486683252527}","{""impulse_high"":1800.6485,""impulse_low"":1795.5515}","{""body_ratio"":0.7230935640890519,""close_location"":0.10978907517552847}",true,true,,2021-07-22T08:35:00.061Z,1793.398,1793.725,1793.398,1795.81545487,1788.56309027,2.41745486683,1626942900000,2,,6,0.6,1.5,1.68954866833
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1626994800000-SHORT,2021-07-22,SHORT,DEVELOPMENT,2021-07-22T23:45:00.000Z,{},2021-07-22T23:45:00.000Z,2021-07-22T23:45:00.000Z,"{""close"":1808.045,""high"":1808.2535,""low"":1807.9635,""open"":1808.2035}","{""M15_ATR14"":1.0507999185187484}","{""midpoint"":1800.47025,""range_high"":1808.0900000000001,""range_low"":1792.8505}","{""body_ratio"":0.5465517241380121,""close_location"":0.28103448275867476}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1808.35857999,,,1626997500000,,1800.47025,8,,,1.05079991852
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-23,2021-07-23,LONG,DEVELOPMENT,2021-07-23T06:15:00.000Z,{},2021-07-23T06:15:00.000Z,2021-07-23T06:15:00.000Z,"{""close"":1803.7,""high"":1803.79,""low"":1801.42,""open"":1802.4035}","{""M15_ATR14"":1.3298145541403934}","{""range_high"":1808.64,""range_low"":1802.25}","{""body_ratio"":0.5470464135021986,""close_location"":0.962025316455729}",true,true,,2021-07-23T06:15:00.378Z,1803.498,1803.912,1803.912,1801.28701854,1808.50571755,2.62498145541,1627020900000,1.75,,6,,,1.32981455414
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-27,2021-07-27,LONG,DEVELOPMENT,2021-07-27T07:30:00.000Z,{},2021-07-27T07:30:00.000Z,2021-07-27T07:30:00.000Z,"{""close"":1797.7150000000001,""high"":1798.205,""low"":1793.8665,""open"":1794.745}","{""M15_ATR14"":1.5690192596420578}","{""range_high"":1799.884,""range_low"":1794.6885000000002}","{""body_ratio"":0.684568399216403,""close_location"":0.887057738849879}",true,true,,2021-07-27T07:30:00.142Z,1797.588,1797.973,1797.973,1793.70959807,1805.43395337,4.26340192596,1627371000000,1.75,,6,,,1.56901925964
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1627396200000,2021-07-27,SHORT,DEVELOPMENT,2021-07-27T14:55:00.000Z,{},2021-07-27T14:30:00.000Z,2021-07-27T14:55:00.000Z,"{""close"":1795.455,""high"":1797.21,""low"":1794.71,""open"":1796.6264999999999}","{""M15_ATR14"":2.529375253061617}","{""impulse_high"":1803.26,""impulse_low"":1796.295}","{""body_ratio"":0.46859999999996943,""close_location"":0.29799999999995636}",true,true,,2021-07-27T14:55:00.000Z,1795.298,1795.642,1795.298,1798.21693753,1789.46012495,2.91893752531,1627397700000,2,,6,0.6,1.5,2.52937525306
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1627502400000-SHORT,2021-07-28,SHORT,DEVELOPMENT,2021-07-28T20:30:00.000Z,{},2021-07-28T20:30:00.000Z,2021-07-28T20:30:00.000Z,"{""close"":1806.865,""high"":1808.355,""low"":1806.7649999999999,""open"":1808.1599999999999}","{""M15_ATR14"":2.8114225181875074}","{""midpoint"":1800.082,""range_high"":1807.46,""range_low"":1792.7040000000002}","{""body_ratio"":0.8144654088048596,""close_location"":0.06289308176108634}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1808.63614225,,,1627504200000,,1800.082,8,,,2.81142251819
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1627513200000-SHORT,2021-07-28,SHORT,DEVELOPMENT,2021-07-28T23:45:00.000Z,{},2021-07-28T23:45:00.000Z,2021-07-28T23:45:00.000Z,"{""close"":1808.87,""high"":1810.2685000000001,""low"":1808.7350000000001,""open"":1810.2435}","{""M15_ATR14"":1.9427220966579613}","{""midpoint"":1801.31275,""range_high"":1809.9215,""range_low"":1792.7040000000002}","{""body_ratio"":0.8956635148354392,""close_location"":0.0880339093575241}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1810.46277221,,,1627515900000,,1801.31275,8,,,1.94272209666
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-08-03,2021-08-03,LONG,DEVELOPMENT,2021-08-03T07:15:00.000Z,{},2021-08-03T07:15:00.000Z,2021-08-03T07:15:00.000Z,"{""close"":1809.8449999999998,""high"":1810.07,""low"":1809.095,""open"":1809.125}","{""M15_ATR14"":1.279769605054502}","{""range_high"":1813.9685,""range_low"":1809.525}","{""body_ratio"":0.7384615384614022,""close_location"":0.7692307692306077}",true,true,,2021-08-03T07:15:00.119Z,1809.648,1810.042,1810.042,1808.96702304,1811.92320968,1.07497696051,1627974900000,1.75,,6,,,1.27976960505
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1627992000000-LONG,2021-08-03,LONG,DEVELOPMENT,2021-08-03T12:45:00.000Z,{},2021-08-03T12:45:00.000Z,2021-08-03T12:45:00.000Z,"{""close"":1809.71,""high"":1809.921,""low"":1807.1860000000001,""open"":1807.4050000000002}","{""M15_ATR14"":1.6748011952388768}","{""midpoint"":1813.8825,""range_high"":1819.6,""range_low"":1808.165}","{""body_ratio"":0.8427787934186182,""close_location"":0.9228519195612357}",true,false,MIDPOINT_REWARD_BELOW_1_50R,,,,,1807.01851988,,,1627994700000,,1813.8825,8,,,1.67480119524
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1628076600000,2021-08-04,LONG,DEVELOPMENT,2021-08-04T11:50:00.000Z,{},2021-08-04T11:30:00.000Z,2021-08-04T11:50:00.000Z,"{""close"":1818.57,""high"":1819.26,""low"":1818.18,""open"":1818.3184999999999}","{""M15_ATR14"":1.3835357647606465}","{""impulse_high"":1816.6750000000002,""impulse_low"":1813.915}","{""body_ratio"":0.2328703703704585,""close_location"":0.36111111111101757}",true,false,STOP_DISTANCE_OUTSIDE_FROZEN_RANGE,,,,,1816.00164642,,,1628077800000,2,,6,0.6,1.5,1.38353576476
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-08-05,2021-08-05,SHORT,DEVELOPMENT,2021-08-05T08:15:00.000Z,{},2021-08-05T08:15:00.000Z,2021-08-05T08:15:00.000Z,"{""close"":1811.415,""high"":1814.17,""low"":1811.27,""open"":1813.7649999999999}","{""M15_ATR14"":1.4758056898306888}","{""range_high"":1812.5515,""range_low"":1808.6734999999999}","{""body_ratio"":0.8103448275861501,""close_location"":0.04999999999999216}",true,true,,2021-08-05T08:15:00.140Z,1811.208,1811.602,1811.208,1814.31758057,1805.766234,3.10958056898,1628151300000,1.75,,6,,,1.47580568983
XAU_V2_H4_BREAKOUT_RETEST_CONTINUATION,B-1628179200000,2021-08-05,SHORT,DEVELOPMENT,2021-08-05T17:45:00.000Z,{},2021-08-05T16:00:00.000Z,2021-08-05T17:45:00.000Z,"{""close"":1804.649,""high"":1806.48,""low"":1804.385,""open"":1806.4}","{""M15_ATR14"":2.283886206507163}","{""breakout_level"":1805.84}","{""body_ratio"":0.8357995226731174,""close_location"":0.1260143198090181}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1806.70838862,,,1628185500000,2,,12,0.75,2,2.28388620651
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1628208900000,2021-08-06,SHORT,DEVELOPMENT,2021-08-06T00:35:00.000Z,{},2021-08-06T00:15:00.000Z,2021-08-06T00:35:00.000Z,"{""close"":1801.8600000000001,""high"":1802.435,""low"":1801.75,""open"":1802.3735000000001}","{""M15_ATR14"":0.9896188311001033}","{""impulse_high"":1803.8035,""impulse_low"":1801.8899999999999}","{""body_ratio"":0.7496350364964419,""close_location"":0.1605839416060381}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1802.91396188,,,1628210100000,2,,6,0.6,1.5,0.9896188311
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1628253900000,2021-08-06,SHORT,DEVELOPMENT,2021-08-06T13:05:00.000Z,{},2021-08-06T12:45:00.000Z,2021-08-06T13:05:00.000Z,"{""close"":1772.1345000000001,""high"":1776.57,""low"":1771.795,""open"":1776.57}","{""M15_ATR14"":3.1428580948615066}","{""impulse_high"":1800.03,""impulse_low"":1779.4255}","{""body_ratio"":0.9289005235601983,""close_location"":0.07109947643980175}",true,false,STOP_DISTANCE_OUTSIDE_FROZEN_RANGE,,,,,1780.68928581,,,1628255100000,2,,6,0.6,1.5,3.14285809486
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1628461800000,2021-08-08,SHORT,DEVELOPMENT,2021-08-08T22:50:00.000Z,{},2021-08-08T22:30:00.000Z,2021-08-08T22:50:00.000Z,"{""close"":1739.795,""high"":1753.86,""low"":1738.0715,""open"":1753.8035}","{""M15_ATR14"":2.629654895517639}","{""impulse_high"":1760.28,""impulse_low"":1753.8649999999998}","{""body_ratio"":0.8872597143490525,""close_location"":0.10916173164012229}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1756.40796549,,,1628463000000,2,,6,0.6,1.5,2.62965489552
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1628598600000,2021-08-10,SHORT,DEVELOPMENT,2021-08-10T12:50:00.000Z,{},2021-08-10T12:30:00.000Z,2021-08-10T12:50:00.000Z,"{""close"":1728.625,""high"":1728.63,""low"":1726.3600000000001,""open"":1726.37}","{""M15_ATR14"":2.1609388033177654}","{""impulse_high"":1733.84,""impulse_low"":1729.335}","{""body_ratio"":0.9933920704846375,""close_location"":0.9977973568281457}",true,true,,2021-08-10T12:50:00.130Z,1728.498,1728.742,1728.498,1730.89609388,1723.70181224,2.39809388033,1628599800000,2,,6,0.6,1.5,2.16093880332
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1628662500000,2021-08-11,SHORT,DEVELOPMENT,2021-08-11T06:35:00.000Z,{},2021-08-11T06:15:00.000Z,2021-08-11T06:35:00.000Z,"{""close"":1731.1750000000002,""high"":1731.685,""low"":1730.0115,""open"":1730.1750000000002}","{""M15_ATR14"":1.5071853721352264}","{""impulse_high"":1734.6185,""impulse_low"":1731.7820000000002}","{""body_ratio"":0.5975500448162975,""close_location"":0.6952494771438296}",true,true,,2021-08-11T06:35:00.082Z,1730.998,1731.342,1730.998,1733.19421854,1726.60556293,2.19621853721,1628663700000,2,,6,0.6,1.5,1.50718537214
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1628749800000,2021-08-12,LONG,DEVELOPMENT,2021-08-12T06:50:00.000Z,{},2021-08-12T06:30:00.000Z,2021-08-12T06:50:00.000Z,"{""close"":1754.5149999999999,""high"":1754.53,""low"":1753.5715,""open"":1754.13}","{""M15_ATR14"":1.381101742053656}","{""impulse_high"":1753.6750000000002,""impulse_low"":1751.0149999999999}","{""body_ratio"":0.40166927490848237,""close_location"":0.9843505477307244}",true,true,,2021-08-12T06:50:00.151Z,1754.348,1754.752,1754.752,1753.35688983,1757.54222035,1.39511017421,1628751000000,2,,6,0.6,1.5,1.38110174205
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-08-12,2021-08-12,SHORT,DEVELOPMENT,2021-08-12T07:00:00.000Z,{},2021-08-12T07:00:00.000Z,2021-08-12T07:00:00.000Z,"{""close"":1752.955,""high"":1754.57,""low"":1752.4685,""open"":1754.13}","{""M15_ATR14"":1.5054448694238158}","{""range_high"":1753.685,""range_low"":1749.007}","{""body_ratio"":0.5591244349275227,""close_location"":0.23150130858909404}",true,true,,2021-08-12T07:00:00.275Z,1752.778,1753.202,1752.778,1754.72054449,1749.37854715,1.94254448694,1628751600000,1.75,,6,,,1.50544486942
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-08-13,2021-08-13,SHORT,DEVELOPMENT,2021-08-13T07:00:00.000Z,{},2021-08-13T07:00:00.000Z,2021-08-13T07:00:00.000Z,"{""close"":1756.9,""high"":1759.495,""low"":1756.75,""open"":1758.095}","{""M15_ATR14"":1.4671062078325223}","{""range_high"":1757.09,""range_low"":1751.69}","{""body_ratio"":0.435336976320577,""close_location"":0.0546448087432047}",true,true,,2021-08-13T07:00:00.115Z,1756.748,1757.142,1756.748,1759.64171062,1751.68400641,2.89371062078,1628838000000,1.75,,6,,,1.46710620783
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1629117900000,2021-08-16,LONG,DEVELOPMENT,2021-08-16T13:15:00.000Z,{},2021-08-16T12:45:00.000Z,2021-08-16T13:15:00.000Z,"{""close"":1782.525,""high"":1782.6005,""low"":1780.07,""open"":1780.1350000000002}","{""M15_ATR14"":2.2062646066640137}","{""impulse_high"":1781.2465,""impulse_low"":1774.9505}","{""body_ratio"":0.9444773760125675,""close_location"":0.9701639992096749}",true,false,STOP_DISTANCE_OUTSIDE_FROZEN_RANGE,,,,,1778.00387354,,,1629119700000,2,,6,0.6,1.5,2.20626460666
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1629119700000,2021-08-16,LONG,DEVELOPMENT,2021-08-16T13:40:00.000Z,{},2021-08-16T13:15:00.000Z,2021-08-16T13:40:00.000Z,"{""close"":1785.36,""high"":1786.105,""low"":1781.9325,""open"":1782.18}","{""M15_ATR14"":2.462819992480715}","{""impulse_high"":1782.6005,""impulse_low"":1777.6695}","{""body_ratio"":0.7621330137806445,""close_location"":0.8214499700419184}",true,false,STOP_DISTANCE_OUTSIDE_FROZEN_RANGE,,,,,1780.643718,,,1629121200000,2,,6,0.6,1.5,2.46281999248
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1629249300000,2021-08-18,LONG,DEVELOPMENT,2021-08-18T01:35:00.000Z,{},2021-08-18T01:15:00.000Z,2021-08-18T01:35:00.000Z,"{""close"":1789.37,""high"":1789.4335,""low"":1788.73,""open"":1788.835}","{""M15_ATR14"":1.2569588011534891}","{""impulse_high"":1788.6515,""impulse_low"":1785.5665}","{""body_ratio"":0.7604832977964412,""close_location"":0.9097370291397344}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1787.62430412,,,1629250500000,2,,6,0.6,1.5,1.25695880115
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-08-18,2021-08-18,SHORT,DEVELOPMENT,2021-08-18T07:00:00.000Z,{},2021-08-18T07:00:00.000Z,2021-08-18T07:00:00.000Z,"{""close"":1791.8400000000001,""high"":1793.3294999999998,""low"":1791.815,""open"":1793.225}","{""M15_ATR14"":1.3158569621121543}","{""range_high"":1792.3784999999998,""range_low"":1785.185}","{""body_ratio"":0.9144932320897808,""close_location"":0.01650709805222498}",true,true,,2021-08-18T07:00:00.146Z,1791.678,1792.022,1791.678,1793.4610857,1788.55760003,1.78308569621,1629270000000,1.75,,6,,,1.31585696211
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1629288000000,2021-08-18,LONG,DEVELOPMENT,2021-08-18T12:20:00.000Z,{},2021-08-18T12:00:00.000Z,2021-08-18T12:20:00.000Z,"{""close"":1788.231,""high"":1789.0085,""low"":1787.391,""open"":1787.855}","{""M15_ATR14"":1.671013090150863}","{""impulse_high"":1787.58,""impulse_low"":1784.1535}","{""body_ratio"":0.23245749613602126,""close_location"":0.5193199381761998}",true,true,,2021-08-18T12:20:00.078Z,1788.062,1788.492,1788.492,1786.35139869,1792.77320262,2.14060130901,1629289200000,2,,6,0.6,1.5,1.67101309015
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1629342000000-LONG,2021-08-19,LONG,DEVELOPMENT,2021-08-19T03:45:00.000Z,{},2021-08-19T03:45:00.000Z,2021-08-19T03:45:00.000Z,"{""close"":1778.16,""high"":1778.35,""low"":1776.8400000000001,""open"":1777.103}","{""M15_ATR14"":1.8795124365199785}","{""midpoint"":1785.6107499999998,""range_high"":1793.8365,""range_low"":1777.385}","{""body_ratio"":0.7000000000001204,""close_location"":0.8741721854305583}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1776.65204876,,,1629344700000,,1785.61075,8,,,1.87951243652
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1629378000000-SHORT,2021-08-19,SHORT,DEVELOPMENT,2021-08-19T13:30:00.000Z,{},2021-08-19T13:30:00.000Z,2021-08-19T13:30:00.000Z,"{""close"":1788.0349999999999,""high"":1791.435,""low"":1787.3784999999998,""open"":1790.865}","{""M15_ATR14"":2.7611112903056507}","{""midpoint"":1782.505,""range_high"":1790.46,""range_low"":1774.55}","{""body_ratio"":0.6976457537285975,""close_location"":0.16183902378898754}",true,false,MIDPOINT_REWARD_BELOW_1_50R,,,,,1791.71111113,,,1629379800000,,1782.505,8,,,2.76111129031
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1629676800000-LONG,2021-08-23,LONG,DEVELOPMENT,2021-08-23T00:30:00.000Z,{},2021-08-23T00:30:00.000Z,2021-08-23T00:30:00.000Z,"{""close"":1778.98,""high"":1778.98,""low"":1777.295,""open"":1777.9650000000001}","{""M15_ATR14"":1.392027887612997}","{""midpoint"":1783.3539999999998,""range_high"":1788.4679999999998,""range_low"":1778.24}","{""body_ratio"":0.6023738872403,""close_location"":1.0}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1777.15579721,,,1629678600000,,1783.354,8,,,1.39202788761
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1629680400000-LONG,2021-08-23,LONG,DEVELOPMENT,2021-08-23T01:45:00.000Z,{},2021-08-23T01:45:00.000Z,2021-08-23T01:45:00.000Z,"{""close"":1779.005,""high"":1779.1,""low"":1776.93,""open"":1777.375}","{""M15_ATR14"":1.5835009696024835}","{""midpoint"":1782.9714999999999,""range_high"":1788.4679999999998,""range_low"":1777.475}","{""body_ratio"":0.7511520737328227,""close_location"":0.9562211981567711}",true,false,OUTSIDE_COMMON_ENTRY_WINDOW,,,,,1776.7716499,,,1629683100000,,1782.9715,8,,,1.5835009696
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1629724500000,2021-08-23,LONG,DEVELOPMENT,2021-08-23T13:35:00.000Z,{},2021-08-23T13:15:00.000Z,2021-08-23T13:35:00.000Z,"{""close"":1805.25,""high"":1805.6550000000002,""low"":1803.365,""open"":1804.9050000000002}","{""M15_ATR14"":2.22624859423442}","{""impulse_high"":1804.6815000000001,""impulse_low"":1799.9975}","{""body_ratio"":0.1506550218339612,""close_location"":0.8231441048034208}",true,true,,2021-08-23T13:35:00.025Z,1805.058,1805.432,1805.432,1803.22537514,1809.84524972,2.20662485942,1629725700000,2,,6,0.6,1.5,2.22624859423
