record_type,symbol,month,basis,timeframe,item_count,first_utc,last_utc,relative_path,bytes,sha256,contract_normalized_sha256
BARS,XAUUSD,2021-08,Mid,M5,6096,2021-08-01T22:00:00.000Z,2021-08-31T23:55:00.000Z,bars/XAUUSD/mid/M5/year=2021/month=08/bars.parquet,140643,18b5929d4bc0ffa361fd49f4e4b8f13aa6f8cb1b7573e3a33045a339d35d44ba,
BARS,XAUUSD,2021-08,Mid,M15,2032,2021-08-01T22:00:00.000Z,2021-08-31T23:45:00.000Z,bars/XAUUSD/mid/M15/year=2021/month=08/bars.parquet,52873,0010640bbeb26f4da6d63b06fbaff6aefde6ce9aa2b699e7be834fb4ef29f82f,
BARS,XAUUSD,2021-08,Mid,H1,508,2021-08-01T22:00:00.000Z,2021-08-31T23:00:00.000Z,bars/XAUUSD/mid/H1/year=2021/month=08/bars.parquet,17143,8e792ae1bab2e2334cc5b87b1f0da8678d1e9c4d9a80c8ab3045ecbeff8e79a1,
BARS,XAUUSD,2021-08,Mid,H4,137,2021-08-01T20:00:00.000Z,2021-08-31T20:00:00.000Z,bars/XAUUSD/mid/H4/year=2021/month=08/bars.parquet,7308,a3ca982a29f2dd10a976e3e5de7d9189494b897eb97a00e6c2d196e9d38e02ac,
TICKS,XAUUSD,2021-09,Bid/Ask,TICK,4370571,2021-09-01T00:00:00.076Z,2021-09-30T23:59:59.543Z,normalized/XAUUSD/year=2021/month=09/ticks.parquet,46452177,1934fda8d76be6407fe5133e2e915898211abd702fe4769f261ab7d95e3985c2,a2ee35ea26f444ac7c4a079a12a39e1b0e22adbd7d1d565fbe3cc91e5915f3a9
BARS,XAUUSD,2021-09,Bid,M5,6024,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/XAUUSD/bid/M5/year=2021/month=09/bars.parquet,129750,99772661aa7cc7599143fc005e5a252e70b5da16cb9e0c8035ccb0adb1572ee9,
BARS,XAUUSD,2021-09,Bid,M15,2008,2021-09-01T00:00:00.000Z,2021-09-30T23:45:00.000Z,bars/XAUUSD/bid/M15/year=2021/month=09/bars.parquet,48220,cc84574c17a26cbb4bfa994dcd0773a8a8ab00e16ec38195dd0dde4c51d7e236,
BARS,XAUUSD,2021-09,Bid,H1,502,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/XAUUSD/bid/H1/year=2021/month=09/bars.parquet,15670,0aaaa55cba7f6a8e1a32ebfba76af62ccf49fe71b8da93cefb2bf0a40f7134b4,
BARS,XAUUSD,2021-09,Bid,H4,136,2021-09-01T00:00:00.000Z,2021-09-30T20:00:00.000Z,bars/XAUUSD/bid/H4/year=2021/month=09/bars.parquet,7060,b27dd5c01d2fef2e80b94818c88a41974d14ff1739eef415e4f91b450778111f,
BARS,XAUUSD,2021-09,Ask,M5,6024,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/XAUUSD/ask/M5/year=2021/month=09/bars.parquet,129775,1fe4d6a7577907b31727d434a718fcaad44bca55a0473c2bcb4144bd27e716ee,
