signal_id,candidate_id,direction,entry_time,exit_time,session_bucket,market_day_direction,entry_price,stop_loss,take_profit,risk_points,final_r,net_r,stress_net_r,charged_cost_r,stress_cost_r,outcome,mfe_r,mae_r,estimated_cost_r,h4_ema50_slope_points,h1_atr_points,pullback_depth_points,body_to_range,close_location
xau_h1_h4_trend_continuation_pullback_v0_1|LONG|2025-02-12 16:40:00|2897.38|1047.0,xau_h1_h4_trend_continuation_pullback_v0_1,LONG,2025-02-12 16:45:00,2025-02-14 00:05:00,Night 20:00-05:59,UP,2897.375,2886.905,2913.08,1047.0,1.5,1.442693,1.418816,0.057307,0.081184,WIN,3.234,0.3811,0.105062,530.6315,871.65,1040.0,0.4159,0.9626
xau_h1_h4_trend_continuation_pullback_v0_1|LONG|2025-02-21 17:40:00|2940.43|968.0,xau_h1_h4_trend_continuation_pullback_v0_1,LONG,2025-02-21 17:45:00,2025-02-24 01:00:00,Night 20:00-05:59,DOWN,2940.435,2930.755,2954.955,968.0,-1.0,-1.113636,-1.139463,0.113636,0.139463,LOSS,0.2262,1.1591,0.113636,328.6267,870.0071,756.0,0.5349,0.6822
xau_h1_h4_trend_continuation_pullback_v0_1|LONG|2025-03-07 08:20:00|2919.84|967.0,xau_h1_h4_trend_continuation_pullback_v0_1,LONG,2025-03-07 08:25:00,2025-03-07 13:30:00,Afternoon 12:00-15:59,DOWN,2919.845,2910.175,2934.35,967.0,-1.0,-1.113754,-1.139607,0.113754,0.139607,LOSS,0.3133,1.0207,0.113754,192.7838,619.2571,648.0,0.5139,0.9491
xau_h1_h4_trend_continuation_pullback_v0_1|LONG|2025-04-02 16:05:00|3129.49|925.0,xau_h1_h4_trend_continuation_pullback_v0_1,LONG,2025-04-02 16:10:00,2025-04-02 18:30:00,Night 20:00-05:59,UP,3129.495,3120.245,3143.37,925.0,-1.0,-1.118919,-1.145946,0.118919,0.145946,LOSS,0.4962,1.1892,0.118919,580.0065,1041.0357,1300.0,0.8122,0.8895
xau_h1_h4_trend_continuation_pullback_v0_1|SHORT|2025-04-30 03:20:00|3308.11|1095.0,xau_h1_h4_trend_continuation_pullback_v0_1,SHORT,2025-04-30 03:25:00,2025-04-30 08:15:00,Morning 06:00-11:59,DOWN,3308.115,3319.065,3291.69,1095.0,1.5,1.445205,1.422374,0.054795,0.077626,WIN,2.1233,0.579,0.100457,-15.5786,1143.2143,1393.0,0.6017,0.274
xau_h1_h4_trend_continuation_pullback_v0_1|LONG|2025-05-07 12:05:00|3389.86|1823.1,xau_h1_h4_trend_continuation_pullback_v0_1,LONG,2025-05-07 12:10:00,2025-05-07 19:20:00,Evening 16:00-19:59,DOWN,3389.865,3371.63432,3417.21102,1823.0679,-1.0,-1.060338,-1.074051,0.060338,0.074051,LOSS,0.4394,1.4465,0.060338,952.0748,2144.7857,1768.0,0.8917,0.9417
xau_h1_h4_trend_continuation_pullback_v0_1|LONG|2025-06-06 04:05:00|3371.32|1259.0,xau_h1_h4_trend_continuation_pullback_v0_1,LONG,2025-06-06 04:10:00,2025-06-06 06:45:00,Morning 06:00-11:59,DOWN,3371.325,3358.735,3390.21,1259.0,-1.0,-1.087371,-1.107228,0.087371,0.107228,LOSS,0.3195,1.0508,0.087371,270.1391,1059.7429,1249.0,0.4771,0.6863
