month,training_start_utc,training_cutoff_utc,training_rows,training_targets,training_target_rate,scored_rows,selected_signals,coefficient_l2_norm,status
2020-01,2017-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,4442,1698,0.38226024313372353,112,0,0.3363334103512055,FIT_PAST_ONLY
2020-02,2017-02-01T00:00:00+00:00,2020-02-01T00:00:00+00:00,4362,1663,0.38124713434204494,26,0,0.35599680548078494,FIT_PAST_ONLY
2020-03,2017-03-01T00:00:00+00:00,2020-03-01T00:00:00+00:00,4222,1603,0.37967787778304124,18,1,0.4574002174886052,FIT_PAST_ONLY
2020-04,2017-04-01T00:00:00+00:00,2020-04-01T00:00:00+00:00,4094,1558,0.3805569125549585,166,26,0.4432435666290038,FIT_PAST_ONLY
2020-05,2017-05-01T00:00:00+00:00,2020-05-01T00:00:00+00:00,4202,1598,0.3802950975725845,112,4,0.5584641551992919,FIT_PAST_ONLY
2020-06,2017-06-01T00:00:00+00:00,2020-06-01T00:00:00+00:00,4194,1598,0.3810205054840248,126,7,0.49031915871983256,FIT_PAST_ONLY
2020-07,2017-07-01T00:00:00+00:00,2020-07-01T00:00:00+00:00,4148,1574,0.37945998071359693,116,5,0.472770815070987,FIT_PAST_ONLY
2020-08,2017-08-01T00:00:00+00:00,2020-08-01T00:00:00+00:00,4180,1587,0.3796650717703349,142,2,0.4365317023001292,FIT_PAST_ONLY
2020-09,2017-09-01T00:00:00+00:00,2020-09-01T00:00:00+00:00,4212,1597,0.3791547958214625,108,1,0.40485695994179716,FIT_PAST_ONLY
2020-10,2017-10-01T00:00:00+00:00,2020-10-01T00:00:00+00:00,4194,1597,0.3807820696232713,158,3,0.31144692375210276,FIT_PAST_ONLY
2020-11,2017-11-01T00:00:00+00:00,2020-11-01T00:00:00+00:00,4192,1592,0.3797709923664122,144,0,0.28723977078942414,FIT_PAST_ONLY
2020-12,2017-12-01T00:00:00+00:00,2020-12-01T00:00:00+00:00,4230,1610,0.3806146572104019,100,0,0.27895721865249795,FIT_PAST_ONLY
2021-01,2018-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,4178,1577,0.3774533269506941,134,0,0.2995802297113928,FIT_PAST_ONLY
