fold_id,calibration_start_utc,auxiliary_fit_actions,auxiliary_fit_events,auxiliary_fit_episodes,canonical_fit_rows,canonical_calibration_rows,canonical_test_rows,b123_quantile,b123_test_vetoes,chosen_consensus_quantile,selection_reason,v16_test_vetoes,b123_test_re_admitted,selected_rows,selected_weight_coverage,broad_candidate_delta_usd_vs_raw,broad_candidate_delta_usd_vs_b123,aux_linear_test_auc,aux_nonlinear_test_auc,aux_win_test_auc
F2020,2020-01-01T00:00:00+00:00,16861,5636,3201,548,107,363,0.0,0,0.0,RETAIN_ALL_NO_CALIBRATION_EDGE,0,0,363,1.0,0.0,0.0,0.5725416072896939,0.553584384755342,0.5713909652742379
F2021,2021-01-01T00:00:00+00:00,22530,8000,4542,817,198,226,0.0,0,0.0,RETAIN_ALL_NO_CALIBRATION_EDGE,0,0,226,1.0,0.0,0.0,0.5302528912263038,0.5154119252321591,0.530568177302052
F2022,2022-01-01T00:00:00+00:00,28097,10092,5689,1162,81,444,0.0,0,0.0,RETAIN_ALL_NO_CALIBRATION_EDGE,0,0,444,1.0,0.0,0.0,0.5579947212871209,0.5492916936660713,0.5589640657679158
F2023,2023-01-01T00:00:00+00:00,35066,12786,7108,1369,258,389,0.0,0,0.0,RETAIN_ALL_NO_CALIBRATION_EDGE,0,0,389,1.0,0.0,0.0,0.5700506088691744,0.5565761477153881,0.5701948621779845
F2024,2024-01-01T00:00:00+00:00,41148,14867,8253,1846,172,492,0.15,34,0.0,RETAIN_ALL_NO_CALIBRATION_EDGE,0,34,492,1.0,0.0,-53.25647878310292,0.5662328063820904,0.5685826478453675,0.5639647721246177
F2025,2025-01-01T00:00:00+00:00,48974,17965,9913,2306,214,454,0.05,32,0.1,MAXIMUM_ELIGIBLE_CALIBRATION_NORMALIZED_USD,13,19,441,0.9692671394799054,28.81301812409265,2.4268758601674563,0.5396222122933395,0.5217414254985022,0.5396109009078645
