fold_id,quantile,aux_expected_r_linear_threshold,aux_expected_r_nonlinear_threshold,aux_win_probability_threshold,eligible,constraint_coverage,constraint_profit,constraint_mean,constraint_profit_factor,constraint_drawdown,v16_vetoed_rows,b123_vetoed_rows,b123_re_admitted_rows,selected_rows,selected_weight_coverage,selected_weighted_mean_r,selected_weighted_r_sum,selected_weighted_profit_factor,selected_weighted_max_drawdown_r,selected_normalized_weighted_usd_sum,profit_improvement_usd_vs_raw,profit_delta_usd_vs_b123,selected_policy
F2020,0.1,-0.4843716098811523,-0.44795022908510385,0.27417958614748256,False,True,False,True,True,True,0,0,0,107,1.0,-0.3025507541396132,-29.952524659821705,0.6096746881838064,38.162095620411854,-157.4547980020794,0.0,0.0,False
F2020,0.15,-0.40356789559916495,-0.4180217397852883,0.3004746501842702,False,True,False,True,True,True,0,0,0,107,1.0,-0.3025507541396132,-29.952524659821705,0.6096746881838064,38.162095620411854,-157.4547980020794,0.0,0.0,False
F2020,0.2,-0.3441109615916702,-0.36051227422578536,0.3192243105340664,False,True,False,True,True,True,0,0,0,107,1.0,-0.3025507541396132,-29.952524659821705,0.6096746881838064,38.162095620411854,-157.4547980020794,0.0,0.0,False
F2021,0.1,-0.41266729989034456,-0.4114036959039077,0.28425762070362504,False,True,False,True,True,True,0,0,0,198,1.0,0.22205882837632432,43.52353036175957,1.3666932391226119,17.798338420181402,203.87155770808147,0.0,0.0,False
F2021,0.15,-0.31851339127812806,-0.378577304991721,0.3183437941043163,False,True,False,True,True,True,0,0,0,198,1.0,0.22205882837632432,43.52353036175957,1.3666932391226119,17.798338420181402,203.87155770808147,0.0,0.0,False
F2021,0.2,-0.2565001226243743,-0.2908336218578542,0.34624300973267663,False,True,False,True,True,True,0,0,0,198,1.0,0.22205882837632432,43.52353036175957,1.3666932391226119,17.798338420181402,203.87155770808147,0.0,0.0,False
F2022,0.1,-0.5464236443037274,-0.4703099588369979,0.24993183679652595,False,True,False,True,True,True,0,0,0,81,1.0,0.14444801608321337,9.966913109741721,1.222856973572446,10.208745532088212,80.19825538788902,0.0,0.0,False
F2022,0.15,-0.48577510613133096,-0.4302677043636301,0.27857807368142523,False,True,False,True,True,True,0,0,0,81,1.0,0.14444801608321337,9.966913109741721,1.222856973572446,10.208745532088212,80.19825538788902,0.0,0.0,False
F2022,0.2,-0.44573241572875205,-0.4058490250127628,0.2971916935312299,False,True,False,True,True,True,0,0,0,81,1.0,0.14444801608321337,9.966913109741721,1.222856973572446,10.208745532088212,80.19825538788902,0.0,0.0,False
F2023,0.1,-0.4154157168243752,-0.42983481740406737,0.2945274490322888,False,True,False,True,True,True,0,0,0,258,1.0,0.1114526270309997,28.420419892904924,1.1686254099220184,44.37272949002657,77.66267409314541,0.0,0.0,False
F2023,0.15,-0.33771068192383263,-0.39507758036983703,0.32260655247603587,False,True,False,True,True,True,0,0,0,258,1.0,0.1114526270309997,28.420419892904924,1.1686254099220184,44.37272949002657,77.66267409314541,0.0,0.0,False
F2023,0.2,-0.28961871723815835,-0.36698567285664824,0.336706452534487,False,True,False,True,True,True,0,0,0,258,1.0,0.1114526270309997,28.420419892904924,1.1686254099220184,44.37272949002657,77.66267409314541,0.0,0.0,False
F2024,0.1,-0.4707987975531673,-0.4227806130004242,0.2831822862961313,False,True,False,False,False,True,5,26,21,167,0.9683544303797469,0.5526585597440837,84.55675964084482,2.140552272540139,10.299713601325763,1097.9198246724131,-12.01819015686442,-50.84100001485717,False
F2024,0.15,-0.3765381036088212,-0.393134582234487,0.30945071475630054,False,True,False,False,False,True,6,26,20,166,0.9651898734177216,0.5483168151771222,83.61831431451112,2.127893959305918,10.299713601325763,1092.4418019721004,-17.49621285717717,-56.31902271516992,False
F2024,0.2,-0.3215435452939195,-0.347479650037009,0.32897298154412274,False,False,False,True,True,True,9,26,17,163,0.9462025316455697,0.5836361075210219,87.25359807439277,2.237615166114899,10.299713601325763,1109.7212883591521,-0.21672647012542257,-39.039536328118174,False
F2025,0.1,-0.2675099238896581,-0.34742745045435663,0.3471712687764919,True,True,True,True,True,True,6,10,4,208,0.9716981132075472,0.6316289561681561,130.11556497064015,2.3862047190315696,7.987047130021409,2554.530533093737,50.26705094229601,0.30127908193480835,True
F2025,0.15,-0.19378047787913277,-0.30370421402866654,0.3766388095223984,True,True,True,True,True,True,6,10,4,208,0.9716981132075472,0.6316289561681561,130.11556497064015,2.3862047190315696,7.987047130021409,2554.530533093737,50.26705094229601,0.30127908193480835,False
F2025,0.2,-0.16068254217885164,-0.23225702063062303,0.39525529310312496,True,True,True,True,True,True,6,10,4,208,0.9716981132075472,0.6316289561681561,130.11556497064015,2.3862047190315696,7.987047130021409,2554.530533093737,50.26705094229601,0.30127908193480835,False
