period,start_inclusive_utc,end_exclusive_utc,raw_trades,raw_net_pnl_usd,raw_win_rate_pct,raw_profit_factor,raw_closed_trade_drawdown_usd,v16_trades,v16_net_pnl_usd,v16_win_rate_pct,v16_profit_factor,v16_closed_trade_drawdown_usd,locked_b123_trades,locked_b123_net_pnl_usd,locked_b123_win_rate_pct,locked_b123_profit_factor,locked_b123_closed_trade_drawdown_usd,v16_delta_vs_raw_usd,v16_delta_vs_locked_b123_usd,v16_trade_retention
3M,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,64,349.7255047803485,46.875,1.6550995134596662,137.17251039308542,63,325.58686291801234,46.03174603174603,1.6098834445043138,140.8508204465345,60,331.401776172413,46.66666666666666,1.6461429038387136,140.8508204465345,-24.138641862336158,-5.814913254400665,0.984375
6M,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,147,1669.9513830676406,42.857142857142854,2.3167525435684926,137.17251039308553,146,1645.8127412053043,42.465753424657535,2.2977192840420186,140.85082044653473,141,1677.8255493705733,43.26241134751773,2.374052362736184,140.85082044653473,-24.13864186233627,-32.01280816526901,0.9931972789115646
1Y,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,356,2502.7232508824322,44.10112359550562,1.9837293720046052,208.4143543521311,347,2547.1677949882715,44.668587896253605,2.0339580497237977,191.66779906090608,335,2569.445801464434,44.776119402985074,2.079047679325535,191.66779906090608,44.44454410583921,-22.278006476162773,0.9747191011235955
2Y,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,787,3717.0678404402656,45.23506988564168,1.8281863716964044,279.03947729639003,778,3761.512384546105,45.501285347043705,1.8534158273060222,276.86585968330894,743,3803.8571754897566,45.76043068640646,1.8982694648672744,270.87368678850305,44.44454410583921,-42.34479094365179,0.98856416772554
5Y,2021-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,1512,4800.891382860866,45.370370370370374,1.7260403480254378,279.03947729639003,1503,4845.3359269667035,45.50898203592814,1.741804347605175,276.86585968330894,1468,4887.680717910356,45.64032697547684,1.768638753898392,270.8736867885033,44.44454410583785,-42.3447909436527,0.9940476190476191
10Y,2016-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2069,5198.999448166458,45.094248429192845,1.6526979073034245,279.03947729639003,2060,5243.443992272297,45.19417475728155,1.665007151534663,276.8658596833086,2025,5285.788783215949,45.28395061728395,1.685411468953072,270.8736867885027,44.44454410583876,-42.34479094365179,0.9956500724987917
ALL,,,2153,5432.465955672466,44.7282861124013,1.6593777127678904,279.03947729639003,2144,5476.910499778305,44.82276119402985,1.6713404771819513,276.8658596833086,2109,5519.255290721957,44.90279753437648,1.691183412304738,270.8736867885027,44.44454410583876,-42.34479094365179,0.9958197863446354
