cell_id,broker,cost_model,symbol,trade_count,win_rate,profit_factor,average_R,median_R,gross_expectancy_R,net_expectancy_R,mean_all_in_cost_R,median_cost_R,p95_cost_R,entry_spread_R,entry_slippage_R,exit_slippage_R,commission_R,cost_edge_consumption_pct,cost_edge_flag,fixed_risk_usd,fixed_notional_total_pnl_usd,fixed_notional_max_dd_usd,max_losing_streak
ALL,ALL,ALL,XAUUSD,66759,0.48222711544510855,1.362519553972814,0.18879196545656243,-0.9908155755279604,0.5115454557998703,0.18879196545656243,0.32275349034330786,0.17933389415810685,0.7626947637708557,0.3061034028667759,0.008325043738266013,0.008325043738266013,0.0,63.09380460405796,ORANGE,50.0,630178.1410957326,2270.67320421373,14
1,capital_com,best_case,XAUUSD,7287,0.4844243172773432,1.409185718582246,0.2106943001558617,-0.9900530080459244,0.36394640461434036,0.2106943001558617,0.15325210445847867,0.13514954931786347,0.3203913960057077,0.15325210445847867,0.0,0.0,0.0,42.10842654727524,YELLOW,50.0,76766.46826178822,1024.1760222848861,11
2,capital_com,median,XAUUSD,7287,0.4844243172773432,1.409185718582246,0.2106943001558617,-0.9900530080459244,0.5171985090728191,0.2106943001558617,0.30650420891695734,0.27029909863572693,0.6407827920114154,0.30650420891695734,0.0,0.0,0.0,59.262392203416624,YELLOW,50.0,76766.46826178822,1024.1760222848861,11
3,capital_com,p95,XAUUSD,7287,0.4844243172773432,1.2744993370563689,0.1454453832481478,-1.000188239727166,0.7196982004385204,0.1454453832481478,0.5742528171903726,0.5132111901295028,1.1742805589943812,0.5153550923503344,0.029448862420019102,0.029448862420019102,0.0,79.79078130811968,ORANGE,50.0,52993.02538646264,1170.5565683460409,11
4,pepperstone,best_case,XAUUSD,7174,0.4711458042932813,1.3362750878224654,0.17760312886619498,-0.99477847547106,0.2828917700899082,0.17760312886619498,0.10528864122371322,0.08114724268700302,0.268904679411866,0.10528864122371322,0.0,0.0,0.0,37.21870070318785,GREEN,50.0,63706.24232430414,1894.1596216949729,14
5,pepperstone,median,XAUUSD,7174,0.4711458042932813,1.3362750878224654,0.17760312886619498,-0.99477847547106,0.3881804113136214,0.17760312886619498,0.21057728244742643,0.16229448537400604,0.537809358823732,0.21057728244742643,0.0,0.0,0.0,54.24727170926082,YELLOW,50.0,63706.24232430414,1894.1596216949729,14
6,pepperstone,p95,XAUUSD,7174,0.4711458042932813,1.2463992235171204,0.13258822099362885,-1.000071395802757,0.52967603134466,0.13258822099362885,0.3970878103510312,0.3114200704640342,0.9952051766671366,0.3563608554432331,0.02036347745389904,0.02036347745389904,0.0,74.96805346146506,ORANGE,50.0,47559.394870414675,2270.6732042139374,14
7,dukascopy,best_case,XAUUSD,7792,0.4931981519507187,1.45955181698666,0.23240053115694542,-0.9751323677801667,0.45026876219941486,0.23240053115694542,0.2178682310424694,0.07021499214309473,0.20543542924575206,0.2178682310424694,0.0,0.0,0.0,48.38626379015385,YELLOW,50.0,90543.24693874593,1142.1277682352047,11
8,dukascopy,median,XAUUSD,7792,0.4931981519507187,1.4595492278962119,0.2323992218247373,-0.9751323677801667,0.6681356839096761,0.2323992218247373,0.4357364620849388,0.14042998428618947,0.4108708584915041,0.4357364620849388,0.0,0.0,0.0,65.21676248979468,ORANGE,50.0,90542.73682291765,1142.1277682352047,11
9,dukascopy,p95,XAUUSD,7792,0.4847279260780287,1.3311854847416011,0.17349670406829298,-0.9797514062026953,0.6617228168342099,0.17349670406829298,0.4882261127659169,0.27004621084260216,0.7695784363196723,0.43815163966172027,0.0250372365520983,0.0250372365520983,0.0,73.78106064132265,ORANGE,50.0,67594.31590500692,1314.074500761565,11
