name,status,threshold,observed,message
multi_cell_survival,FAIL,>=7/9 cells PF >= 1.3,3/9 cells PF >= 1.3,Too few profitable cells.
sample_size,PASS,trade_count >= 40 in every cell,all cells meet threshold,Sample-size gate passed.
no_catastrophic_failure,PASS,max_drawdown_pct <= 30.0; total_return_pct >= -25.0,all cells meet threshold,Catastrophic-failure gate passed.
concentration,FAIL,largest <= 10.0%; top5 <= 40.0%,"failed cells: 1, 2, 3, 7, 8, 9",Profit is too concentrated.
activity,PASS,max_consecutive_zero_trade_months <= 3,all cells meet threshold,Activity gate passed.
cost_sensitivity,PASS,"p95_pf / best_case_pf >= 0.5 for pairs 1/3, 4/6, 7/9",1/3=0.9856; 4/6=0.9953; 7/9=0.9618,Cost-sensitivity gate passed.
