name,status,threshold,observed,message
multi_cell_survival,FAIL,>=7/9 cells PF >= 1.3,0/9 cells PF >= 1.3,Too few profitable cells.
sample_size,PASS,trade_count >= 40 in every cell,all cells meet threshold,Sample-size gate passed.
no_catastrophic_failure,PASS,max_drawdown_pct <= 30.0; total_return_pct >= -25.0,all cells meet threshold,Catastrophic-failure gate passed.
concentration,FAIL,largest <= 10.0%; top5 <= 40.0%,"failed cells: 1, 2, 3, 4, 5, 6, 7, 8, 9",Profit is too concentrated.
activity,FAIL,max_consecutive_zero_trade_months <= 3,"failed cells: 4, 5, 6, 7, 8, 9",One or more cells are inactive too long.
cost_sensitivity,PASS,"p95_pf / best_case_pf >= 0.5 for pairs 1/3, 4/6, 7/9",1/3=0.9882; 4/6=0.9871; 7/9=0.9621,Cost-sensitivity gate passed.
