candidate,decision_scope,frequency_bias_diagnosis,complete_cells,pf_passing_cells,total_trades,min_cell_trades,max_cell_trades,median_cell_trades,failed_gate_count,failed_gates,multi_cell_survival,sample_size,no_catastrophic_failure,concentration,activity,cost_sensitivity
h1_uso_uup_oil_dollar_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1353,144,154,153.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_vix_term_structure_inversion_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,897,86,110,103.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_vix_term_structure_inversion_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,513,46,70,55.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h1_volatility_squeeze_breakout_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,3,2127,116,300,293.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_walk_forward_linear_state_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,5979,561,788,644.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_xle_xlu_energy_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1182,117,142,135.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_xlf_xlu_financials_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1488,146,176,174.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_xli_xlu_cyclical_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1425,145,169,161.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_xlp_xly_consumer_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1389,142,163,158.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_xlu_xlk_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1476,140,180,172.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_xme_spy_metals_mining_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1161,104,150,133.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h4_breakeven_inflation_momentum_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,2055,183,273,229.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h4_credit_spread_stress_momentum_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1689,153,211,199.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h4_d1_momentum_expansion_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,3,735,81,83,81.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h4_financial_conditions_stress_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,483,46,61,54.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h4_gdx_gld_miner_divergence_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,0,165,10,28,17.0,4,multi_cell_survival;sample_size;concentration;activity,FAIL,FAIL,PASS,FAIL,FAIL,PASS
h4_gld_etf_flow_reversal_v0,REJECTED_OR_RESEARCH,FREQUENCY_FAILURE,9,9,312,29,39,36.0,3,sample_size;concentration;activity,PASS,FAIL,PASS,FAIL,FAIL,PASS
h4_gld_etf_flow_reversal_v1,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,621,60,86,61.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
