candidate,decision_scope,frequency_bias_diagnosis,complete_cells,pf_passing_cells,total_trades,min_cell_trades,max_cell_trades,median_cell_trades,failed_gate_count,failed_gates,multi_cell_survival,sample_size,no_catastrophic_failure,concentration,activity,cost_sensitivity
h1_eem_spy_em_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1188,102,155,139.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_eurjpy_usdjpy_fx_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,957,90,121,108.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_financial_conditions_shock_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1284,127,169,132.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h1_friday_position_squaring_reversion_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,0,318,29,43,34.0,4,multi_cell_survival;sample_size;concentration;activity,FAIL,FAIL,PASS,FAIL,FAIL,PASS
h1_fxa_uup_aussie_dollar_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1473,152,175,164.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_fxe_uup_euro_dollar_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1380,142,173,145.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_fxf_uup_safe_haven_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1410,147,168,155.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_fxy_uup_safe_haven_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1476,140,178,174.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_gc_momentum_pullback_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1095,117,129,119.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_gc_xau_basis_reversion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,2097,218,243,238.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h1_gdx_gld_trend_confirmation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,729,78,84,81.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_gld_flow_momentum_pullback_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,576,59,67,66.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h1_gld_flow_stress_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,2,726,71,89,82.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h1_gld_flow_stress_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,3,234,22,29,27.0,4,multi_cell_survival;sample_size;concentration;activity,FAIL,FAIL,PASS,FAIL,FAIL,PASS
h1_gld_spy_safe_haven_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1596,161,196,175.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h1_gvz_vix_vol_premium_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1437,123,187,169.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h1_hyg_ief_credit_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1287,118,158,153.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
