status,cell_id,broker,cost_model,symbol,path_index,test_folds,purge_days,train_trade_count,train_profit_factor,train_total_pnl_usd,oos_trade_count,oos_profit_factor,oos_total_pnl_usd,oos_win_rate,source_trade_file
PASS,1,capital_com,best_case,XAUUSD,1,0+1,1.0,4852,1.4124169975408505,18506970.773475688,2429,1.3626654602908417,136050.75081016292,0.49032523672293127,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,2,0+2,1.0,4835,1.4143179829458534,18323610.244625844,2430,1.3109308706365246,316449.09669155296,0.48641975308641977,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,3,0+3,1.0,4834,1.4133887346050438,17641030.04142069,2429,1.3938552890645048,1000367.8198319123,0.4899135446685879,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,4,0+4,1.0,4826,1.41612622388398,15082382.06418266,2430,1.3886627478093676,3448880.056117427,0.49176954732510286,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,5,0+5,1.0,4839,1.3846413599099903,4777207.035835221,2429,1.424262744980035,13878043.983586833,0.4956772334293948,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,6,1+2,1.0,4843,1.4150248655587085,18255568.163777713,2429,1.3044682919678063,383743.9882076301,0.47632770687525733,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,7,1+3,1.0,4829,1.414182402426793,17573385.979619086,2428,1.3836974094690586,1067662.7113479893,0.4798187808896211,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,8,1+4,1.0,4821,1.4170802765841368,15014738.002381053,2429,1.385700471673232,3516174.947633504,0.48167970358172085,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,9,1+5,1.0,4834,1.3868285676298835,4709562.974033613,2428,1.4231811446416964,13945338.87510291,0.4855848434925865,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,10,2+3,1.0,4844,1.4160802027164034,17390573.98145297,2429,1.3643792449664147,1248061.0572293792,0.47591601482091395,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,11,2+4,1.0,4826,1.4195302471973068,14832010.911469629,2430,1.3787883300448711,3696573.2935148943,0.4777777777777778,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,12,2+5,1.0,4839,1.3926469167443396,4526835.883122188,2429,1.4204564166289493,14125737.220984299,0.48167970358172085,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,13,3+4,1.0,4843,1.4187248041311369,14180019.478616515,2429,1.3883025251002594,4380492.016655253,0.4812680115273775,cell_1_breakout_retest_capital_com_best_case_trades.csv
PASS,1,capital_com,best_case,XAUUSD,14,3+5,1.0,4838,1.3853018733400937,3844255.6799170356,2428,1.4217065919361402,14809655.944124658,0.48517298187808894,cell_1_breakout_retest_capital_com_best_case_trades.csv
