candidate_id,instrument_id,bar_start_utc,feature_time_utc,first_event_utc,last_event_utc,trade_count,total_volume,small_volume,small_signed_volume,large_volume,large_signed_volume,trade_price_open,trade_price_last,small_imbalance,large_imbalance,large_trade_size,family,direction
large_small_divergence_continuation:1656680400000:LONG:5568,5568,2022-07-01 12:55:00+00:00,2022-07-01 13:00:00+00:00,2022-07-01 12:55:00.545272127+00:00,2022-07-01 12:59:59.829423349+00:00,610,1338.0,589.0,-61.0,203.0,145.0,1787.8,1789.0,-0.1035653650254669,0.7142857142857143,8,large_small_divergence_continuation,LONG
large_small_divergence_continuation:1656688500000:LONG:5568,5568,2022-07-01 15:10:00+00:00,2022-07-01 15:15:00+00:00,2022-07-01 15:10:00.061591843+00:00,2022-07-01 15:14:59.811012355+00:00,1876,4414.0,1791.0,-287.0,1189.0,711.0,1805.9,1808.1,-0.16024567280848687,0.5979814970563498,8,large_small_divergence_continuation,LONG
large_small_divergence_continuation:1656696600000:SHORT:5568,5568,2022-07-01 17:25:00+00:00,2022-07-01 17:30:00+00:00,2022-07-01 17:25:00.005984873+00:00,2022-07-01 17:29:59.834245741+00:00,900,2507.0,808.0,106.0,1038.0,-528.0,1800.7,1801.8,0.1311881188118812,-0.5086705202312138,8,large_small_divergence_continuation,SHORT
large_small_divergence_continuation:1656940800000:SHORT:5568,5568,2022-07-04 13:15:00+00:00,2022-07-04 13:20:00+00:00,2022-07-04 13:15:00.402404579+00:00,2022-07-04 13:19:51.620621741+00:00,85,146.0,92.0,16.0,43.0,-27.0,1809.7,1809.4,0.17391304347826086,-0.627906976744186,8,large_small_divergence_continuation,SHORT
large_small_divergence_continuation:1656944400000:SHORT:5568,5568,2022-07-04 14:15:00+00:00,2022-07-04 14:20:00+00:00,2022-07-04 14:15:12.259637201+00:00,2022-07-04 14:19:56.531330243+00:00,113,224.0,115.0,17.0,54.0,-54.0,1809.4,1809.3,0.14782608695652175,-1.0,8,large_small_divergence_continuation,SHORT
large_small_divergence_continuation:1656949800000:LONG:5568,5568,2022-07-04 15:45:00+00:00,2022-07-04 15:50:00+00:00,2022-07-04 15:45:02.623003097+00:00,2022-07-04 15:49:59.745252989+00:00,71,140.0,69.0,-11.0,23.0,23.0,1807.6,1806.9,-0.15942028985507245,1.0,8,large_small_divergence_continuation,LONG
large_small_divergence_continuation:1657025700000:SHORT:5568,5568,2022-07-05 12:50:00+00:00,2022-07-05 12:55:00+00:00,2022-07-05 12:50:00.000133723+00:00,2022-07-05 12:54:58.450136965+00:00,452,825.0,485.0,55.0,88.0,-56.0,1799.4,1799.6,0.1134020618556701,-0.6363636363636364,8,large_small_divergence_continuation,SHORT
large_small_divergence_continuation:1657029600000:SHORT:5568,5568,2022-07-05 13:55:00+00:00,2022-07-05 14:00:00+00:00,2022-07-05 13:55:00.377788171+00:00,2022-07-05 13:59:59.412356505+00:00,1026,2034.0,980.0,110.0,353.0,-243.0,1785.9,1786.1,0.11224489795918367,-0.6883852691218131,8,large_small_divergence_continuation,SHORT
large_small_divergence_continuation:1657034100000:LONG:5568,5568,2022-07-05 15:10:00+00:00,2022-07-05 15:15:00+00:00,2022-07-05 15:10:00.032950395+00:00,2022-07-05 15:14:59.666055441+00:00,534,1048.0,504.0,-54.0,73.0,53.0,1768.4,1767.1,-0.10714285714285714,0.726027397260274,8,large_small_divergence_continuation,LONG
large_small_divergence_continuation:1657114200000:LONG:5568,5568,2022-07-06 13:25:00+00:00,2022-07-06 13:30:00+00:00,2022-07-06 13:25:02.943162961+00:00,2022-07-06 13:29:59.817334139+00:00,425,852.0,413.0,-65.0,141.0,141.0,1762.6,1761.8,-0.15738498789346247,1.0,8,large_small_divergence_continuation,LONG
large_small_divergence_continuation:1657117800000:LONG:5568,5568,2022-07-06 14:25:00+00:00,2022-07-06 14:30:00+00:00,2022-07-06 14:25:00.090704501+00:00,2022-07-06 14:29:59.684671345+00:00,911,1718.0,925.0,-115.0,197.0,139.0,1752.9,1753.7,-0.12432432432432433,0.7055837563451777,8,large_small_divergence_continuation,LONG
large_small_divergence_continuation:1657121100000:LONG:5568,5568,2022-07-06 15:20:00+00:00,2022-07-06 15:25:00+00:00,2022-07-06 15:20:00.941286513+00:00,2022-07-06 15:24:59.742850631+00:00,1004,2345.0,959.0,-97.0,513.0,209.0,1737.0,1738.4,-0.10114702815432743,0.4074074074074074,8,large_small_divergence_continuation,LONG
