specialist,side,signal_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-01-24 06:45:00+00:00,2019-01-24 07:00:00+00:00,2019-01-24 07:20:00+00:00,1.1380299999999999,1.1384386477355453,1.1374170283966818,1.1374270283966819,TARGET,0.00040864773554535004,1.4755290458500512,1.3531742751004376,0.6029716033180144
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-02-05 07:45:00+00:00,2019-02-05 08:00:00+00:00,2019-02-05 08:05:00+00:00,1.14249,1.1429155666442208,1.1418516500336686,1.1418616500336687,TARGET,0.0004255666442208846,1.4765019177705672,1.3590115066234751,0.6283499663313208
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-02-25 07:45:00+00:00,2019-02-25 08:00:00+00:00,2019-02-25 08:00:00+00:00,1.13574,1.1352038793833104,1.1365441809250343,1.1351938793833103,STOP,0.0005361206166895447,-1.0186525190206008,-1.1119151141223182,-0.5461206166896826
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-03-04 08:45:00+00:00,2019-03-04 09:00:00+00:00,2019-03-04 11:50:00+00:00,1.13425,1.1348595524596714,1.133335671310493,1.133345671310493,TARGET,0.0006095524596713644,1.4835945211254224,1.4015671267532348,0.9043286895069613
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-03-04 14:30:00+00:00,2019-03-04 14:45:00+00:00,2019-03-04 15:25:00+00:00,1.13269,1.1333645684699447,1.1316781472950828,1.1316881472950828,TARGET,0.0006745684699447964,1.4851757079591001,1.4110542477549317,1.00185270491715
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-03-05 06:45:00+00:00,2019-03-05 07:00:00+00:00,2019-03-05 07:10:00+00:00,1.13234,1.1327522529043434,1.1317216206434846,1.1327622529043435,STOP,0.0004122529043436003,-1.0242569546379152,-1.1455417278273516,-0.42225290434361185
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-03-18 06:45:00+00:00,2019-03-18 07:00:00+00:00,2019-03-18 07:20:00+00:00,1.13432,1.1339154158839202,1.1349268761741196,1.1339054158839201,STOP,0.0004045841160797137,-1.02471673899867,-1.1483004339901677,-0.41458411607986356
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-03-19 08:45:00+00:00,2019-03-19 09:00:00+00:00,2019-03-19 09:30:00+00:00,1.13554,1.1350720953165565,1.1362418570251651,1.1350620953165564,STOP,0.000467904683443403,-1.0213718741316244,-1.128231244788144,-0.47790468344355297
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-03-22 06:45:00+00:00,2019-03-22 07:00:00+00:00,2019-03-22 07:40:00+00:00,1.1380400000000002,1.1376400000000002,1.13864,1.13863,TARGET,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-02 15:00:00+00:00,2019-04-02 15:15:00+00:00,2019-04-02 16:40:00+00:00,1.1187,1.1194773078312235,1.1175340382531649,1.1194873078312235,STOP,0.000777307831223487,-1.0128649160581165,-1.0771894963486555,-0.7873078312234938
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-04 12:45:00+00:00,2019-04-04 13:00:00+00:00,2019-04-04 13:25:00+00:00,1.12173,1.1223831949401806,1.120750207589729,1.1207602075897292,TARGET,0.0006531949401805833,1.4846906346252786,1.4081438077527726,0.9697924102707312
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-05 12:30:00+00:00,2019-04-05 12:45:00+00:00,2019-04-05 12:50:00+00:00,1.1219999999999999,1.1227980766594328,1.1208028850108505,1.1228080766594328,STOP,0.0007980766594329215,-1.012530124621271,-1.0751807477274873,-0.8080766594329436
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-18 12:45:00+00:00,2019-04-18 13:00:00+00:00,2019-04-18 13:20:00+00:00,1.12404,1.1248032495464022,1.1228951256803965,1.1248132495464023,STOP,0.0007632495464022646,-1.0131018748025677,-1.0786112488148882,-0.7732495464023437
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-23 13:45:00+00:00,2019-04-23 14:00:00+00:00,2019-04-23 14:25:00+00:00,1.1210499999999999,1.121892082170843,1.1197868767437353,1.1197968767437354,TARGET,0.0008420821708430831,1.4881246743531737,1.4287480461199211,1.2531232562644767
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-05-01 07:45:00+00:00,2019-05-01 08:00:00+00:00,2019-05-01 08:45:00+00:00,1.1228,1.1224,1.1234,1.12239,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-05-10 13:45:00+00:00,2019-05-10 14:00:00+00:00,2019-05-10 16:05:00+00:00,1.12461,1.123800206629378,1.1258246900559332,1.123790206629378,STOP,0.0008097933706221032,-1.0123488291740734,-1.0740929750437647,-0.8197933706222127
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-05-13 09:45:00+00:00,2019-05-13 10:00:00+00:00,2019-05-13 11:00:00+00:00,1.12395,1.1233775453133101,1.124808682030035,1.12336754531331,STOP,0.000572454686689882,-1.0174686315486008,-1.1048117892911222,-0.5824546866899372
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-06-12 06:15:00+00:00,2019-06-12 06:30:00+00:00,2019-06-12 06:35:00+00:00,1.13405,1.13365,1.13465,1.13364,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-06-20 06:45:00+00:00,2019-06-20 07:00:00+00:00,2019-06-20 07:20:00+00:00,1.1276300000000001,1.1268923965252013,1.1287364052121982,1.1287264052121981,TARGET,0.0007376034747987266,1.4864425801372279,1.4186554808239502,1.096405212198004
