specialist,side,signal_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-03-04 14:30:00+00:00,2019-03-04 14:45:00+00:00,2019-03-04 15:25:00+00:00,1.13269,1.1333645684699447,1.1316781472950828,1.1316881472950828,TARGET,0.0006745684699447964,1.4851757079591001,1.4110542477549317,1.00185270491715
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-02 15:00:00+00:00,2019-04-02 15:15:00+00:00,2019-04-02 16:40:00+00:00,1.1187,1.1194773078312235,1.1175340382531649,1.1194873078312235,STOP,0.000777307831223487,-1.0128649160581165,-1.0771894963486555,-0.7873078312234938
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-04 12:45:00+00:00,2019-04-04 13:00:00+00:00,2019-04-04 13:25:00+00:00,1.12173,1.1223831949401806,1.120750207589729,1.1207602075897292,TARGET,0.0006531949401805833,1.4846906346252786,1.4081438077527726,0.9697924102707312
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-05 12:30:00+00:00,2019-04-05 12:45:00+00:00,2019-04-05 12:50:00+00:00,1.1219999999999999,1.1227980766594328,1.1208028850108505,1.1228080766594328,STOP,0.0007980766594329215,-1.012530124621271,-1.0751807477274873,-0.8080766594329436
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-18 12:45:00+00:00,2019-04-18 13:00:00+00:00,2019-04-18 13:20:00+00:00,1.12404,1.1248032495464022,1.1228951256803965,1.1248132495464023,STOP,0.0007632495464022646,-1.0131018748025677,-1.0786112488148882,-0.7732495464023437
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-04-23 13:45:00+00:00,2019-04-23 14:00:00+00:00,2019-04-23 14:25:00+00:00,1.1210499999999999,1.121892082170843,1.1197868767437353,1.1197968767437354,TARGET,0.0008420821708430831,1.4881246743531737,1.4287480461199211,1.2531232562644767
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-05-10 13:45:00+00:00,2019-05-10 14:00:00+00:00,2019-05-10 16:05:00+00:00,1.12461,1.123800206629378,1.1258246900559332,1.123790206629378,STOP,0.0008097933706221032,-1.0123488291740734,-1.0740929750437647,-0.8197933706222127
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-06-21 12:45:00+00:00,2019-06-21 13:00:00+00:00,2019-06-21 14:10:00+00:00,1.13256,1.131725414920422,1.133811877619367,1.1317154149204218,STOP,0.0008345850795781029,-1.0119820018890566,-1.0718920113338406,-0.8445850795781862
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-06-26 15:45:00+00:00,2019-06-26 16:00:00+00:00,2019-06-26 17:00:00+00:00,1.13917,1.1381005363838297,1.1407741954242554,1.1380905363838296,STOP,0.0010694636161702239,-1.009350481726514,-1.0561028903582832,-1.0794636161703952
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-07-08 15:30:00+00:00,2019-07-08 15:45:00+00:00,2019-07-08 17:25:00+00:00,1.12123,1.1218117357426813,1.1203573963859779,1.1218217357426814,STOP,0.0005817357426813604,-1.017189935681107,-1.1031396140858374,-0.591735742681454
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-08-05 12:00:00+00:00,2019-08-05 12:15:00+00:00,2019-08-05 12:25:00+00:00,1.1182500000000002,1.1173869411923747,1.1195445882114385,1.1173769411923746,STOP,0.0008630588076255798,-1.0115866959604891,-1.0695201757630515,-0.8730588076255597
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-08-12 13:45:00+00:00,2019-08-12 14:00:00+00:00,2019-08-12 15:55:00+00:00,1.12186,1.1210417504454233,1.1230873743318652,1.1210317504454232,STOP,0.0008182495545767919,-1.01222121044137,-1.073327262647974,-0.828249554576832
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-09-11 13:45:00+00:00,2019-09-11 14:00:00+00:00,2019-09-11 15:45:00+00:00,1.09948,1.1001984088240089,1.0984023867639867,1.100208408824009,STOP,0.0007184088240089368,-1.013919650853104,-1.0835179051186699,-0.7284088240089304
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-10-07 12:00:00+00:00,2019-10-07 12:15:00+00:00,2019-10-07 15:50:00+00:00,1.09929,1.0985315087171752,1.1004277369242375,1.0985215087171751,STOP,0.0007584912828249476,-1.0131840671428365,-1.0791044028568852,-0.7684912828249679
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-11-05 12:45:00+00:00,2019-11-05 13:00:00+00:00,2019-11-05 13:35:00+00:00,1.1109,1.1116363747615325,1.1097954378577013,1.1098054378577014,TARGET,0.000736374761532436,1.4864199582571176,1.4185197495428112,1.0945621422986385
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-11-18 15:15:00+00:00,2019-11-18 15:30:00+00:00,2019-11-18 15:55:00+00:00,1.10715,1.1065690504585517,1.1080214243121727,1.1080114243121726,TARGET,0.0005809495414484305,1.482786801113219,1.396720806680485,0.8614243121725096
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-11-21 12:45:00+00:00,2019-11-21 13:00:00+00:00,2019-11-21 13:20:00+00:00,1.10914,1.1086810145866686,1.1098284781199972,1.1086710145866685,STOP,0.00045898541333152,-1.0217871847547584,-1.130723108528627,-0.468985413331513
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-11-29 13:45:00+00:00,2019-11-29 14:00:00+00:00,2019-11-29 14:45:00+00:00,1.09923,1.0997944288423853,1.0983833567364218,1.0998044288423854,STOP,0.0005644288423854147,-1.0177170251572858,-1.1063021509433597,-0.5744288423854549
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2019-12-20 14:45:00+00:00,2019-12-20 15:00:00+00:00,2019-12-20 17:20:00+00:00,1.1083399999999999,1.108982127019805,1.107376809470292,1.107386809470292,TARGET,0.0006421270198051606,1.4844267571811496,1.4065605430866681,0.9531905297077703
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2019-12-27 12:00:00+00:00,2019-12-27 12:15:00+00:00,2019-12-27 14:45:00+00:00,1.1151300000000002,1.1145332596566975,1.1160251105149543,1.1160151105149543,TARGET,0.0005967403433027528,1.4832422927119675,1.399453756272036,0.8851105149541016
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2020-01-16 12:45:00+00:00,2020-01-16 13:00:00+00:00,2020-01-16 13:30:00+00:00,1.1165500000000002,1.1159714574805542,1.117417813779169,1.115961457480554,STOP,0.0005785425194459945,-1.0172848142771742,-1.103708885662419,-0.588542519446067
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2020-01-17 15:45:00+00:00,2020-01-17 16:00:00+00:00,2020-01-17 21:55:00+00:00,1.10937,1.1100967379806983,1.1082798930289524,1.10921,TIME_12H,0.0007267379806983349,0.2201618798651355,0.151361292407254,0.15999999999993797
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2020-02-06 14:45:00+00:00,2020-02-06 15:00:00+00:00,2020-02-06 15:25:00+00:00,1.0988,1.0993873440481385,1.097918983927792,1.0979289839277921,TARGET,0.0005873440481386363,1.4829742039069052,1.3978452234422933,0.871016072207853
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2020-02-12 15:00:00+00:00,2020-02-12 15:15:00+00:00,2020-02-12 17:10:00+00:00,1.08934,1.0900324705774704,1.0883012941337942,1.0883112941337942,TARGET,0.0006924705774705084,1.4855589532243316,1.4133537193461754,1.028705866205737
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2020-02-27 13:45:00+00:00,2020-02-27 14:00:00+00:00,2020-02-27 14:10:00+00:00,1.0977400000000002,1.0967525675645036,1.0992211486532453,1.0967425675645035,STOP,0.0009874324354966714,-1.0101272751841068,-1.0607636511047038,-0.997432435496659
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2020-03-05 12:45:00+00:00,2020-03-05 13:00:00+00:00,2020-03-05 15:10:00+00:00,1.11894,1.1176734249252325,1.1208398626121514,1.1176634249252324,STOP,0.0012665750747675722,-1.0078953077470765,-1.0473718464821968,-1.2765750747676385
X2_NEWYORK_CROSSASSET_HANDOFF,SHORT,2020-03-20 13:45:00+00:00,2020-03-20 14:00:00+00:00,2020-03-20 14:00:00+00:00,1.0692899999999999,1.0725235012636658,1.0644397481045007,1.0725335012636659,STOP,0.003233501263666055,-1.003092622882919,-1.018555737297574,-3.2435012636660154
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2020-06-23 14:45:00+00:00,2020-06-23 15:00:00+00:00,2020-06-23 15:55:00+00:00,1.13344,1.1321514582363545,1.1353728126454683,1.1321414582363545,STOP,0.0012885417636455203,-1.0077607108144557,-1.046564264886728,-1.298541763645522
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2020-07-10 13:45:00+00:00,2020-07-10 14:00:00+00:00,2020-07-10 14:50:00+00:00,1.1308,1.129707530505757,1.1324387042413648,1.1324287042413648,TARGET,0.0010924694942432295,1.4908464263278776,1.445078557967731,1.6287042413647423
X2_NEWYORK_CROSSASSET_HANDOFF,LONG,2020-07-13 14:45:00+00:00,2020-07-13 15:00:00+00:00,2020-07-13 15:35:00+00:00,1.13683,1.1357020318345155,1.1385219522482268,1.1356920318345154,STOP,0.001127968165484525,-1.0088654984299088,-1.0531929905790531,-1.1379681654846152
