specialist,side,signal_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-01-24 06:45:00+00:00,2019-01-24 07:00:00+00:00,2019-01-24 07:20:00+00:00,1.1380299999999999,1.1384386477355453,1.1374170283966818,1.1374270283966819,TARGET,0.00040864773554535004,1.4755290458500512,1.3531742751004376,0.6029716033180144
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-02-05 07:45:00+00:00,2019-02-05 08:00:00+00:00,2019-02-05 08:05:00+00:00,1.14249,1.1429155666442208,1.1418516500336686,1.1418616500336687,TARGET,0.0004255666442208846,1.4765019177705672,1.3590115066234751,0.6283499663313208
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-02-25 07:45:00+00:00,2019-02-25 08:00:00+00:00,2019-02-25 08:00:00+00:00,1.13574,1.1352038793833104,1.1365441809250343,1.1351938793833103,STOP,0.0005361206166895447,-1.0186525190206008,-1.1119151141223182,-0.5461206166896826
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-03-04 08:45:00+00:00,2019-03-04 09:00:00+00:00,2019-03-04 11:50:00+00:00,1.13425,1.1348595524596714,1.133335671310493,1.133345671310493,TARGET,0.0006095524596713644,1.4835945211254224,1.4015671267532348,0.9043286895069613
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-03-05 06:45:00+00:00,2019-03-05 07:00:00+00:00,2019-03-05 07:10:00+00:00,1.13234,1.1327522529043434,1.1317216206434846,1.1327622529043435,STOP,0.0004122529043436003,-1.0242569546379152,-1.1455417278273516,-0.42225290434361185
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-03-18 06:45:00+00:00,2019-03-18 07:00:00+00:00,2019-03-18 07:20:00+00:00,1.13432,1.1339154158839202,1.1349268761741196,1.1339054158839201,STOP,0.0004045841160797137,-1.02471673899867,-1.1483004339901677,-0.41458411607986356
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-03-19 08:45:00+00:00,2019-03-19 09:00:00+00:00,2019-03-19 09:30:00+00:00,1.13554,1.1350720953165565,1.1362418570251651,1.1350620953165564,STOP,0.000467904683443403,-1.0213718741316244,-1.128231244788144,-0.47790468344355297
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-03-22 06:45:00+00:00,2019-03-22 07:00:00+00:00,2019-03-22 07:40:00+00:00,1.1380400000000002,1.1376400000000002,1.13864,1.13863,TARGET,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-05-01 07:45:00+00:00,2019-05-01 08:00:00+00:00,2019-05-01 08:45:00+00:00,1.1228,1.1224,1.1234,1.12239,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-05-13 09:45:00+00:00,2019-05-13 10:00:00+00:00,2019-05-13 11:00:00+00:00,1.12395,1.1233775453133101,1.124808682030035,1.12336754531331,STOP,0.000572454686689882,-1.0174686315486008,-1.1048117892911222,-0.5824546866899372
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-06-12 06:15:00+00:00,2019-06-12 06:30:00+00:00,2019-06-12 06:35:00+00:00,1.13405,1.13365,1.13465,1.13364,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-06-20 06:45:00+00:00,2019-06-20 07:00:00+00:00,2019-06-20 07:20:00+00:00,1.1276300000000001,1.1268923965252013,1.1287364052121982,1.1287264052121981,TARGET,0.0007376034747987266,1.4864425801372279,1.4186554808239502,1.096405212198004
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-07-09 06:45:00+00:00,2019-07-09 07:00:00+00:00,2019-07-09 07:00:00+00:00,1.12073,1.12113,1.12013,1.12114,STOP,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-07-26 07:45:00+00:00,2019-07-26 08:00:00+00:00,2019-07-26 08:10:00+00:00,1.1134199999999999,1.1138704975226192,1.1127442537160708,1.1138804975226193,STOP,0.0004504975226193459,-1.0221976803378685,-1.1331860820260353,-0.46049752261945187
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-08-09 09:45:00+00:00,2019-08-09 10:00:00+00:00,2019-08-09 10:15:00+00:00,1.12046,1.119819281084681,1.1214210783729786,1.119809281084681,STOP,0.0006407189153190145,-1.015607468050322,-1.0936448083013195,-0.6507189153190929
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-08-23 09:45:00+00:00,2019-08-23 10:00:00+00:00,2019-08-23 11:45:00+00:00,1.10594,1.106426150378382,1.1052107744324267,1.1064361503783822,STOP,0.00048615037838211554,-1.0205697669791123,-1.1234186018733636,-0.49615037838224296
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-08-27 07:00:00+00:00,2019-08-27 07:15:00+00:00,2019-08-27 08:50:00+00:00,1.11095,1.1105256800202208,1.111586479969669,1.111576479969669,TARGET,0.00042431997977934136,1.4764328797213402,1.3585972783291986,0.6264799696689138
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-08-30 06:45:00+00:00,2019-08-30 07:00:00+00:00,2019-08-30 08:20:00+00:00,1.10377,1.104241707326105,1.1030624390108423,1.1042517073261051,STOP,0.00047170732610511386,-1.0211995859437937,-1.1271975156618879,-0.4817073261051963
X1_LONDON_CROSSASSET_HANDOFF,SHORT,2019-09-02 07:45:00+00:00,2019-09-02 08:00:00+00:00,2019-09-02 08:05:00+00:00,1.0981999999999998,1.098734670544045,1.0973979941839318,1.0987446705440451,STOP,0.0005346705440453021,-1.0187031062611311,-1.1122186375670104,-0.5446705440452781
X1_LONDON_CROSSASSET_HANDOFF,LONG,2019-09-20 06:45:00+00:00,2019-09-20 07:00:00+00:00,2019-09-20 07:10:00+00:00,1.1061,1.1056928172504374,1.106710774124344,1.106700774124344,TARGET,0.00040718274956267947,1.4754410028154072,1.3526460168939733,0.6007741243438947
