month,trades,wins,win_rate,realized_payoff_ratio,profit_factor,net_r,pnl_usd_001_lot,maximum_drawdown_r,positive_active_month_share,top_5pct_winners_removed_profit_factor
2017-01,8,3,0.375,1.4474974082119683,0.8684984449271811,-0.5284063577039274,-2.540160604141306,3.020506767808731,0.0,0.5583223792116703
2017-02,8,3,0.375,1.9058058398525162,1.1434835039115097,0.4376363396840868,-0.12197441322558955,2.007983736902511,1.0,0.7350921159024957
2017-03,6,3,0.5,1.3128037665023964,1.3128037665023964,0.6283378396707654,1.1120052956734572,1.6147275286270188,1.0,0.692811113681824
2017-04,1,1,1.0,0.0,inf,0.825064497333901,1.85499999999994,0.0,1.0,0.0
2017-05,5,5,1.0,0.0,inf,3.9940378165835035,8.591083451535587,0.0,1.0,inf
2017-06,6,2,0.3333333333333333,1.4530936345945415,0.7265468172972708,-0.7330420415441281,-1.5339162913874382,2.1776696665230006,0.0,0.2616461281980231
2017-07,4,1,0.25,0.38717099640628716,0.1290569988020957,-1.2961665431936205,-2.3311044415331716,1.2961665431936205,0.0,0.0
2017-08,8,3,0.375,1.3777570249143054,0.8266542149485833,-0.7837887936753507,-0.12128446220482925,2.0303541248955472,0.0,0.5509589668129632
2017-09,3,1,0.3333333333333333,1.241527911340554,0.620763955670277,-0.7613278691608325,-2.0737058588433666,2.0075303509360083,0.0,0.0
2017-10,4,1,0.25,0.41581750793662203,0.138605835978874,-1.3519341576169244,-2.8649828167368607,1.569472158141726,0.0,0.0
2017-11,5,2,0.4,1.2545833463769833,0.8363888975846555,-0.24671353696917553,-0.0456638530574871,1.4922318280663431,0.0,0.01040819466787899
2017-12,6,1,0.16666666666666666,1.770158377672014,0.3540316755344028,-2.271757236465919,-5.214289441076936,2.513381208335918,0.0,0.0
2018-01,1,0,0.0,0.0,0.0,-1.0036156422308162,-2.7757603716571655,1.0036156422308162,0.0,0.0
2018-02,5,2,0.4,1.614079237376432,1.0760528249176213,0.17622491591156675,0.11846175671670345,2.006054936022494,1.0,0.53778450466463
2018-03,7,5,0.7142857142857143,1.1418426167550735,2.8546065418876836,3.7248703992577576,8.635559042412533,2.008442392026965,1.0,2.2338482124535384
2018-04,5,1,0.2,2.5373292199551183,0.6343323049887796,-0.5751761473601423,-0.8241481787247817,1.5729476658923702,0.0,0.0
2018-05,3,2,0.6666666666666666,1.2428259941710602,2.4856519883421204,1.4904211717405071,4.714615753927731,1.0032101618924285,1.0,1.2427198677750386
2018-06,5,3,0.6,1.2413258261056501,1.8619887391584755,1.7307615683778241,4.76401286528727,1.0039486087715643,1.0,1.2413169088178013
2018-07,8,4,0.5,0.882742284534017,0.882742284534017,-0.41216538823623483,-0.46072765850224684,1.5062913908594313,0.0,0.5283098474103711
2018-08,4,1,0.25,1.1904648187092914,0.3968216062364305,-1.5155249096353973,-3.324041924648524,2.512564981280553,0.0,0.0
2018-09,3,1,0.3333333333333333,0.9930674801610015,0.4965337400805008,-1.011352908797058,-2.6476033854395675,2.0087799110088653,0.0,0.0
