year,trades,wins,win_rate,realized_payoff_ratio,profit_factor,net_r,pnl_usd_001_lot,maximum_drawdown_r,positive_active_month_share,top_5pct_winners_removed_profit_factor
2017,64,26,0.40625,1.345806008579733,0.920814637449291,-2.0880600430576206,-5.288993434998002,8.146121217781996,0.3333333333333333,0.7317494147653953
2018,55,27,0.4909090909090909,1.316362211269311,1.26934927515255,6.187809168772533,16.87428791413226,4.204367582767493,0.5,1.106510618761152
2019,43,28,0.6511627906976745,1.3781088660412226,2.572469883276949,17.406119249248647,26.04282696445781,3.023717149395484,0.5454545454545454,2.234944200674645
2020,50,25,0.5,1.2590789156795485,1.3115405371661966,5.678086335064402,10.148582874371037,5.480316973679592,0.5454545454545454,1.1062447707312313
2021,73,32,0.4383561643835616,1.2541214427788738,0.9788264919249747,-0.7050245331247729,5.221870700791609,5.692622572621078,0.4166666666666667,0.8290910505074133
2022,47,22,0.46808510638297873,1.3029956525336903,1.1466361742296476,3.3843452664474327,2.835791433610291,5.028795374892772,0.6363636363636364,0.9845198466341398
2023,52,23,0.4423076923076923,1.0365745354886355,0.8221108384909868,-4.3138187484907,-8.778006077303502,11.243799943842395,0.4166666666666667,0.6679480983685379
2024,52,26,0.5,1.3449588564937789,1.3449588564937789,7.181453081305197,10.523677932911202,3.689615288351791,0.6363636363636364,1.1654584352371873
2025,48,23,0.4791666666666667,1.6028526201629136,1.4746244105498805,7.689228730403634,16.41421179209346,4.053413335232423,0.5833333333333334,1.2438319765871013
2026,23,11,0.4782608695652174,1.4111701088357573,1.293572599766111,2.5200500430804085,3.7431817873246898,4.004877687600647,0.6666666666666666,1.003344823529402
