policy_id,dimension,value,trades,stress_net_r,average_stress_r
EVENT_FOMC_IMPULSE_RR2,direction,SHORT,16,3.249818835081759,0.20311367719260995
EVENT_FOMC_IMPULSE_RR2,exit_reason,MAX_HOLD,8,1.4199701615952725,0.17749627019940906
EVENT_FOMC_IMPULSE_RR2,exit_reason,STOP,12,-13.356535136976433,-1.113044594748036
EVENT_FOMC_IMPULSE_RR2,exit_reason,TARGET,12,22.265830362642575,1.8554858635535478
EVENT_NFP_FADE_RR2,regime,CHOP,9,4.515117590472305,0.5016797322747005
EVENT_NFP_FADE_RR2,regime,TRANSITION,3,-0.48972554497213006,-0.16324184832404334
EVENT_NFP_FADE_RR2,regime,TREND_DOWN,8,-4.275600205352081,-0.5344500256690101
EVENT_NFP_FADE_RR2,regime,TREND_UP,3,3.54418184622458,1.1813939487415268
EVENT_NFP_FADE_RR2,regime,UNSAFE_SHOCK,2,0.6200096254960454,0.3100048127480227
EVENT_NFP_FADE_RR2,regime,WARMUP,5,0.07022495544048812,0.014044991088097624
EVENT_NFP_FADE_RR2,direction,LONG,13,0.05735952612577866,0.004412271240444512
EVENT_NFP_FADE_RR2,direction,SHORT,17,3.9268487411834294,0.23099110242255466
EVENT_NFP_FADE_RR2,exit_reason,MAX_HOLD,3,1.187427434854496,0.39580914495149866
EVENT_NFP_FADE_RR2,exit_reason,STOP,15,-19.1079938205121,-1.2738662547008066
EVENT_NFP_FADE_RR2,exit_reason,TARGET,12,21.904774652966815,1.8253978877472345
EVENT_NFP_IMPULSE_RR2,regime,CHOP,10,-1.678656039488736,-0.1678656039488736
EVENT_NFP_IMPULSE_RR2,regime,COMPRESSION,2,-2.304532309995299,-1.1522661549976494
EVENT_NFP_IMPULSE_RR2,regime,TRANSITION,2,-2.219502937730643,-1.1097514688653216
EVENT_NFP_IMPULSE_RR2,regime,TREND_DOWN,7,-3.289788917727195,-0.46996984538959924
EVENT_NFP_IMPULSE_RR2,regime,TREND_UP,4,-3.3926550296842777,-0.8481637574210694
EVENT_NFP_IMPULSE_RR2,regime,UNSAFE_SHOCK,2,-2.1545781631201293,-1.0772890815600646
EVENT_NFP_IMPULSE_RR2,regime,WARMUP,3,-1.3636401549546477,-0.4545467183182159
EVENT_NFP_IMPULSE_RR2,direction,LONG,17,-5.583619065422206,-0.3284481803189533
EVENT_NFP_IMPULSE_RR2,direction,SHORT,13,-10.819734487278721,-0.8322872682522093
