variant,admitted,trades,wins,win_rate,realized_payoff_ratio,profit_factor,stress_profit_factor,net_r,stress_net_r,pnl_usd_001_lot,maximum_drawdown_r,positive_active_month_share,top_5pct_winners_removed_profit_factor,extra_0p5pip_profit_factor,latest_12_month_profit_factor,failed_checks
SHORT_CHOP_H60_PROTECTED,False,349,175,0.501432664756447,1.1859012013930554,1.1996110418715877,1.145323289184177,32.27500726177486,24.08112651207462,54.26924222948282,12.385407445417888,0.5436893203883495,1.060789207524417,1.145323289184177,1.9846020990412494,positive_active_month_share
SHORT_CHOP_M15_NEXT_CLOSE,False,312,152,0.48717948717948717,1.2092960529593484,1.1488312503113811,1.0965819172947557,22.662235916822766,15.075799719420353,34.45179385576469,18.69999720943037,0.5392156862745098,1.0177466340363102,1.0965819172947557,1.4846103846643508,"each_chronological_block_profit_factor,positive_active_month_share,maximum_closed_trade_drawdown"
SHORT_CHOP_M15_RETEST_REJECT_4,False,209,102,0.4880382775119617,1.229714382727344,1.1722510938148514,1.1186570910413665,17.963820573145927,12.688728678455677,30.623275673576146,11.609885159716363,0.6105263157894737,1.0406666424720201,1.1186570910413665,1.5493140299595214,each_chronological_block_profit_factor
SHORT_COMPRESSION_H60_PROTECTED,False,158,68,0.43037974683544306,1.6504439419360026,1.2470020894627574,1.1889655675758841,21.33036257574861,16.812021978117997,46.93637931581607,10.392959354092506,0.4931506849315068,1.0620988729580416,1.1889655675758841,1.0066399397264794,"each_chronological_block_profit_factor,positive_active_month_share"
SHORT_COMPRESSION_M15_NEXT_CLOSE,False,167,69,0.41317365269461076,1.7384751339462254,1.2240284106356079,1.1668051460893454,21.29446952376948,16.33893775741071,36.71240778080042,19.39780193891913,0.5135135135135135,1.035070800972621,1.1668051460893454,1.5341525237768756,"positive_active_month_share,maximum_closed_trade_drawdown"
SHORT_COMPRESSION_M15_RETEST_REJECT_4,False,97,39,0.4020618556701031,1.8922201298492063,1.2723549148986042,1.2139767208041001,15.106849378928404,12.235385584979362,24.264718316820975,9.161803364015203,0.44642857142857145,1.0924932016197035,1.2139767208041001,3.009527504595419,"each_chronological_block_profit_factor,positive_active_month_share"
LONG_CHOP_M15_IMMEDIATE,False,435,177,0.4068965517241379,1.1981294047383118,0.8219724985995394,0.7844345275237135,-44.530713054125506,-55.299720699846745,-94.5576074071237,61.20444866424718,0.4444444444444444,0.7123106018400386,0.7844345275237135,1.0867160386218297,"full_profit_factor,extra_0p5pip_profit_factor,each_chronological_block_profit_factor,positive_active_month_share,top_5pct_winners_removed_profit_factor,maximum_closed_trade_drawdown"
LONG_CHOP_M15_NEXT_CLOSE,False,301,124,0.4119601328903654,1.1722717324482987,0.8212525131276217,0.7836588698012396,-30.907258982738405,-38.36204443758812,-62.754553534836504,46.20618504049041,0.4215686274509804,0.7058820191268939,0.7836588698012396,1.9601692170134406,"full_profit_factor,extra_0p5pip_profit_factor,each_chronological_block_profit_factor,positive_active_month_share,top_5pct_winners_removed_profit_factor,maximum_closed_trade_drawdown"
LONG_CHOP_M15_RETEST_REJECT_4,False,208,86,0.41346153846153844,1.1888999189233105,0.8380769920279075,0.8002307729752348,-19.209568433575754,-24.30116760415177,-35.463783478036575,24.540813488112907,0.42857142857142855,0.7224757787120807,0.8002307729752348,0.9260565036979166,"full_profit_factor,extra_0p5pip_profit_factor,each_chronological_block_profit_factor,latest_12_month_profit_factor,latest_12_month_net_r,positive_active_month_share,top_5pct_winners_removed_profit_factor,maximum_closed_trade_drawdown"
LONG_COMPRESSION_M15_IMMEDIATE,False,253,81,0.3201581027667984,1.8145213655936256,0.854512968680719,0.814766278473328,-24.28317000295403,-31.89056170563767,-33.88376270036909,48.9586407291652,0.32432432432432434,0.699078074991638,0.814766278473328,1.0805462787504154,"full_profit_factor,extra_0p5pip_profit_factor,each_chronological_block_profit_factor,positive_active_month_share,top_5pct_winners_removed_profit_factor,maximum_closed_trade_drawdown"
LONG_COMPRESSION_M15_NEXT_CLOSE,False,193,70,0.3626943005181347,1.7522086751605255,0.9971919289531446,0.9509657442962428,-0.3378683264893638,-6.080762123723945,5.210575173261397,28.834665347769104,0.40298507462686567,0.8313037698566293,0.9509657442962428,1.027226541894096,"full_profit_factor,extra_0p5pip_profit_factor,each_chronological_block_profit_factor,positive_active_month_share,top_5pct_winners_removed_profit_factor,maximum_closed_trade_drawdown"
LONG_COMPRESSION_M15_RETEST_REJECT_4,False,116,40,0.3448275862068966,1.6983707629110614,0.8938793489005585,0.8518432182205666,-7.964939200578806,-11.465450129164722,-7.278316938751583,17.1274273720636,0.31666666666666665,0.7343324370935504,0.8518432182205666,0.9291701026247918,"full_profit_factor,extra_0p5pip_profit_factor,each_chronological_block_profit_factor,latest_12_month_profit_factor,latest_12_month_net_r,positive_active_month_share,top_5pct_winners_removed_profit_factor"
