candidate_id,event_id,source_id,entry_time_utc,baseline_executed,causal_score,causal_rank,prior_source_executed_count,prior_health_window_count,prior_executed_profit_factor,would_veto,broker_outcome_resolved,broker_exit_time_utc,broker_pnl_usd,evidence_status,broker_execution,broker_exit_fills
8c1da4a90975386c52927842,20260812T025000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-12T02:50:00Z,True,1.2407687289146412,0.6441176470588236,61,20,0.885150452206994,False,True,2026-08-12T03:43:33.166000Z,-10.123893805309734,RETAIN,"{'ticket': 5287511, 'broker_entry_time_utc': '2026-08-12T02:56:53.385000Z', 'direction': 'LONG', 'volume_lots': 0.01, 'entry_price': 4411.85, 'entry_cost_usd': 0.0}","[{'deal_ticket': 4855516, 'exit_time_utc': '2026-08-12T03:43:33.166000Z', 'volume_lots': 0.01, 'exit_price': 4401.73, 'pnl_usd': -10.123893805309734}]"
aa2e0b7496f1966e5f0825e8,20260813T000000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-13T00:00:00Z,True,0.6538074819842252,0.4844209288653733,62,20,0.9341587000335569,False,True,2026-08-13T00:16:34.730000Z,10.306330837304289,RETAIN,"{'ticket': 5323114, 'broker_entry_time_utc': '2026-08-13T00:05:38.184000Z', 'direction': 'LONG', 'volume_lots': 0.01, 'entry_price': 4416.51, 'entry_cost_usd': 0.0}","[{'deal_ticket': 4888711, 'exit_time_utc': '2026-08-13T00:16:34.730000Z', 'volume_lots': 0.01, 'exit_price': 4426.82, 'pnl_usd': 10.306330837304289}]"
0001dad65cb43ccbcaebe6d9,20260813T003500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-13T00:35:00Z,True,-1.3427906613121339,0.09753231492361927,63,20,1.1281193560775806,False,True,2026-08-13T00:50:00.316000Z,-12.473791695030634,RETAIN,"{'ticket': 5324820, 'broker_entry_time_utc': '2026-08-13T00:36:14.231000Z', 'direction': 'LONG', 'volume_lots': 0.01, 'entry_price': 4442.02, 'entry_cost_usd': 0.0}","[{'deal_ticket': 4889774, 'exit_time_utc': '2026-08-13T00:50:00.316000Z', 'volume_lots': 0.01, 'exit_price': 4429.55, 'pnl_usd': -12.473791695030634}]"
4d68b77cc2b30efd39a4ebe0,20260814T001500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2026-08-14T00:15:00Z,True,0.17521717940694198,0.35290663534938344,64,20,1.147783748630958,False,True,2026-08-14T01:09:28.114000Z,19.681415929203542,RETAIN,"{'ticket': 5376548, 'broker_entry_time_utc': '2026-08-14T00:19:12.247000Z', 'direction': 'SHORT', 'volume_lots': 0.01, 'entry_price': 4348.99, 'entry_cost_usd': 0.0}","[{'deal_ticket': 4936606, 'exit_time_utc': '2026-08-14T01:09:28.114000Z', 'volume_lots': 0.01, 'exit_price': 4329.3, 'pnl_usd': 19.681415929203542}]"
bbd0d5c6023c5e19e1d64d84,20260814T051000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2026-08-14T05:10:00Z,True,0.9396800737783432,0.5598591549295775,65,20,1.5080424579470857,False,True,2026-08-14T05:50:57.190000Z,-7.2430224642614025,RETAIN,"{'ticket': 5383911, 'broker_entry_time_utc': '2026-08-14T05:10:33.435000Z', 'direction': 'SHORT', 'volume_lots': 0.01, 'entry_price': 4320.5, 'entry_cost_usd': 0.0}","[{'deal_ticket': 4943805, 'exit_time_utc': '2026-08-14T05:50:57.190000Z', 'volume_lots': 0.01, 'exit_price': 4327.74, 'pnl_usd': -7.2430224642614025}]"
8ae00a51ed46a42775477baf,20260814T082500Z_SHORT,V7_SWING_HEALTH,2026-08-14T08:25:00Z,False,0.007740066977710308,0.31378299120234604,51,20,1.6201840796636702,False,False,,,BASELINE_NOT_EXECUTED,,
9ae1de630f35c48846f3be46,20260817T090500Z_LONG,V7_SWING_HEALTH,2026-08-17T09:05:00Z,True,0.45931935521146866,0.4320046893317702,51,20,1.6201840796636702,False,True,2026-08-17T12:26:36.093000Z,-8.313138189244384,RETAIN,"{'ticket': 5433652, 'broker_entry_time_utc': '2026-08-17T09:06:31.224000Z', 'direction': 'LONG', 'volume_lots': 0.01, 'entry_price': 4397.22, 'entry_cost_usd': 0.0}","[{'deal_ticket': 4994200, 'exit_time_utc': '2026-08-17T12:26:36.093000Z', 'volume_lots': 0.01, 'exit_price': 4388.91, 'pnl_usd': -8.313138189244384}]"
dadfdfffa9616855e9ef8a6e3ec6f082,dadfdfffa9616855e9ef8a6e3ec6f082,R1_PULLBACK,2026-08-17T11:30:00Z,True,0.9594542782792169,0.5647334504979497,50,20,1.0770352369380325,False,True,2026-08-17T12:26:36.095000Z,-14.526889040163377,RETAIN,"{'ticket': 5435732, 'broker_entry_time_utc': '2026-08-17T11:31:44.167000Z', 'direction': 'LONG', 'volume_lots': 0.01, 'entry_price': 4403.43, 'entry_cost_usd': 0.0}","[{'deal_ticket': 4994202, 'exit_time_utc': '2026-08-17T12:26:36.095000Z', 'volume_lots': 0.01, 'exit_price': 4388.91, 'pnl_usd': -14.526889040163377}]"
bcdc5be8b5b5967eefcba237,20260817T172000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2026-08-17T17:20:00Z,True,1.8210213703164047,0.7687353629976581,66,20,1.6128532528641404,False,True,2026-08-17T18:31:59.290000Z,16.095302927161335,RETAIN,"{'ticket': 5445639, 'broker_entry_time_utc': '2026-08-17T17:22:08.146000Z', 'direction': 'SHORT', 'volume_lots': 0.01, 'entry_price': 4418.89, 'entry_cost_usd': 0.0}","[{'deal_ticket': 5004025, 'exit_time_utc': '2026-08-17T18:31:59.290000Z', 'volume_lots': 0.01, 'exit_price': 4402.79, 'pnl_usd': 16.095302927161335}]"
47fcc2609a0b1adbae739901,20260817T194500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-17T19:45:00Z,False,2.948442434332952,0.9192510239906378,67,20,1.5354828465261272,False,False,,,BASELINE_NOT_EXECUTED,,
