account,magic,candidate,direction,entry_time_dubai,exit_time_dubai,session,lots,entry,exit,sl,tp,stop_distance_points,spread_points,cost_r,profit_aed,profit_aed_001,exit_reason,unique_signal,account_unique_signal,cofire,source_csv
1025742,920501,session_extreme_retest_v0,BUY,2026-06-17 00:25:01,2026-06-17 00:45:50,Night 20:00-05:59,0.01000,4333.96000,4330.77000,4330.84000,4338.34000,300.00000,75.00000,0.2500,-11.72,-11.72,SL,2026-06-17 00:25|BUY|session_extreme_family,1025742|2026-06-17 00:25|BUY|session_extreme_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-16 21:35:00,2026-06-17 00:55:27,Night 20:00-05:59,0.01000,4337.23000,4329.67000,4329.71000,4348.61000,755.69000,75.00000,0.0992,-27.78,-27.78,SL,2026-06-16 21:35|BUY|round_family,1025742|2026-06-16 21:35|BUY|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920201,swing_breakout_retest_v0,BUY,2026-06-16 21:35:00,2026-06-17 00:55:27,Night 20:00-05:59,0.01000,4337.23000,4329.67000,4329.71000,4348.61000,755.69000,75.00000,0.0992,-27.78,-27.78,SL,2026-06-16 21:35|BUY|breakout_family,1025742|2026-06-16 21:35|BUY|breakout_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920501,session_extreme_retest_v0,BUY,2026-06-16 21:35:00,2026-06-17 00:55:27,Night 20:00-05:59,0.01000,4337.23000,4329.67000,4329.71000,4348.61000,755.69000,75.00000,0.0992,-27.78,-27.78,SL,2026-06-16 21:35|BUY|session_extreme_family,1025742|2026-06-16 21:35|BUY|session_extreme_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-17 02:40:00,2026-06-17 03:12:22,Night 20:00-05:59,0.01000,4332.99000,4337.69000,4329.79000,4337.69000,316.12000,50.00000,0.1582,17.26,17.26,TP,2026-06-17 02:40|BUY|round_family,1025742|2026-06-17 02:40|BUY|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920501,session_extreme_retest_v0,BUY,2026-06-17 03:00:01,2026-06-17 03:42:25,Night 20:00-05:59,0.01000,4335.77000,4332.77000,4332.77000,4340.27000,300.00000,50.00000,0.1667,-11.02,-11.02,SL,2026-06-17 03:00|BUY|session_extreme_family,1025742|2026-06-17 03:00|BUY|session_extreme_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920501,session_extreme_retest_v0,BUY,2026-06-17 03:45:02,2026-06-17 03:50:09,Night 20:00-05:59,0.01000,4335.02000,4332.04000,4332.04000,4339.55000,300.43000,75.00000,0.2496,-10.95,-10.95,SL,2026-06-17 03:45|BUY|session_extreme_family,1025742|2026-06-17 03:45|BUY|session_extreme_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920501,session_extreme_retest_v0,BUY,2026-06-17 02:55:03,2026-06-17 03:50:30,Night 20:00-05:59,0.01000,4334.52000,4331.47000,4331.49000,4338.99000,300.00000,75.00000,0.2500,-11.21,-11.21,SL,2026-06-17 02:55|BUY|session_extreme_family,1025742|2026-06-17 02:55|BUY|session_extreme_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920201,swing_breakout_retest_v0,BUY,2026-06-16 21:30:00,2026-06-17 04:00:51,Night 20:00-05:59,0.01000,4335.54000,4328.29000,4328.64000,4345.89000,690.03000,75.00000,0.1087,-29.18,-29.18,SL,2026-06-16 21:30|BUY|breakout_family,1025742|2026-06-16 21:30|BUY|breakout_family,true,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-16 21:30:00,2026-06-17 04:00:51,Night 20:00-05:59,0.01000,4335.54000,4328.29000,4328.64000,4345.89000,690.03000,75.00000,0.1087,-29.18,-29.18,SL,2026-06-16 21:30|BUY|round_family,1025742|2026-06-16 21:30|BUY|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
1025742,920301,symbol_normalized_round_retest_v0,BUY,2026-06-17 04:05:01,2026-06-17 04:11:03,Night 20:00-05:59,0.01000,4335.01000,4339.67000,4331.90000,4339.67000,310.95000,50.00000,0.1608,17.11,17.11,TP,2026-06-17 04:05|BUY|round_family,1025742|2026-06-17 04:05|BUY|round_family,false,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase1/outputs/reports/EOD_GOLD_A1_20260617.csv
