bars_to_outcome,candidate,date,direction,entry_price,exit_price,exit_source,exit_time,leverage,margin_aed,notional_aed,outcome,pnl_aed,reason_code,return_on_margin_pct,source_log,spread_points,status,stop_loss,symbol,take_profit,timestamp_broker,timestamp_local,trade_no
34,breakout_retest,2026.05.29,LONG,1.16416,1.16479,take_profit,2026.05.29 13:00:00,50.00,100.00,5000.00,WIN_TP,2.7058,BREAKOUT_RETEST_LONG_DRY_RUN,2.7058,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16374,EURUSD,1.16479,2026.05.29 10:10:12,2026.05.29 15:40:08,1
37,breakout_retest,2026.05.29,LONG,1.16427,1.16496,take_profit,2026.05.29 13:20:01,50.00,100.00,5000.00,WIN_TP,2.9632,BREAKOUT_RETEST_LONG_DRY_RUN,2.9632,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16381,EURUSD,1.16496,2026.05.29 10:15:02,2026.05.29 15:44:58,2
22,breakout_retest,2026.05.29,LONG,1.16469,1.16424,stop_loss,2026.05.29 14:20:02,50.00,100.00,5000.00,LOSS_STOP,-1.9318,BREAKOUT_RETEST_LONG_DRY_RUN,-1.9318,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16424,EURUSD,1.16537,2026.05.29 12:20:00,2026.05.29 17:50:00,3
1,breakout_retest,2026.05.29,LONG,1.16465,1.16445,stop_loss,2026.05.29 12:35:01,50.00,100.00,5000.00,LOSS_STOP,-0.8586,BREAKOUT_RETEST_LONG_DRY_RUN,-0.8586,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16445,EURUSD,1.16495,2026.05.29 12:30:01,2026.05.29 18:00:01,4
2,breakout_retest,2026.05.29,LONG,1.16456,1.16485,take_profit,2026.05.29 13:00:00,50.00,100.00,5000.00,WIN_TP,1.2451,BREAKOUT_RETEST_LONG_DRY_RUN,1.2451,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16437,EURUSD,1.16485,2026.05.29 12:50:03,2026.05.29 18:20:03,5
13,breakout_retest,2026.05.29,LONG,1.16473,1.16442,stop_loss,2026.05.29 14:15:00,50.00,100.00,5000.00,LOSS_STOP,-1.3308,BREAKOUT_RETEST_LONG_DRY_RUN,-1.3308,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16442,EURUSD,1.16520,2026.05.29 13:00:00,2026.05.29 18:30:00,6
2,breakout_retest,2026.05.29,LONG,1.16515,1.16484,stop_loss,2026.05.29 13:55:01,50.00,100.00,5000.00,LOSS_STOP,-1.3303,BREAKOUT_RETEST_LONG_DRY_RUN,-1.3303,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16484,EURUSD,1.16562,2026.05.29 13:45:01,2026.05.29 19:15:00,7
1,breakout_retest,2026.05.29,LONG,1.16497,1.16448,stop_loss,2026.05.29 14:15:00,50.00,100.00,5000.00,LOSS_STOP,-2.1031,BREAKOUT_RETEST_LONG_DRY_RUN,-2.1031,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16448,EURUSD,1.16571,2026.05.29 14:10:00,2026.05.29 19:39:59,8
1,breakout_retest,2026.05.29,LONG,1.16545,1.16672,take_profit,2026.05.29 15:00:00,50.00,100.00,5000.00,WIN_TP,5.4485,BREAKOUT_RETEST_LONG_DRY_RUN,5.4485,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16461,EURUSD,1.16672,2026.05.29 14:55:00,2026.05.29 20:24:59,9
5,breakout_retest,2026.05.29,LONG,1.16631,1.16660,take_profit,2026.05.29 18:35:14,50.00,100.00,5000.00,WIN_TP,1.2432,BREAKOUT_RETEST_LONG_DRY_RUN,1.2432,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16612,EURUSD,1.16660,2026.05.29 18:10:01,2026.05.29 23:40:00,10
4,breakout_retest,2026.05.29,SHORT,1.16643,1.16682,stop_loss,2026.05.29 19:10:00,50.00,100.00,5000.00,LOSS_STOP,-1.6718,BREAKOUT_RETEST_SHORT_DRY_RUN,-1.6718,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16682,EURUSD,1.16584,2026.05.29 18:50:01,2026.05.30 00:19:59,11
24,breakout_retest,2026.05.29,LONG,1.16652,1.16600,stop_loss,2026.05.29 20:55:00,50.00,100.00,5000.00,LOSS_STOP,-2.2289,BREAKOUT_RETEST_LONG_DRY_RUN,-2.2289,experimental_demo_attachment_log_breakout_retest_eurusd.csv,7.00,ACCEPTED,1.16600,EURUSD,1.16729,2026.05.29 18:55:00,2026.05.30 00:24:58,12
