account,account_login,server,position_ticket,magic,lane,candidate,direction,entry_time_dubai,exit_time_dubai,session,lots,entry,exit,sl,tp,stop_distance_points,spread_points,cost_r,profit_aed,profit_aed_001,exit_reason,unique_signal,cofire_flag,cofire_members,broker_closed,replay_resolvable
A1,1025742,Capital.ComMena-Demo,4090995,920101,A1 accepted breakout,breakout_retest,SELL,2026-06-16 00:10:00,2026-06-16 00:21:33,Night 20:00-05:59,0.01,4319.05,4314.48,4322.45,4314.48,318.79,50.00,0.1568,16.78,16.78,TP,2026-06-16 00:10|XAUUSD|SELL|4319.05,true,A1:920101:breakout_retest:4090995;A1:920401:round_number_retest_v0:4090994,true,false
A1,1025742,Capital.ComMena-Demo,4090994,920401,A1 round,round_number_retest_v0,SELL,2026-06-16 00:10:00,2026-06-16 00:21:33,Night 20:00-05:59,0.01,4319.05,4314.48,4322.45,4314.48,318.79,50.00,0.1568,16.78,16.78,TP,2026-06-16 00:10|XAUUSD|SELL|4319.05,true,A1:920101:breakout_retest:4090995;A1:920401:round_number_retest_v0:4090994,true,false
A1,1025742,Capital.ComMena-Demo,4091086,920401,A1 round,round_number_retest_v0,SELL,2026-06-16 00:15:01,2026-06-16 00:19:32,Night 20:00-05:59,0.01,4315.86,4318.98,4318.86,4311.36,300.00,50.00,0.1667,-11.46,-11.46,SL,2026-06-16 00:15|XAUUSD|SELL|4315.86,false,,true,false
A1,1025742,Capital.ComMena-Demo,4091527,920101,A1 accepted breakout,breakout_retest,BUY,2026-06-16 00:50:00,2026-06-16 02:28:11,Night 20:00-05:59,0.01,4310.63,4306.05,4305.90,4317.27,454.69,50.00,0.1100,-19.36,-19.36,SL,2026-06-16 00:50|XAUUSD|BUY|4310.63,false,,true,false
A1,1025742,Capital.ComMena-Demo,4091700,920101,A1 accepted breakout,breakout_retest,BUY,2026-06-16 02:05:00,2026-06-16 02:12:38,Night 20:00-05:59,0.01,4313.61,4309.80,4309.81,4318.89,363.31,75.00,0.2064,-14.00,-14.00,SL,2026-06-16 02:05|XAUUSD|BUY|4313.61,false,,true,false
A1,1025742,Capital.ComMena-Demo,4091735,920101,A1 accepted breakout,breakout_retest,BUY,2026-06-16 02:10:00,2026-06-16 02:13:02,Night 20:00-05:59,0.01,4314.34,4309.41,4309.15,4322.13,519.01,75.00,0.1445,-18.12,-18.12,SL,2026-06-16 02:10|XAUUSD|BUY|4314.34,true,A1:920101:breakout_retest:4091735;A1:920401:round_number_retest_v0:4091736,true,false
A1,1025742,Capital.ComMena-Demo,4091736,920401,A1 round,round_number_retest_v0,BUY,2026-06-16 02:10:00,2026-06-16 02:13:02,Night 20:00-05:59,0.01,4314.34,4309.41,4309.15,4322.13,519.01,75.00,0.1445,-18.12,-18.12,SL,2026-06-16 02:10|XAUUSD|BUY|4314.34,true,A1:920101:breakout_retest:4091735;A1:920401:round_number_retest_v0:4091736,true,false
A1,1025742,Capital.ComMena-Demo,4091841,920101,A1 accepted breakout,breakout_retest,BUY,2026-06-16 02:20:02,2026-06-16 04:56:52,Night 20:00-05:59,0.01,4311.05,4319.23,4305.60,4319.23,545.28,50.00,0.0917,30.03,30.03,TP,2026-06-16 02:20|XAUUSD|BUY|4311.05,false,,true,false
A1,1025742,Capital.ComMena-Demo,4092043,920101,A1 accepted breakout,breakout_retest,BUY,2026-06-16 02:40:01,2026-06-16 04:56:52,Night 20:00-05:59,0.01,4311.67,4319.21,4306.41,4319.21,512.20,75.00,0.1464,27.68,27.68,TP,2026-06-16 02:40|XAUUSD|BUY|4311.67,false,,true,false
A1,1025742,Capital.ComMena-Demo,4092063,920401,A1 round,round_number_retest_v0,BUY,2026-06-16 02:45:00,2026-06-16 03:35:11,Night 20:00-05:59,0.01,4312.73,4317.18,4309.68,4317.18,300.00,75.00,0.2500,16.34,16.34,TP,2026-06-16 02:45|XAUUSD|BUY|4312.73,false,,true,false
A1,1025742,Capital.ComMena-Demo,4092501,920201,A1 accepted swing breakout,swing_breakout_retest_v0,BUY,2026-06-16 03:55:00,2026-06-16 04:04:24,Night 20:00-05:59,0.01,4319.01,4313.45,4313.35,4327.35,560.14,50.00,0.0893,-20.43,-20.43,SL,2026-06-16 03:55|XAUUSD|BUY|4319.01,false,,true,false
A3,1033669,Capital.ComMena-Demo,4093038,933000,A3 retired round guard,a3_round_guard_v1,BUY,2026-06-16 04:40:01,2026-06-16 04:56:31,Night 20:00-05:59,0.01,4312.32,4318.47,4308.22,4318.47,410.11,50.00,0.1219,22.58,22.58,TP,2026-06-16 04:40|XAUUSD|BUY|4312.32,false,,true,false
A1,1025742,Capital.ComMena-Demo,4093100,920201,A1 accepted swing breakout,swing_breakout_retest_v0,SELL,2026-06-16 04:45:01,2026-06-16 04:55:24,Night 20:00-05:59,0.01,4310.79,4315.41,4315.36,4304.24,444.76,75.00,0.1686,-16.98,-16.98,SL,2026-06-16 04:45|XAUUSD|SELL|4310.79,false,,true,false
