instrument,scope,row_count,duplicate_ticks,duplicate_time_msc,decreasing_timestamps,zero_bid,zero_ask,crossed_market,missing_bid_ask,nonfinite,status
EURUSD,COVERAGE_PROBE_ONLY,NOT_EXPORTED_COVERAGE_GATE_STOP,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_COVERAGE_GATE_STOP
GBPUSD,COVERAGE_PROBE_ONLY,NOT_EXPORTED_COVERAGE_GATE_STOP,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_COVERAGE_GATE_STOP
USDJPY,COVERAGE_PROBE_ONLY,NOT_EXPORTED_COVERAGE_GATE_STOP,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_COVERAGE_GATE_STOP
