instrument,exact_symbol,status,required_start,required_end_exclusive,earliest_accessible_utc,first_at_or_after_required_start_utc,required_start_day_tick_count,required_end_day_tick_count,probe_file,probe_size_bytes,probe_sha256
EURUSD,EURUSD,INCOMPLETE_COMMON_TICK_COVERAGE_NOT_SCORED,2025-03-17T00:00:00Z,2026-07-01T00:00:00Z,2025-03-11T12:54:25.900000+00:00,2025-05-15T07:12:08.214000+00:00,0,76303,multi-asset/london-breakout-v1/native-tick-screen-v1/data/frozen/EURUSD_NATIVE_TICK_COVERAGE_PROBE.csv,386,b07a1dbdc7fc7d2d6b2559efeffbadd143fdb98ba266d0a694372a649668053f
GBPUSD,GBPUSD,INCOMPLETE_COMMON_TICK_COVERAGE_NOT_SCORED,2025-03-17T00:00:00Z,2026-07-01T00:00:00Z,2025-03-11T12:54:25.888000+00:00,2025-05-15T07:12:08.086000+00:00,0,100332,multi-asset/london-breakout-v1/native-tick-screen-v1/data/frozen/GBPUSD_NATIVE_TICK_COVERAGE_PROBE.csv,408,a45c8883bc9e8003f74a2baabfc2796636a8eeecb7356179cbaae3b876a80964
USDJPY,USDJPY,INCOMPLETE_COMMON_TICK_COVERAGE_NOT_SCORED,2025-03-17T00:00:00Z,2026-07-01T00:00:00Z,2025-03-11T12:54:26.774000+00:00,2025-05-15T07:12:08.085000+00:00,0,74988,multi-asset/london-breakout-v1/native-tick-screen-v1/data/frozen/USDJPY_NATIVE_TICK_COVERAGE_PROBE.csv,384,d0a3f61e39207ed5ff21146f783160a5ef73fd5d2599c89572a224ea5244dc8b
XAUUSD,XAUUSD,INSUFFICIENT_COMMON_TICK_HISTORY_NOT_SCORED,2025-03-17T00:00:00Z,2026-07-01T00:00:00Z,,,,,,,
