family,signal_time_utc,signal_complete_utc,entry_time_utc,state_latest_allowed_utc,prior_window_start_utc,prior_window_end_utc,prior_m5_bars,prior_open,prior_high,prior_low,prior_close,prior_range,prior_range_pips,close_location,body_fraction,side,signal_eligible,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed,state_known_at_utc,state_known_lag_hours,neutral_owned,entry_bar_available,risk_eligible,state_fresh,entry_price_decision_time,stop_price_decision_time,risk_distance,risk_pips
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-02 23:55:00+00:00,2019-01-03 00:00:00+00:00,2019-01-03 00:00:00+00:00,2019-01-02 23:00:00+00:00,2019-01-02 00:00:00+00:00,2019-01-03 00:00:00+00:00,288,1.14614,1.14969,1.13095,1.13125,0.0187400000000002,187.400000000002,0.016008537886882914,0.7945570971184466,LONG,True,2019-01-02 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-01-02 21:00:00+00:00,3.0,True,True,False,True,1.1313,1.126615,0.00468500000000005,46.8500000000005
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-07 23:55:00+00:00,2019-01-08 00:00:00+00:00,2019-01-08 00:00:00+00:00,2019-01-07 23:00:00+00:00,2019-01-07 00:00:00+00:00,2019-01-08 00:00:00+00:00,288,1.1410399999999998,1.1482649999999999,1.140475,1.1479050000000002,0.007789999999999964,77.89999999999964,0.9537869062901546,0.881258023106595,SHORT,True,2019-01-07 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-01-07 21:00:00+00:00,3.0,True,True,True,True,1.1478899999999999,1.1498374999999998,0.001947499999999991,19.47499999999991
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-09 23:55:00+00:00,2019-01-10 00:00:00+00:00,2019-01-10 00:00:00+00:00,2019-01-09 23:00:00+00:00,2019-01-09 00:00:00+00:00,2019-01-10 00:00:00+00:00,288,1.145765,1.1558000000000002,1.1439,1.155435,0.011900000000000244,119.00000000000243,0.9693277310924232,0.8126050420167957,SHORT,True,2019-01-09 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-01-09 21:00:00+00:00,3.0,True,True,True,True,1.1554,1.158375,0.00297499999999995,29.7499999999995
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-23 23:55:00+00:00,2019-01-24 00:00:00+00:00,2019-01-24 00:00:00+00:00,2019-01-23 23:00:00+00:00,2019-01-23 00:00:00+00:00,2019-01-24 00:00:00+00:00,288,1.1363599999999998,1.139445,1.135065,1.1386349999999998,0.0043800000000000505,43.8000000000005,0.8150684931506416,0.5194063926940641,SHORT,True,2019-01-23 20:00:00+00:00,USD_UP,ESTABLISHED,False,False,False,2019-01-23 21:00:00+00:00,3.0,False,True,False,True,1.1385999999999998,1.139695,0.0010950000000000681,10.950000000000681
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-30 23:55:00+00:00,2019-01-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,2019-01-30 23:00:00+00:00,2019-01-30 00:00:00+00:00,2019-01-31 00:00:00+00:00,288,1.1434950000000002,1.150175,1.140625,1.1485500000000002,0.009549999999999947,95.49999999999947,0.8298429319371964,0.5293193717277549,SHORT,True,2019-01-30 20:00:00+00:00,USD_DOWN,TRANSITION,False,False,False,2019-01-30 21:00:00+00:00,3.0,False,True,False,True,1.14851,1.1508975,0.002387499999999987,23.87499999999987
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-31 23:55:00+00:00,2019-02-01 00:00:00+00:00,2019-02-01 00:00:00+00:00,2019-01-31 23:00:00+00:00,2019-01-31 00:00:00+00:00,2019-02-01 00:00:00+00:00,288,1.148545,1.1514250000000001,1.14358,1.1448399999999999,0.007845000000000102,78.45000000000101,0.160611854684487,0.4722753346080333,LONG,True,2019-01-31 20:00:00+00:00,USD_DOWN,ESTABLISHED,False,False,False,2019-01-31 21:00:00+00:00,3.0,False,True,False,True,1.1449,1.14293875,0.0019612500000001365,19.612500000001365
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-02-05 23:55:00+00:00,2019-02-06 00:00:00+00:00,2019-02-06 00:00:00+00:00,2019-02-05 23:00:00+00:00,2019-02-05 00:00:00+00:00,2019-02-06 00:00:00+00:00,288,1.14351,1.1440549999999998,1.1401249999999998,1.1409,0.003929999999999989,39.29999999999989,0.19720101781175428,0.6641221374045823,LONG,True,2019-02-05 20:00:00+00:00,USD_UP,ESTABLISHED,False,False,False,2019-02-05 21:00:00+00:00,3.0,False,True,False,True,1.1409500000000001,1.1399675,0.0009825000000001083,9.825000000001083
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-02-06 23:55:00+00:00,2019-02-07 00:00:00+00:00,2019-02-07 00:00:00+00:00,2019-02-06 23:00:00+00:00,2019-02-06 00:00:00+00:00,2019-02-07 00:00:00+00:00,288,1.140895,1.14093,1.136095,1.1365750000000001,0.004834999999999923,48.34999999999923,0.09927611168563467,0.8934850051706201,LONG,True,2019-02-06 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-06 21:00:00+00:00,3.0,True,True,True,True,1.13663,1.13542125,0.0012087499999999807,12.087499999999807
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-02-11 23:55:00+00:00,2019-02-12 00:00:00+00:00,2019-02-12 00:00:00+00:00,2019-02-11 23:00:00+00:00,2019-02-11 00:00:00+00:00,2019-02-12 00:00:00+00:00,288,1.1324049999999999,1.133,1.126735,1.1278700000000002,0.006264999999999965,62.64999999999965,0.1811652035115905,0.7238627294492832,LONG,True,2019-02-11 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-11 21:00:00+00:00,3.0,True,True,True,True,1.12793,1.12636375,0.0015662499999999913,15.662499999999913
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-02-12 23:55:00+00:00,2019-02-13 00:00:00+00:00,2019-02-13 00:00:00+00:00,2019-02-12 23:00:00+00:00,2019-02-12 00:00:00+00:00,2019-02-13 00:00:00+00:00,288,1.1278700000000002,1.1339700000000001,1.12578,1.133375,0.008190000000000142,81.90000000000141,0.9273504273504135,0.6721611721611448,SHORT,True,2019-02-12 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-12 21:00:00+00:00,3.0,True,True,True,True,1.1333499999999999,1.1353974999999998,0.00204749999999998,20.4749999999998
