family,signal_time_utc,signal_complete_utc,entry_time_utc,state_latest_allowed_utc,prior_window_start_utc,prior_window_end_utc,prior_m5_bars,prior_open,prior_high,prior_low,prior_close,prior_range,prior_range_pips,close_location,body_fraction,side,signal_eligible
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-02 23:55:00+00:00,2019-01-03 00:00:00+00:00,2019-01-03 00:00:00+00:00,2019-01-02 23:00:00+00:00,2019-01-02 00:00:00+00:00,2019-01-03 00:00:00+00:00,288,1.14614,1.14969,1.13095,1.13125,0.0187400000000002,187.400000000002,0.016008537886882914,0.7945570971184466,LONG,True
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-03 23:55:00+00:00,2019-01-04 00:00:00+00:00,2019-01-04 00:00:00+00:00,2019-01-03 23:00:00+00:00,2019-01-03 00:00:00+00:00,2019-01-04 00:00:00+00:00,288,1.131255,1.141115,1.131015,1.139025,0.010099999999999998,100.99999999999997,0.7930693069306785,0.7693069306930749,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-07 23:55:00+00:00,2019-01-08 00:00:00+00:00,2019-01-08 00:00:00+00:00,2019-01-07 23:00:00+00:00,2019-01-07 00:00:00+00:00,2019-01-08 00:00:00+00:00,288,1.1410399999999998,1.1482649999999999,1.140475,1.1479050000000002,0.007789999999999964,77.89999999999964,0.9537869062901546,0.881258023106595,SHORT,True
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-08 23:55:00+00:00,2019-01-09 00:00:00+00:00,2019-01-09 00:00:00+00:00,2019-01-08 23:00:00+00:00,2019-01-08 00:00:00+00:00,2019-01-09 00:00:00+00:00,288,1.14791,1.1484649999999998,1.14223,1.145755,0.0062349999999997685,62.349999999997685,0.5653568564555143,0.34562951082598026,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-09 23:55:00+00:00,2019-01-10 00:00:00+00:00,2019-01-10 00:00:00+00:00,2019-01-09 23:00:00+00:00,2019-01-09 00:00:00+00:00,2019-01-10 00:00:00+00:00,288,1.145765,1.1558000000000002,1.1439,1.155435,0.011900000000000244,119.00000000000243,0.9693277310924232,0.8126050420167957,SHORT,True
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-10 23:55:00+00:00,2019-01-11 00:00:00+00:00,2019-01-11 00:00:00+00:00,2019-01-10 23:00:00+00:00,2019-01-10 00:00:00+00:00,2019-01-11 00:00:00+00:00,288,1.15543,1.1569850000000002,1.148455,1.150835,0.008530000000000149,85.30000000000148,0.2790152403282541,0.5386869871043171,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-14 23:55:00+00:00,2019-01-15 00:00:00+00:00,2019-01-15 00:00:00+00:00,2019-01-14 23:00:00+00:00,2019-01-14 00:00:00+00:00,2019-01-15 00:00:00+00:00,288,1.145995,1.148205,1.1450749999999998,1.1472799999999999,0.003130000000000077,31.30000000000077,0.7044728434504659,0.4105431309903281,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-15 23:55:00+00:00,2019-01-16 00:00:00+00:00,2019-01-16 00:00:00+00:00,2019-01-15 23:00:00+00:00,2019-01-15 00:00:00+00:00,2019-01-16 00:00:00+00:00,288,1.147285,1.148975,1.1381999999999999,1.14144,0.010775000000000201,107.750000000002,0.30069605568446134,0.5424593967517393,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-16 23:55:00+00:00,2019-01-17 00:00:00+00:00,2019-01-17 00:00:00+00:00,2019-01-16 23:00:00+00:00,2019-01-16 00:00:00+00:00,2019-01-17 00:00:00+00:00,288,1.14143,1.1424949999999998,1.13778,1.13997,0.004714999999999803,47.14999999999802,0.4644750795334053,0.3096500530222859,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-17 23:55:00+00:00,2019-01-18 00:00:00+00:00,2019-01-18 00:00:00+00:00,2019-01-17 23:00:00+00:00,2019-01-17 00:00:00+00:00,2019-01-18 00:00:00+00:00,288,1.1399599999999999,1.1406049999999999,1.1370149999999999,1.139215,0.003589999999999982,35.89999999999982,0.6128133704735969,0.20752089136484048,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-21 23:55:00+00:00,2019-01-22 00:00:00+00:00,2019-01-22 00:00:00+00:00,2019-01-21 23:00:00+00:00,2019-01-21 00:00:00+00:00,2019-01-22 00:00:00+00:00,288,1.136525,1.139125,1.135685,1.136905,0.0034399999999998876,34.399999999998876,0.3546511627907089,0.11046511627908703,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-22 23:55:00+00:00,2019-01-23 00:00:00+00:00,2019-01-23 00:00:00+00:00,2019-01-22 23:00:00+00:00,2019-01-22 00:00:00+00:00,2019-01-23 00:00:00+00:00,288,1.1369,1.1374,1.13362,1.136345,0.0037799999999998946,37.799999999998946,0.7208994708994557,0.14682539682542292,CASH,False
N49_NEUTRAL_PRIOR24_EXTREME_FADE,2019-01-23 23:55:00+00:00,2019-01-24 00:00:00+00:00,2019-01-24 00:00:00+00:00,2019-01-23 23:00:00+00:00,2019-01-23 00:00:00+00:00,2019-01-24 00:00:00+00:00,288,1.1363599999999998,1.139445,1.135065,1.1386349999999998,0.0043800000000000505,43.8000000000005,0.8150684931506416,0.5194063926940641,SHORT,True
